,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.00633753903866,0.013784336715052558,0.009984852702209522,0.003725730233079749
sanity.close_values_probability.score,0.9900365327133842,0.9963467286615743,0.9927488099191852,0.003246985359473625
sanity.distant_values_probability.score,0.00033211557622052476,0.00033211557622052476,0.0003321155762205247,6.639355251516202e-20
stats.jensenshannon_dist.marginal,0.009443683256623802,0.012053266158607502,0.010363730408269232,0.0014651161244830105
stats.chi_squared_test.marginal,0.519488621519513,0.7920921780795036,0.634622950774703,0.14114658145680395
stats.inv_kl_divergence.marginal,0.918849044359649,0.948293788669362,0.9338163154054567,0.01472848153295042
stats.ks_test.marginal,0.9144754530805677,0.9329434739289273,0.9255217593850608,0.009752958401801038
stats.max_mean_discrepancy.joint,0.00216623999255024,0.0021864420127979925,0.0021797080060335025,1.1663641815016818e-05
stats.wasserstein_dist.joint,-1.0,-1.0,-1.0,0.0
stats.alpha_precision.delta_precision_alpha_OC,0.8335771508185301,0.8861024033437827,0.8676556368280505,0.029546379286805202
stats.alpha_precision.delta_coverage_beta_OC,0.44457912457912463,0.4825589225589225,0.4605571268237935,0.019693420973978786
stats.alpha_precision.authenticity_OC,0.5313131313131313,0.582,0.5502289562289562,0.02768089870617728
stats.alpha_precision.delta_precision_alpha_naive,0.9306954603506328,0.961992337164751,0.9501955493633655,0.01701115109991325
stats.alpha_precision.delta_coverage_beta_naive,0.32999999999999996,0.3482828282828283,0.3394949494949495,0.009161900143717197
stats.alpha_precision.authenticity_naive,0.5313131313131313,0.5717171717171717,0.5523434343434344,0.020252895535545476
stats.prdc.precision,0.988,0.9919191919191919,0.989939393939394,0.001959908337072286
stats.prdc.recall,0.9327465958153437,0.973430753902358,0.9579873796081037,0.022040692014393463
stats.prdc.density,0.9442424242424243,0.9749494949494949,0.9593306397306397,0.015360411184114115
stats.prdc.coverage,0.23048820989704416,0.25124543341082695,0.242222960256836,0.01064109570162372
performance.linear_model.gt,0.7135184390739095,0.7135184390739095,0.7135184390739097,1.3597399555105182e-16
performance.linear_model.syn_id,0.7091730526451911,0.7638522470231919,0.7382327660992521,0.027501454040700733
performance.linear_model.syn_ood,0.7092365907149304,0.7641043083050703,0.7384016586845011,0.027597243775519732
performance.mlp.gt,0.49823424685520823,0.49823424685520823,0.4982342468552082,6.798699777552591e-17
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.909559206620799,0.909559206620799,0.909559206620799,0.0
performance.xgb.syn_id,0.8106882775429126,0.8491381607065351,0.8261104417515167,0.020321951827385696
performance.xgb.syn_ood,0.8107601096507209,0.8495312465076619,0.8262851657823509,0.020506363131405827
performance.feat_rank_distance.corr,0.2292241056067758,0.3527941594100031,0.2948345428020569,0.06213928581000759
performance.feat_rank_distance.pvalue,3.7459151116425813e-75,9.505164551252276e-33,3.168388183750758e-33,5.4878093123571896e-33
detection.detection_xgb.mean,0.8220027288016432,0.8676959132411222,0.8519980979547755,0.025986185002521894
detection.detection_gmm.mean,0.47093946244819546,0.5021194179425388,0.48628021276438727,0.015595952971664351
detection.detection_linear.mean,0.49680230573890716,0.5684522232568165,0.528224183509458,0.03662770859134015
privacy.delta-presence.score,39.72727269115702,48.555555501604935,45.61279456478896,5.09701145709425
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,2.0,1.3333333333333333,0.5773502691896257
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.05347060777150448,0.05961474593158419,0.056957821321819986,0.0031550979740949847
privacy.identifiability_score._privacy.identifiability_score.OC,0.0006642311524410495,0.06509465293922286,0.02225174360677516,0.037103419454819014
