,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.05280636127450093,0.1222299073908028,0.08085211762853642,0.036581614575346616
sanity.close_values_probability.score,0.8508771929824561,0.9736842105263158,0.9210526315789475,0.06325528553445597
sanity.distant_values_probability.score,0.017543859649122806,0.05263157894736842,0.029239766081871343,0.02025790418209213
stats.jensenshannon_dist.marginal,0.015533360575886774,0.018924317856887755,0.017446652689029427,0.0017369444282954788
stats.chi_squared_test.marginal,0.253782144021827,0.2884076164118575,0.27510181992470173,0.018652011473979248
stats.inv_kl_divergence.marginal,0.5978797248441262,0.7198142642459293,0.6615476350099941,0.06114645003224234
stats.ks_test.marginal,0.835483870967742,0.871263569480887,0.8490414582980937,0.01939979862305364
stats.max_mean_discrepancy.joint,0.015966174428686586,0.01657074544945248,0.0162553073445676,0.0003031427089901316
stats.wasserstein_dist.joint,0.3579490585056378,0.4314804124087911,0.3894963776317195,0.037860385324140704
stats.alpha_precision.delta_precision_alpha_OC,0.29356725146198825,0.5163742690058479,0.42280701754385963,0.11560769001747583
stats.alpha_precision.delta_coverage_beta_OC,0.2876386368219399,0.472514619883041,0.37833568595819056,0.09248716083577735
stats.alpha_precision.authenticity_OC,0.6052631578947368,0.8157894736842105,0.7017543859649122,0.10635399695598369
stats.alpha_precision.delta_precision_alpha_naive,0.842911877394636,0.9193587416817907,0.8740404651475432,0.040150233070533115
stats.alpha_precision.delta_coverage_beta_naive,0.15087719298245605,0.18596491228070178,0.16764132553606237,0.017595764672743534
stats.alpha_precision.authenticity_naive,0.6403508771929824,0.7280701754385965,0.672514619883041,0.04831202234461495
stats.prdc.precision,0.9142857142857143,0.935251798561151,0.927118564888349,0.011245397810951699
stats.prdc.recall,0.956140350877193,0.9912280701754386,0.9766081871345028,0.018260228065492386
stats.prdc.density,0.7469696969696971,0.9151079136690647,0.8430734892605396,0.08661475527530879
stats.prdc.coverage,0.8421052631578947,0.9122807017543859,0.8830409356725145,0.03652045613098479
performance.linear_model.gt,0.9767857142857143,0.9767857142857143,0.9767857142857143,0.0
performance.linear_model.syn_id,0.9079489087301587,0.9734168320105819,0.9500082671957671,0.03650207285232188
performance.linear_model.syn_ood,0.9169642857142858,0.9717261904761905,0.9500992063492064,0.02913830820914287
performance.mlp.gt,0.5,0.5,0.5,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.9964285714285716,0.9964285714285716,0.9964285714285716,0.0
performance.xgb.syn_id,0.913467261904762,0.9732680224867725,0.9428034060846562,0.02991634718200033
performance.xgb.syn_ood,0.905654761904762,0.9747023809523808,0.9432539682539683,0.03493232916564907
performance.feat_rank_distance.corr,0.036297700432031385,0.3266793038882825,0.17611106505911525,0.14548924151215734
performance.feat_rank_distance.pvalue,0.03141381626912633,0.8110374297454663,0.372842188672804,0.39871808941465997
detection.detection_xgb.mean,0.9104546017589495,0.9576792772444946,0.9375625314031111,0.024376217547066866
detection.detection_gmm.mean,0.44080098645316035,0.5387385762385761,0.4929210550587362,0.049272045332869344
detection.detection_linear.mean,0.6886222473178994,0.8509464770334336,0.7704842259190086,0.08117116677714514
privacy.delta-presence.score,2.3333333255555555,4.1999999916,3.1777777673851855,0.945946518288807
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.6666666766666667,0.5773502691896257
privacy.k-map.score,1.0,2.0,1.6666666666666667,0.5773502691896257
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.6666666766666667,0.5773502691896257
privacy.identifiability_score.,0.3333333333333333,0.43859649122807015,0.391812865497076,0.05359737654919111
privacy.identifiability_score._privacy.identifiability_score.OC,0.2543859649122807,0.30701754385964913,0.2807017543859649,0.02631578947368421
