,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.1840347404632392,0.19806674474258334,0.1932174629868637,0.007956652417354186
sanity.close_values_probability.score,0.5790934320074006,0.6438482886216467,0.6046870181930312,0.03444356842098243
sanity.distant_values_probability.score,0.0018501387604070306,0.004625346901017576,0.0027752081406105457,0.0016022671670387393
stats.jensenshannon_dist.marginal,0.007200403634905097,0.008508157024575304,0.007788179577461128,0.0006638242692189378
stats.chi_squared_test.marginal,0.8276727653676278,0.9968875742404762,0.8850810270169335,0.09683900552221124
stats.inv_kl_divergence.marginal,0.9670740634434397,0.9734163226814877,0.9711689316116123,0.003551892704207246
stats.ks_test.marginal,0.9249654103149253,0.9331581868640147,0.9299112188813848,0.004352578706098013
stats.max_mean_discrepancy.joint,0.003905102138401298,0.0051454891503552175,0.004471105219050711,0.0006272557623868707
stats.wasserstein_dist.joint,0.012382998184441926,0.06862845608279997,0.0494879547880951,0.032139214745531546
stats.alpha_precision.delta_precision_alpha_OC,0.8146960587842351,0.8365333333333334,0.8283211756847028,0.01188241287911296
stats.alpha_precision.delta_coverage_beta_OC,0.42251169004676015,0.4761333333333332,0.4491809396570919,0.02681194295663158
stats.alpha_precision.authenticity_OC,0.49,0.5150300601202404,0.5066867067468269,0.01445111194825334
stats.alpha_precision.delta_precision_alpha_naive,0.9228456913827655,0.9414666666666667,0.9339736361612113,0.009828256786424884
stats.alpha_precision.delta_coverage_beta_naive,0.3171999999999999,0.35404141616566476,0.3395565352928078,0.019641657103036843
stats.alpha_precision.authenticity_naive,0.582,0.6122244488977956,0.5931315965263861,0.016610705095398682
stats.prdc.precision,0.842685370741483,0.894,0.8721482965931863,0.026490485543190005
stats.prdc.recall,0.9870490286771508,0.9953746530989824,0.9910576626580326,0.004171368874026711
stats.prdc.density,0.6827655310621243,0.7531062124248498,0.722223914495658,0.03594599832493813
stats.prdc.coverage,0.7187789084181314,0.8695652173913043,0.7789084181313598,0.07989408175040294
performance.linear_model.gt,0.8229259663143148,0.8229259663143148,0.8229259663143148,0.0
performance.linear_model.syn_id,0.8083035960208832,0.8157253529626501,0.8130530620452102,0.00412390729092811
performance.linear_model.syn_ood,0.8081969938936109,0.816408070270397,0.8133179633247982,0.004466401867597942
performance.mlp.gt,0.7811703360489194,0.7811703360489194,0.7811703360489194,0.0
performance.mlp.syn_id,0.7054935494358656,0.801938454141049,0.752498026505215,0.04826857468653641
performance.mlp.syn_ood,0.7139676113360324,0.7502024291497976,0.7325067476383266,0.018132128046297047
performance.xgb.gt,0.9193500817760143,0.9193500817760143,0.9193500817760144,1.3597399555105182e-16
performance.xgb.syn_id,0.8592690324788711,0.8873722646967556,0.8750128044789377,0.014354026959452376
performance.xgb.syn_ood,0.8610044666796257,0.8885906498847091,0.8760066814466757,0.013951176023438263
performance.feat_rank_distance.corr,0.280008534498577,0.40417360169948474,0.33086990069528577,0.06505370682720624
performance.feat_rank_distance.pvalue,8.133352266154035e-19,8.388726319376826e-10,2.8421451723776695e-10,4.803973643750711e-10
detection.detection_xgb.mean,0.6930709165386585,0.7656442159165857,0.7303192618536002,0.03632486092307359
detection.detection_gmm.mean,0.4913865847414235,0.5035929048550016,0.4984746916559373,0.006337106880620772
detection.detection_linear.mean,0.5023764061505996,0.526620815397177,0.5117007009756173,0.013054989186003405
privacy.delta-presence.score,1.38596491203755,3.8749999951562497,3.0453216341166836,1.4370450752610038
privacy.k-anonymization.gt,21.0,21.0,21.0,0.0
privacy.k-anonymization.syn,8.00000001,16.00000001,12.333333343333335,4.041451884327381
privacy.k-map.score,8.0,26.0,14.0,10.392304845413264
privacy.distinct l-diversity.gt,21.0,21.0,21.0,0.0
privacy.distinct l-diversity.syn,8.00000001,16.00000001,12.333333343333335,4.041451884327381
privacy.identifiability_score.,0.22294172062904719,0.34875115633672527,0.26518655565834104,0.0723705451357312
privacy.identifiability_score._privacy.identifiability_score.OC,0.2960222016651249,0.4320074005550416,0.34165895775516497,0.07824541376727126
