,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.18819388504414764,0.271322792973533,0.2239446145054739,0.04276683307407957
sanity.close_values_probability.score,0.4722222222222222,0.75,0.5833333333333334,0.1469861839480328
sanity.distant_values_probability.score,0.027777777777777776,0.08333333333333333,0.0462962962962963,0.032075014954979206
stats.jensenshannon_dist.marginal,0.01798713039536138,0.019848583554391928,0.01882221316040347,0.0009453545279719903
stats.chi_squared_test.marginal,0.7797910508231862,0.8532294430871182,0.8048092194975807,0.041940928640962674
stats.inv_kl_divergence.marginal,0.7707363332924372,0.8031487288169836,0.7848236049766077,0.01661656971469447
stats.ks_test.marginal,0.8208401751505201,0.8264230979748222,0.8239007480386791,0.0028301094987801707
stats.max_mean_discrepancy.joint,0.03467991122262739,0.034689797571173464,0.034686036678024584,5.3505455668762405e-06
stats.wasserstein_dist.joint,0.2307710922563584,0.25387537002492655,0.23892750112168418,0.01296321178901092
stats.alpha_precision.delta_precision_alpha_OC,0.6037037037037036,0.7157088122605364,0.6422733077905491,0.0636239683048169
stats.alpha_precision.delta_coverage_beta_OC,0.3600893997445723,0.6156449553001277,0.49527458492975746,0.12842028479693185
stats.alpha_precision.authenticity_OC,0.4166666666666667,0.6388888888888888,0.5185185185185185,0.1122625523424272
stats.alpha_precision.delta_precision_alpha_naive,0.8324393358876118,0.9033844189016602,0.8657513835674755,0.0356693762448848
stats.alpha_precision.delta_coverage_beta_naive,0.4722222222222221,0.5611111111111111,0.5175819497658578,0.044472709288172554
stats.alpha_precision.authenticity_naive,0.3611111111111111,0.4444444444444444,0.39814814814814814,0.042431256434776285
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.9722222222222222,1.0,0.9814814814814815,0.016037507477489613
stats.prdc.density,0.9613793103448276,0.9986206896551725,0.9820689655172415,0.018962382186024196
stats.prdc.coverage,1.0,1.0,1.0,0.0
performance.linear_model.gt,0.9620535714285714,0.9620535714285714,0.9620535714285715,1.3597399555105182e-16
performance.linear_model.syn_id,0.9912161178383363,0.9942319942245625,0.9931387864301486,0.0016702938379414213
performance.linear_model.syn_ood,0.9861926020408163,0.9959183673469388,0.9919961734693876,0.005128578147455382
performance.mlp.gt,0.43550000000000005,0.43550000000000005,0.43550000000000005,0.0
performance.mlp.syn_id,0.4140555555555555,0.4665,0.44701851851851854,0.02870396654598896
performance.mlp.syn_ood,0.5703125,0.609375,0.5963541666666666,0.022552744890219755
performance.xgb.gt,0.9923150510204082,0.9923150510204082,0.9923150510204083,1.3597399555105182e-16
performance.xgb.syn_id,0.9807135577179743,1.0,0.9927611888988652,0.010504060019538918
performance.xgb.syn_ood,0.9816326530612244,1.0,0.992517006802721,0.009644521686229885
performance.feat_rank_distance.corr,0.15678628702578265,0.4180967654020871,0.30361788916103943,0.1336256550289002
performance.feat_rank_distance.pvalue,0.005055020136964385,0.2931139556733102,0.1074798720624256,0.1610506745215369
detection.detection_xgb.mean,0.5195812807881772,0.5678571428571428,0.5489737274220032,0.02579669585773867
detection.detection_gmm.mean,0.5536945812807883,0.5733990147783251,0.563711001642036,0.009856320984209401
detection.detection_linear.mean,0.483128078817734,0.5288177339901478,0.5101395730706075,0.023957660169074364
privacy.delta-presence.score,0.280701754336719,0.2909090908561983,0.2857750436187276,0.005103939493404867
privacy.k-anonymization.gt,16.0,16.0,16.0,0.0
privacy.k-anonymization.syn,1.00000001,4.00000001,2.00000001,1.7320508075688772
privacy.k-map.score,55.0,57.0,56.0,1.0
privacy.distinct l-diversity.gt,16.0,16.0,16.0,0.0
privacy.distinct l-diversity.syn,1.00000001,4.00000001,2.00000001,1.7320508075688772
privacy.identifiability_score.,0.8611111111111112,0.9166666666666666,0.8888888888888888,0.027777777777777735
privacy.identifiability_score._privacy.identifiability_score.OC,0.75,0.8055555555555556,0.7777777777777778,0.02777777777777779
