,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.nearest_syn_neighbor_distance.mean,0.05733681924108427,0.05733681924108427,0.05733681924108427,0.0,0.05733681924108427,0.0,1,0,0.0,minimize
sanity.close_values_probability.score,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.0,0.9736842105263158,0.0,1,0,0.0,maximize
sanity.distant_values_probability.score,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0,0.017543859649122806,0.0,1,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.022972588678166397,0.022972588678166397,0.022972588678166397,0.0,0.022972588678166397,0.0,1,0,0.0,minimize
stats.inv_kl_divergence.marginal,0.6171206334501155,0.6171206334501155,0.6171206334501155,0.0,0.6171206334501155,0.0,1,0,0.0,maximize
stats.ks_test.marginal,0.7569326542161856,0.7569326542161856,0.7569326542161856,0.0,0.7569326542161856,0.0,1,0,0.0,maximize
performance.linear_model.gt,0.9691358024691358,0.9691358024691358,0.9691358024691358,0.0,0.9691358024691358,0.0,1,0,0.0,maximize
performance.linear_model.syn_id,0.9375501042167708,0.9375501042167708,0.9375501042167708,0.0,0.9375501042167708,0.0,1,0,0.0,maximize
performance.linear_model.syn_ood,0.8214285714285715,0.8214285714285715,0.8214285714285715,0.0,0.8214285714285715,0.0,1,0,0.0,maximize
performance.mlp.gt,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,1,0,0.0,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.xgb.gt,0.9932659932659934,0.9932659932659934,0.9932659932659934,0.0,0.9932659932659934,0.0,1,0,0.0,maximize
performance.xgb.syn_id,0.9338624338624338,0.9338624338624338,0.9338624338624338,0.0,0.9338624338624338,0.0,1,0,0.0,maximize
performance.xgb.syn_ood,0.9464285714285715,0.9464285714285715,0.9464285714285715,0.0,0.9464285714285715,0.0,1,0,0.0,maximize
detection.detection_xgb.mean,0.9656048014773777,0.9656048014773777,0.9656048014773777,0.0,0.9656048014773777,0.0,1,0,0.0,minimize
detection.detection_mlp.mean,0.608264081255771,0.608264081255771,0.608264081255771,0.0,0.608264081255771,0.0,1,0,0.0,minimize
detection.detection_linear.mean,0.912280701754386,0.912280701754386,0.912280701754386,0.0,0.912280701754386,0.0,1,0,0.0,minimize
privacy.delta-presence.score,1.7272727257024791,1.7272727257024791,1.7272727257024791,0.0,1.7272727257024791,0.0,1,0,0.0,maximize
privacy.identifiability_score.score,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.0,0.18421052631578946,0.0,1,0,0.0,minimize
privacy.identifiability_score.score_OC,0.043859649122807015,0.043859649122807015,0.043859649122807015,0.0,0.043859649122807015,0.0,1,0,0.0,minimize
