,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.nearest_syn_neighbor_distance.mean,0.12013973189742416,0.12013973189742416,0.12013973189742416,0.0,0.12013973189742416,0.0,1,0,0.0,minimize
sanity.close_values_probability.score,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.0,1,0,0.0,maximize
sanity.distant_values_probability.score,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.0,1,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.025226055167352924,0.025226055167352924,0.025226055167352924,0.0,0.025226055167352924,0.0,1,0,0.0,minimize
stats.inv_kl_divergence.marginal,0.41239067478875197,0.41239067478875197,0.41239067478875197,0.0,0.41239067478875197,0.0,1,0,0.0,maximize
stats.ks_test.marginal,0.7678571428571429,0.7678571428571429,0.7678571428571429,0.0,0.7678571428571429,0.0,1,0,0.0,maximize
performance.linear_model.gt,0.9727572016460906,0.9727572016460906,0.9727572016460906,0.0,0.9727572016460906,0.0,1,0,0.0,maximize
performance.linear_model.syn_id,0.8980658436213992,0.8980658436213992,0.8980658436213992,0.0,0.8980658436213992,0.0,1,0,0.0,maximize
performance.linear_model.syn_ood,0.9296875,0.9296875,0.9296875,0.0,0.9296875,0.0,1,0,0.0,maximize
performance.mlp.gt,0.6002057613168724,0.6002057613168724,0.6002057613168724,0.0,0.6002057613168724,0.0,1,0,0.0,maximize
performance.mlp.syn_id,0.6208847736625515,0.6208847736625515,0.6208847736625515,0.0,0.6208847736625515,0.0,1,0,0.0,maximize
performance.mlp.syn_ood,0.625,0.625,0.625,0.0,0.625,0.0,1,0,0.0,maximize
performance.xgb.gt,0.9300411522633745,0.9300411522633745,0.9300411522633745,0.0,0.9300411522633745,0.0,1,0,0.0,maximize
performance.xgb.syn_id,0.8993621399176955,0.8993621399176955,0.8993621399176955,0.0,0.8993621399176955,0.0,1,0,0.0,maximize
performance.xgb.syn_ood,0.90625,0.90625,0.90625,0.0,0.90625,0.0,1,0,0.0,maximize
detection.detection_xgb.mean,0.7685185185185185,0.7685185185185185,0.7685185185185185,0.0,0.7685185185185185,0.0,1,0,0.0,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,minimize
detection.detection_linear.mean,0.6944444444444445,0.6944444444444445,0.6944444444444445,0.0,0.6944444444444445,0.0,1,0,0.0,minimize
privacy.delta-presence.score,1.4545454532231403,1.4545454532231403,1.4545454532231403,0.0,1.4545454532231403,0.0,1,0,0.0,maximize
privacy.identifiability_score.score,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,minimize
privacy.identifiability_score.score_OC,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.0,1,0,0.0,minimize
