,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.nearest_syn_neighbor_distance.mean,0.49420109305318566,0.49420109305318566,0.49420109305318566,0.0,0.49420109305318566,0.0,1,0,0.0,minimize
sanity.close_values_probability.score,0.25,0.25,0.25,0.0,0.25,0.0,1,0,0.0,maximize
sanity.distant_values_probability.score,0.3055555555555556,0.3055555555555556,0.3055555555555556,0.0,0.3055555555555556,0.0,1,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.07947439665850278,0.07947439665850278,0.07947439665850278,0.0,0.07947439665850278,0.0,1,0,0.0,minimize
stats.inv_kl_divergence.marginal,0.11143054268021405,0.11143054268021405,0.11143054268021405,0.0,0.11143054268021405,0.0,1,0,0.0,maximize
stats.ks_test.marginal,0.46825396825396826,0.46825396825396826,0.46825396825396826,0.0,0.46825396825396826,0.0,1,0,0.0,maximize
performance.linear_model.gt,0.9727572016460906,0.9727572016460906,0.9727572016460906,0.0,0.9727572016460906,0.0,1,0,0.0,maximize
performance.linear_model.syn_id,0.7138477366255144,0.7138477366255144,0.7138477366255144,0.0,0.7138477366255144,0.0,1,0,0.0,maximize
performance.linear_model.syn_ood,0.6953125,0.6953125,0.6953125,0.0,0.6953125,0.0,1,0,0.0,maximize
performance.mlp.gt,0.6002057613168724,0.6002057613168724,0.6002057613168724,0.0,0.6002057613168724,0.0,1,0,0.0,maximize
performance.mlp.syn_id,0.5166666666666666,0.5166666666666666,0.5166666666666666,0.0,0.5166666666666666,0.0,1,0,0.0,maximize
performance.mlp.syn_ood,0.53125,0.53125,0.53125,0.0,0.53125,0.0,1,0,0.0,maximize
performance.xgb.gt,0.9300411522633745,0.9300411522633745,0.9300411522633745,0.0,0.9300411522633745,0.0,1,0,0.0,maximize
performance.xgb.syn_id,0.6199588477366255,0.6199588477366255,0.6199588477366255,0.0,0.6199588477366255,0.0,1,0,0.0,maximize
performance.xgb.syn_ood,0.59375,0.59375,0.59375,0.0,0.59375,0.0,1,0,0.0,maximize
detection.detection_xgb.mean,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.0,0.9722222222222222,0.0,1,0,0.0,minimize
detection.detection_mlp.mean,0.5949074074074074,0.5949074074074074,0.5949074074074074,0.0,0.5949074074074074,0.0,1,0,0.0,minimize
detection.detection_linear.mean,0.6574074074074074,0.6574074074074074,0.6574074074074074,0.0,0.6574074074074074,0.0,1,0,0.0,minimize
privacy.delta-presence.score,1.1111111104938272,1.1111111104938272,1.1111111104938272,0.0,1.1111111104938272,0.0,1,0,0.0,maximize
privacy.identifiability_score.score,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,1,0,0.0,minimize
privacy.identifiability_score.score_OC,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.0,1,0,0.0,minimize
