metric,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.03431797115366227,0.03782536445589619,0.03551523378381121,0.0020010768109222513
sanity.close_values_probability.score,0.9810860280658938,0.9871873093349604,0.9851535489119382,0.003522576383097168
sanity.distant_values_probability.score,0.0012202562538133007,0.0012202562538133007,0.0012202562538133007,0.0
stats.jensenshannon_dist.marginal,0.003080895699259372,0.003990153926141118,0.0036038718984231347,0.00046978889212972096
stats.inv_kl_divergence.marginal,0.9356092879014001,0.9473299577111903,0.9407124682078355,0.0060052788824032175
stats.ks_test.marginal,0.8940190738620952,0.9082828252535013,0.8997188112568404,0.00755094108559803
stats.max_mean_discrepancy.joint,0.002684816923587148,0.0027606657613152524,0.0027247516265352205,3.808392406871257e-05
stats.wasserstein_dist.joint,0.45717525482177734,0.4646969437599182,0.46150259176890057,0.0038867328572476907
stats.alpha_precision.delta_precision_alpha_OC,0.16588252483927546,0.944655887823723,0.6668531412209583,0.434712446681449
stats.alpha_precision.delta_coverage_beta_OC,0.07860900058445364,0.6740180447410703,0.3834252437853176,0.2979592458673652
stats.alpha_precision.authenticity_OC,0.048728813559322036,0.5518672199170125,0.36435638391863484,0.2749499721867997
stats.alpha_precision.delta_precision_alpha_naive,0.8725988700564972,0.879426523297491,0.8750181463323806,0.0038238205186339747
stats.alpha_precision.delta_coverage_beta_naive,0.42796610169491534,0.5177060931899642,0.4772803120801143,0.04552548351879441
stats.alpha_precision.authenticity_naive,0.5317796610169492,0.549792531120332,0.541169225336083,0.009030849154262765
stats.prdc.precision,0.9088983050847458,0.946058091286307,0.9308636016577344,0.019483205527975885
stats.prdc.recall,0.9835265405735204,0.9945088468578401,0.9892210697579825,0.0055024402108882296
stats.prdc.density,0.823728813559322,0.8937634408602151,0.8596343476004266,0.035051092161028176
stats.prdc.coverage,0.610738255033557,0.6473459426479561,0.631279235306081,0.01870949055457706
performance.linear_model.gt,0.6775116107744574,0.6775116107744574,0.6775116107744573,1.3597399555105182e-16
performance.linear_model.syn_id,0.10969188552084927,0.4588410876707944,0.2300620402297727,0.19821871091810556
performance.linear_model.syn_ood,0.05388680265242392,0.4304485426881068,0.18368897060447067,0.21379654300426665
performance.mlp.gt,-6192.146104570998,-6192.146104570998,-6192.146104570998,0.0
performance.mlp.syn_id,-9266.905237172361,-1403.6212971831612,-4513.261469599841,4181.4912944889675
performance.mlp.syn_ood,-10044.875675631121,-1026.0090641315667,-4580.179884044781,4803.3913008982845
performance.xgb.gt,0.955559134422183,0.955559134422183,0.9555591344221831,1.3597399555105182e-16
performance.xgb.syn_id,0.8566978956026402,0.9516850729172592,0.9175385198155794,0.05282112302781386
performance.xgb.syn_ood,0.8540031756861982,0.9501027919306653,0.9161505694423978,0.05389814303577154
performance.feat_rank_distance.corr,0.3333333333333333,0.606060606060606,0.4646464646464646,0.13664393190372404
performance.feat_rank_distance.pvalue,0.005380307706696595,0.15259045898802842,0.06756922175903657,0.07621478463067685
detection.detection_xgb.mean,0.8284783466643546,0.8478980533326567,0.8400935679063158,0.010255366027746812
detection.detection_gmm.mean,0.4808167164391929,0.5219121401081532,0.4976870706055802,0.021512260222721364
detection.detection_linear.mean,0.5372259195364963,0.5963013728350195,0.561148326717442,0.031097793069609324
privacy.delta-presence.score,7.666666641111111,12.999999870000002,9.488888831837038,3.0414420900027843
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.3333333433333332,0.5773502691896257
privacy.k-map.score,1.0,2.0,1.6666666666666667,0.5773502691896257
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.3333333433333332,0.5773502691896257
privacy.identifiability_score.,0.1671751067724222,0.18303843807199513,0.1767337807606264,0.008417409837939762
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.19951189749847467,0.1246695139312589,0.10868903579063058
prdc_precision,0.6618,0.671,0.6667333333333333,0.004636090306856978
prdc_recall,0.8853,0.9042,0.8952666666666667,0.009492277563015822
nn_identifiability,0.5449,0.5809,0.5620666666666666,0.01805777764104243
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0011,0.0053,0.0030000000000000005,0.002128379665379276
