metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.034402365741875156
sanity.close_values_probability.score,0.9871873093349604
sanity.distant_values_probability.score,0.0012202562538133007
stats.jensenshannon_dist.marginal,0.003740566069868915
stats.inv_kl_divergence.marginal,0.9473299577111903
stats.ks_test.marginal,0.8968545346549244
stats.max_mean_discrepancy.joint,0.0027606657613152524
stats.wasserstein_dist.joint,0.4646969437599182
stats.alpha_precision.delta_precision_alpha_OC,0.8900210109998764
stats.alpha_precision.delta_coverage_beta_OC,0.6740180447410703
stats.alpha_precision.authenticity_OC,0.4924731182795699
stats.alpha_precision.delta_precision_alpha_naive,0.879426523297491
stats.alpha_precision.delta_coverage_beta_naive,0.5177060931899642
stats.alpha_precision.authenticity_naive,0.5419354838709678
stats.prdc.precision,0.9376344086021505
stats.prdc.recall,0.9835265405735204
stats.prdc.density,0.8937634408602151
stats.prdc.coverage,0.6473459426479561
performance.linear_model.gt,0.6775116107744574
performance.linear_model.syn_id,0.4588410876707944
performance.linear_model.syn_ood,0.4304485426881068
performance.mlp.gt,-6192.146104570998
performance.mlp.syn_id,-2869.2578744439993
performance.mlp.syn_ood,-2669.6549123716536
performance.xgb.gt,0.955559134422183
performance.xgb.syn_id,0.8566978956026402
performance.xgb.syn_ood,0.8540031756861982
performance.feat_rank_distance.corr,0.4545454545454545
performance.feat_rank_distance.pvalue,0.04473689858238469
detection.detection_xgb.mean,0.8439043037219364
detection.detection_gmm.mean,0.4903323552693946
detection.detection_linear.mean,0.5372259195364963
privacy.delta-presence.score,12.999999870000002
privacy.k-anonymization.gt,3.0
privacy.k-anonymization.syn,2.00000001
privacy.k-map.score,1.0
privacy.distinct l-diversity.gt,3.0
privacy.distinct l-diversity.syn,2.00000001
privacy.identifiability_score.,0.17998779743746188
privacy.identifiability_score._privacy.identifiability_score.OC,0.174496644295302
prdc_precision,0.671
prdc_recall,0.9042
nn_identifiability,0.5604
coverage_score,1.0
mmd,0.0026
