metric,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.17144416542156438,0.24508843357070903,0.19892397171016607,0.04022072628866038
sanity.close_values_probability.score,0.43108233117483813,0.7067530064754857,0.599444958371878,0.14762901654615826
sanity.distant_values_probability.score,0.0009250693802035153,0.0074005550416281225,0.003083564600678384,0.003738623389757059
stats.jensenshannon_dist.marginal,0.006881961701553859,0.008248479053468117,0.00760012690133775,0.0006859284324823498
stats.inv_kl_divergence.marginal,0.969853499056013,0.9772022947176836,0.973069556453871,0.0037591790695246903
stats.ks_test.marginal,0.9167533148319457,0.9261985815602838,0.9228372063275487,0.005278478662791807
stats.max_mean_discrepancy.joint,0.004316913196692779,0.0050600946977367445,0.004713921317246138,0.0003741895428408257
stats.wasserstein_dist.joint,0.06766936928033829,0.069224052131176,0.06827496737241745,0.0008323142491343641
stats.alpha_precision.delta_precision_alpha_OC,0.7830327321309285,0.8373333333333334,0.8178109107103095,0.030194244320492572
stats.alpha_precision.delta_coverage_beta_OC,0.43666666666666676,0.4653306613226452,0.4463546648853261,0.016434911943538345
stats.alpha_precision.authenticity_OC,0.524,0.536,0.5310220440881763,0.006255695193543932
stats.alpha_precision.delta_precision_alpha_naive,0.9043420173680695,0.9204,0.9117584502338009,0.008098789114225891
stats.alpha_precision.delta_coverage_beta_naive,0.37280000000000013,0.3733333333333334,0.37300414161656653,0.0002878180966881687
stats.alpha_precision.authenticity_naive,0.518,0.5470941883767535,0.5356980627922512,0.01553717344800242
stats.prdc.precision,0.8877755511022044,0.908,0.8985918503674015,0.010185492003125188
stats.prdc.recall,0.9898242368177613,0.9935245143385754,0.9919827320382363,0.0019256854759168473
stats.prdc.density,0.772745490981964,0.7832,0.7781151636606546,0.005233071613040264
stats.prdc.coverage,0.7696577243293247,0.7770582793709528,0.7745914276904101,0.00427271244543667
performance.linear_model.gt,0.8229259663143148,0.8229259663143148,0.8229259663143148,0.0
performance.linear_model.syn_id,0.8076675871374948,0.8143081769297297,0.810684017692607,0.0033617493675744746
performance.linear_model.syn_ood,0.8078230173505911,0.8144550290572969,0.8110361304472656,0.0033207914083244277
performance.mlp.gt,0.7811703360489194,0.7811703360489194,0.7811703360489194,0.0
performance.mlp.syn_id,0.6570214012047974,0.7733966721452475,0.7273249076396265,0.06185615498322388
performance.mlp.syn_ood,0.6987854251012147,0.722419028340081,0.712466261808367,0.012249925752337586
performance.xgb.gt,0.9193500817760143,0.9193500817760143,0.9193500817760144,1.3597399555105182e-16
performance.xgb.syn_id,0.8831919668423979,0.891323956849518,0.8882958721560369,0.0044456820403937815
performance.xgb.syn_ood,0.882295689834303,0.8906188563255759,0.8875851770640625,0.004597311964894642
performance.feat_rank_distance.corr,0.25701423121342115,0.4059319329772278,0.3248099897882721,0.07534793210122237
performance.feat_rank_distance.pvalue,5.762095408909051e-19,1.768227517842726e-08,5.896987727274064e-09,1.0206359248041266e-08
detection.detection_xgb.mean,0.6808124679979519,0.6861029185867895,0.6841373450325063,0.002895340450075111
detection.detection_gmm.mean,0.5045097577154027,0.5282066905615291,0.5127861933466771,0.013366539137372789
detection.detection_linear.mean,0.5280443761734084,0.5403451954258406,0.533730620335459,0.006202732245117748
privacy.delta-presence.score,2.999999998125,2.999999998125,2.999999998125,0.0
privacy.k-anonymization.gt,21.0,21.0,21.0,0.0
privacy.k-anonymization.syn,8.00000001,14.00000001,11.666666676666667,3.214550253664318
privacy.k-map.score,7.0,7.0,7.0,0.0
privacy.distinct l-diversity.gt,21.0,21.0,21.0,0.0
privacy.distinct l-diversity.syn,8.00000001,14.00000001,11.666666676666667,3.214550253664318
privacy.identifiability_score.,0.22664199814986125,0.2432932469935245,0.23558433549182856,0.008393868386565641
privacy.identifiability_score._privacy.identifiability_score.OC,0.28769657724329323,0.29417206290471787,0.2904717853839038,0.0033353850836854793
prdc_precision,0.766,0.7916,0.7805333333333334,0.013147369825685018
prdc_recall,0.926,0.9334,0.9306333333333333,0.0040377386410382155
nn_identifiability,0.6531,0.6622,0.6570333333333335,0.00467368519835614
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0,0.0005,0.00023333333333333333,0.00025166114784235834
