metric,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.007678936436458599,0.009136689417067351,0.008165709675453032,0.0008408941021335348
sanity.close_values_probability.score,0.990909090909091,0.9939393939393939,0.9929292929292929,0.0017495462702715404
sanity.distant_values_probability.score,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0
stats.jensenshannon_dist.marginal,0.009521179480532145,0.012428331043006297,0.011317161569512348,0.0015699072553962612
stats.inv_kl_divergence.marginal,0.8237333440891775,0.8772329379380039,0.8488820954665607,0.02689315295811074
stats.ks_test.marginal,0.8477272727272727,0.872750946969697,0.8580684974747474,0.013064484007369316
stats.max_mean_discrepancy.joint,0.005696969696969697,0.006060606060606061,0.005876262626262626,0.0001818707836366752
stats.wasserstein_dist.joint,0.03548933565616608,0.04515798017382622,0.03952605774005254,0.005027839478287875
stats.alpha_precision.delta_precision_alpha_OC,0.9531313131313132,0.958571926158133,0.9552165331475676,0.002934292436603422
stats.alpha_precision.delta_coverage_beta_OC,0.4313131313131312,0.49070707070707076,0.46060606060606063,0.029705214275056704
stats.alpha_precision.authenticity_OC,0.5151515151515151,0.5363636363636364,0.5262626262626262,0.01064207449783106
stats.alpha_precision.delta_precision_alpha_naive,0.9189341692789968,0.9482828282828283,0.9352676187158946,0.014953059325996065
stats.alpha_precision.delta_coverage_beta_naive,0.39555555555555555,0.45171717171717174,0.4227609427609427,0.028121715232157254
stats.alpha_precision.authenticity_naive,0.5212121212121212,0.5545454545454546,0.5383838383838384,0.01668960771904879
stats.prdc.precision,0.996969696969697,1.0,0.998989898989899,0.0017495462702716044
stats.prdc.recall,0.9242424242424242,0.9454545454545454,0.9333333333333332,0.010925912955951491
stats.prdc.density,1.0431818181818182,1.0569696969696971,1.0490282828282826,0.0071286752210422966
stats.prdc.coverage,0.9181818181818182,0.9696969696969697,0.9404040404040405,0.02647543923652759
performance.linear_model.gt,0.5104160533806608,0.5104160533806608,0.5104160533806608,0.0
performance.linear_model.syn_id,0.4811677875570761,0.5117436616752893,0.49978038604799013,0.016336497189778715
performance.linear_model.syn_ood,0.4722669959991995,0.5067894562145591,0.4914937208973658,0.017593736787407027
performance.mlp.gt,-2.2988603336741944,-2.2988603336741944,-2.2988603336741944,0.0
performance.mlp.syn_id,-2.2990474590372014,-2.297937147194185,-2.2984453664026616,0.0005610768773316527
performance.mlp.syn_ood,-3.2362758336024404,-3.234726694241263,-3.235434697494385,0.0007831037337955204
performance.xgb.gt,0.4757466193148698,0.4757466193148698,0.4757466193148698,0.0
performance.xgb.syn_id,0.24685634194220157,0.3484124472725544,0.31235592594829514,0.05682060442772716
performance.xgb.syn_ood,0.24317965736783806,0.3477479917290843,0.31151999611702424,0.05922023365445925
performance.feat_rank_distance.corr,0.7807200583588265,0.7999999999999999,0.7935733527862755,0.011131279496491746
performance.feat_rank_distance.pvalue,0.013981724353829097,0.015074907310598048,0.014346118672752081,0.0006311494743640645
detection.detection_xgb.mean,0.7574545454545455,0.8000918273645548,0.7746653265167991,0.022474607690988052
detection.detection_gmm.mean,0.47407932443143713,0.5869375573921027,0.5241369404058264,0.057498115124260236
detection.detection_linear.mean,0.6032205353332114,0.6505050505050505,0.6331212620073056,0.026008876364462225
privacy.delta-presence.score,4.1249999948437495,5.999999940000001,4.7499999765625,1.0825317230664955
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,2.00000001,7.00000001,4.666666676666666,2.5166114784235836
privacy.k-map.score,1.0,6.0,3.0,2.6457513110645907
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,2.00000001,7.00000001,4.666666676666666,2.5166114784235836
privacy.identifiability_score.,0.3696969696969697,0.45454545454545453,0.42525252525252527,0.048136373969470125
privacy.identifiability_score._privacy.identifiability_score.OC,0.38181818181818183,0.5363636363636364,0.44242424242424244,0.08248883387161333
prdc_precision,0.8303,0.8667,0.8431333333333333,0.020436323870337666
prdc_recall,0.8455,0.8788,0.8606333333333334,0.016855958392608037
nn_identifiability,0.583,0.6223,0.5980666666666666,0.021193001989650573
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0135,0.0281,0.023033333333333333,0.008261557560976825
