metric,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.09401479752537271,0.09816473462935617,0.09554473406883991,0.0022796214954907516
sanity.close_values_probability.score,0.8974763406940063,0.906677181913775,0.901770066596565,0.004630988524964562
sanity.distant_values_probability.score,0.0013144058885383807,0.0013144058885383807,0.0013144058885383805,2.655742100606481e-19
stats.jensenshannon_dist.marginal,0.00441125525398001,0.00466804409119514,0.00456558569184495,0.0001360263136835347
stats.inv_kl_divergence.marginal,0.9571165677892136,0.9714797796245951,0.9629392539551476,0.007557476578339826
stats.ks_test.marginal,0.9444364783481501,0.9464497935496204,0.9451659166188414,0.0011153076687479106
stats.max_mean_discrepancy.joint,0.0018780256669797114,0.0019303587407696042,0.0019117425241733834,2.9252515497212097e-05
stats.wasserstein_dist.joint,0.741853654384613,0.7464611530303955,0.7438434163729349,0.0023670709920768362
stats.alpha_precision.delta_precision_alpha_OC,0.6431182795698925,0.8571223972678198,0.723204100058103,0.11671714638559202
stats.alpha_precision.delta_coverage_beta_OC,0.39957939011566757,0.43795698924731186,0.42241627980895907,0.02020236900741381
stats.alpha_precision.authenticity_OC,0.5126182965299685,0.5511182108626198,0.5368369003136585,0.021086090166982357
stats.alpha_precision.delta_precision_alpha_naive,0.951676398222614,0.9607092352877189,0.9551679710267417,0.004852727342680005
stats.alpha_precision.delta_coverage_beta_naive,0.4350537634408602,0.4605678233438486,0.4501202236389214,0.013369450900264961
stats.alpha_precision.authenticity_naive,0.5015974440894568,0.5236593059936908,0.5143328951890062,0.011419177048692311
stats.prdc.precision,0.9728434504792333,0.9790322580645161,0.9760721341833528,0.003103131984913526
stats.prdc.recall,0.9605678233438486,0.9637223974763407,0.9621451104100945,0.001577287066246047
stats.prdc.density,0.9907348242811502,1.0022580645161292,0.9965076190838461,0.005761652627417582
stats.prdc.coverage,0.45662460567823343,0.463459516298633,0.4603925692253768,0.0034709607992180875
performance.linear_model.gt,0.8280465056642342,0.8280465056642342,0.8280465056642342,0.0
performance.linear_model.syn_id,0.8247697797520276,0.826747282058178,0.8257443626036216,0.0009890556430293392
performance.linear_model.syn_ood,0.8245008146670196,0.826691978381729,0.8256113005697493,0.0010958859419987039
performance.mlp.gt,0.6730413353499314,0.6730413353499314,0.6730413353499314,0.0
performance.mlp.syn_id,0.5393096207933086,0.7054882305661504,0.6042617529986648,0.08882963292222303
performance.mlp.syn_ood,0.5438558517505886,0.6799005088478772,0.5935913014860383,0.07503510505999915
performance.xgb.gt,0.9172376192597799,0.9172376192597799,0.9172376192597799,0.0
performance.xgb.syn_id,0.8799850319445544,0.8835818675313469,0.8816926856621113,0.0018052758548192148
performance.xgb.syn_ood,0.8796584056140844,0.8838596368236257,0.8816231506259206,0.0021137569333012085
performance.feat_rank_distance.corr,0.4491112801715194,0.45843844394294253,0.4532139488892963,0.004763703050214673
performance.feat_rank_distance.pvalue,6.923508397724252e-80,9.590288330431396e-77,3.520896876132632e-77,5.278052815755199e-77
detection.detection_xgb.mean,0.746129828074347,0.7489986731112891,0.7478678994376907,0.0015278009767224552
detection.detection_gmm.mean,0.4955642456199844,0.5118802234667759,0.5047698134579787,0.008357334983185806
detection.detection_linear.mean,0.5666046050385206,0.5833419524394896,0.5752020904569046,0.00837805251307995
privacy.delta-presence.score,12.285714279863946,12.899999993549999,12.490476184425964,0.35465802215598413
privacy.k-anonymization.gt,14.0,14.0,14.0,0.0
privacy.k-anonymization.syn,1.00000001,5.00000001,2.6666666766666665,2.081665999466133
privacy.k-map.score,2.0,3.0,2.3333333333333335,0.5773502691896258
privacy.distinct l-diversity.gt,14.0,14.0,14.0,0.0
privacy.distinct l-diversity.syn,1.00000001,5.00000001,2.6666666766666665,2.081665999466133
privacy.identifiability_score.,0.11698212407991587,0.12171398527865405,0.1189975464423414,0.002442579716923657
privacy.identifiability_score._privacy.identifiability_score.OC,0.13590956887486855,0.13906414300736067,0.13722397476340695,0.001641692428601052
prdc_precision,0.8387,0.8516,0.8452333333333333,0.006451614784945974
prdc_recall,0.9025,0.9243,0.9123,0.01106526095489846
nn_identifiability,0.5264,0.5397,0.5313,0.007308214556237357
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0007,0.0016,0.0011666666666666665,0.0004509249752822895
