metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.09816473462935617
sanity.close_values_probability.score,0.906677181913775
sanity.distant_values_probability.score,0.0013144058885383807
stats.jensenshannon_dist.marginal,0.00441125525398001
stats.inv_kl_divergence.marginal,0.9602214144516339
stats.ks_test.marginal,0.9446114779587534
stats.max_mean_discrepancy.joint,0.0019268431647708347
stats.wasserstein_dist.joint,0.7432154417037964
stats.alpha_precision.delta_precision_alpha_OC,0.8571223972678198
stats.alpha_precision.delta_coverage_beta_OC,0.42971246006389774
stats.alpha_precision.authenticity_OC,0.5511182108626198
stats.alpha_precision.delta_precision_alpha_naive,0.951676398222614
stats.alpha_precision.delta_coverage_beta_naive,0.45473908413205544
stats.alpha_precision.authenticity_naive,0.5015974440894568
stats.prdc.precision,0.9728434504792333
stats.prdc.recall,0.9637223974763407
stats.prdc.density,0.9907348242811502
stats.prdc.coverage,0.46109358569926395
performance.linear_model.gt,0.8280465056642342
performance.linear_model.syn_id,0.826747282058178
performance.linear_model.syn_ood,0.826691978381729
performance.mlp.gt,0.6730413353499314
performance.mlp.syn_id,0.5679874076365354
performance.mlp.syn_ood,0.5570175438596491
performance.xgb.gt,0.9172376192597799
performance.xgb.syn_id,0.8815111575104329
performance.xgb.syn_ood,0.8813514094400521
performance.feat_rank_distance.corr,0.45843844394294253
performance.feat_rank_distance.pvalue,6.923508397724252e-80
detection.detection_xgb.mean,0.746129828074347
detection.detection_gmm.mean,0.5068649712871756
detection.detection_linear.mean,0.5756597138927037
privacy.delta-presence.score,12.285714279863946
privacy.k-anonymization.gt,14.0
privacy.k-anonymization.syn,5.00000001
privacy.k-map.score,3.0
privacy.distinct l-diversity.gt,14.0
privacy.distinct l-diversity.syn,5.00000001
privacy.identifiability_score.,0.12171398527865405
privacy.identifiability_score._privacy.identifiability_score.OC,0.1366982124079916
prdc_precision,0.8387
prdc_recall,0.9025
nn_identifiability,0.5397
coverage_score,1.0
mmd,0.0007
