metric,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.009626849495874336,0.015397660479533433,0.012065505247520283,0.0024540582961354498
sanity.close_values_probability.score,0.9885420126203919,0.9911989372301561,0.9902856193955496,0.001253708806919748
sanity.distant_values_probability.score,0.00033211557622052476,0.0033211557622052474,0.001203918963799402,0.00143089405011741
stats.jensenshannon_dist.marginal,0.0043785036327584495,0.006097097834484162,0.005140619821134574,0.0007230180597490641
stats.inv_kl_divergence.marginal,0.8711265167631195,0.8948770810405396,0.8821996589456904,0.009781287715368247
stats.ks_test.marginal,0.9252613468234643,0.9394881394482855,0.932513976264234,0.005938848375938912
stats.max_mean_discrepancy.joint,0.0012541418332702558,0.0013846385861694358,0.0013465017445518557,6.193760256712726e-05
stats.wasserstein_dist.joint,1.9307756423950195,1.9825377464294434,1.963488608598709,0.023476828674404853
stats.alpha_precision.delta_precision_alpha_OC,0.8508425141523817,0.9426893952818041,0.8985604426188847,0.044544794158861756
stats.alpha_precision.delta_coverage_beta_OC,0.41719696969696973,0.5003314917127073,0.45215744921286427,0.04019047692896216
stats.alpha_precision.authenticity_OC,0.5171270718232044,0.5965909090909091,0.5507391808463218,0.03321057213380468
stats.alpha_precision.delta_precision_alpha_naive,0.9263351749539595,0.9624812465298697,0.9433691473912076,0.01693643980139008
stats.alpha_precision.delta_coverage_beta_naive,0.2898252826310379,0.3159090909090908,0.3037464522302277,0.011502210641872604
stats.alpha_precision.authenticity_naive,0.5594002306805075,0.6022610483042138,0.5788617662554721,0.01939050265759138
stats.prdc.precision,0.9845303867403314,0.9907727797001153,0.9881042649353475,0.0031583032312560875
stats.prdc.recall,0.929093324476918,0.943706409830621,0.9350298904018598,0.006304913390720673
stats.prdc.density,0.9872727272727273,1.0170606372045221,0.9973735270019202,0.013732244867576217
stats.prdc.coverage,0.3380936565924942,0.37612089006974425,0.3511291929591498,0.017038802230151216
performance.linear_model.gt,0.7135184390739095,0.7135184390739095,0.7135184390739095,0.0
performance.linear_model.syn_id,0.6860485190283168,0.7482485212216308,0.7244978259647604,0.027077921008362402
performance.linear_model.syn_ood,0.6861206043241953,0.7484085412692967,0.7244788746562265,0.027083162857985704
performance.mlp.gt,0.49823424685520823,0.49823424685520823,0.49823424685520823,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.909559206620799,0.909559206620799,0.909559206620799,0.0
performance.xgb.syn_id,0.8193567794648466,0.8320625730752951,0.8275920131051437,0.005686421724073153
performance.xgb.syn_ood,0.8194389546110026,0.8322887710922571,0.8277514202483067,0.00577025205294013
performance.feat_rank_distance.corr,0.25156498351983564,0.31465740659049807,0.28628430713097885,0.028399065976552035
performance.feat_rank_distance.pvalue,3.673232169087798e-60,4.2927067888276934e-39,1.0731767353889108e-39,2.1463533689591896e-39
detection.detection_xgb.mean,0.8724617489043813,0.8996315301516284,0.8840183179700654,0.01133820899737088
detection.detection_gmm.mean,0.4985286415660841,0.5233355729236507,0.5126065196046278,0.010424966623810724
detection.detection_linear.mean,0.4889043788983399,0.5412114708484606,0.5179172622906713,0.02160904397953411
privacy.delta-presence.score,11.205128202255095,33.99999966000001,17.69522135630222,10.933821537111243
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0
privacy.k-anonymization.syn,3.00000001,6.00000001,4.25000001,1.2583057392117916
privacy.k-map.score,1.0,7.0,3.5,3.0
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0
privacy.distinct l-diversity.syn,3.00000001,6.00000001,4.25000001,1.2583057392117916
privacy.identifiability_score.,0.08319495184324145,0.08933909000332116,0.08668216539355697,0.002801738234217593
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.12570574559946862,0.0568332779807373,0.06635754194368113
prdc_precision,0.5436,0.583,0.557975,0.017255409779737663
prdc_recall,0.6184,0.6398,0.62765,0.009164605828948699
nn_identifiability,0.6045,0.6337,0.6227750000000001,0.012810770208435292
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0045,0.0087,0.0060750000000000005,0.0018732769861039412
