metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.011062996865245986
sanity.close_values_probability.score,0.9885420126203919
sanity.distant_values_probability.score,0.00033211557622052476
stats.jensenshannon_dist.marginal,0.005207307468872598
stats.inv_kl_divergence.marginal,0.8824935122211838
stats.ks_test.marginal,0.9311479847505194
stats.max_mean_discrepancy.joint,0.0013788073766531845
stats.wasserstein_dist.joint,1.9825377464294434
stats.alpha_precision.delta_precision_alpha_OC,0.8508425141523817
stats.alpha_precision.delta_coverage_beta_OC,0.47020376778162243
stats.alpha_precision.authenticity_OC,0.5455594002306805
stats.alpha_precision.delta_precision_alpha_naive,0.9322568242983468
stats.alpha_precision.delta_coverage_beta_naive,0.30980392156862757
stats.alpha_precision.authenticity_naive,0.5594002306805075
stats.prdc.precision,0.9907727797001153
stats.prdc.recall,0.9320823646629027
stats.prdc.density,0.9886966551326414
stats.prdc.coverage,0.3380936565924942
performance.linear_model.gt,0.7135184390739095
performance.linear_model.syn_id,0.6860485190283168
performance.linear_model.syn_ood,0.6861206043241953
performance.mlp.gt,0.49823424685520823
performance.mlp.syn_id,0.5
performance.mlp.syn_ood,0.5
performance.xgb.gt,0.909559206620799
performance.xgb.syn_id,0.8284460473111992
performance.xgb.syn_ood,0.8283986061765475
performance.feat_rank_distance.corr,0.3034022992632001
performance.feat_rank_distance.pvalue,4.619013703691263e-56
detection.detection_xgb.mean,0.8822246130387169
detection.detection_gmm.mean,0.5123923824374866
detection.detection_linear.mean,0.4889043788983399
privacy.delta-presence.score,33.99999966000001
privacy.k-anonymization.gt,4.0
privacy.k-anonymization.syn,3.00000001
privacy.k-map.score,1.0
privacy.distinct l-diversity.gt,4.0
privacy.distinct l-diversity.syn,3.00000001
privacy.identifiability_score.,0.08319495184324145
privacy.identifiability_score._privacy.identifiability_score.OC,0.0
prdc_precision,0.5513
prdc_recall,0.6184
nn_identifiability,0.624
coverage_score,1.0
mmd,0.0087
