metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.15067395023590777
sanity.close_values_probability.score,0.786308973172988
sanity.distant_values_probability.score,0.0009250693802035153
stats.jensenshannon_dist.marginal,0.008215631530492073
stats.inv_kl_divergence.marginal,0.9700192538345404
stats.ks_test.marginal,0.9213952560349915
stats.max_mean_discrepancy.joint,0.0051126504109605675
stats.wasserstein_dist.joint,0.03184882923960686
stats.alpha_precision.delta_precision_alpha_OC,0.7932512539899681
stats.alpha_precision.delta_coverage_beta_OC,0.42380300957592343
stats.alpha_precision.authenticity_OC,0.5102599179206566
stats.alpha_precision.delta_precision_alpha_naive,0.9059955658285769
stats.alpha_precision.delta_coverage_beta_naive,0.3390788873689009
stats.alpha_precision.authenticity_naive,0.5827633378932968
stats.prdc.precision,0.8891928864569083
stats.prdc.recall,0.9777983348751156
stats.prdc.density,0.7745554035567715
stats.prdc.coverage,0.8048103607770583
performance.linear_model.gt,0.8229259663143148
performance.linear_model.syn_id,0.8136355710624326
performance.linear_model.syn_ood,0.8141680903457382
performance.mlp.gt,0.7811703360489194
performance.mlp.syn_id,0.788553638290642
performance.mlp.syn_ood,0.7350202429149797
performance.xgb.gt,0.9193500817760143
performance.xgb.syn_id,0.8821061221236132
performance.xgb.syn_ood,0.8823894913632465
performance.feat_rank_distance.corr,0.3224085694055123
performance.feat_rank_distance.pvalue,1.5929111996762285e-12
detection.detection_xgb.mean,0.7553516400913977
detection.detection_gmm.mean,0.4994004685227883
detection.detection_linear.mean,0.5421323114277052
privacy.delta-presence.score,2.5833333311805555
privacy.k-anonymization.gt,21.0
privacy.k-anonymization.syn,19.00000001
privacy.k-map.score,9.0
privacy.distinct l-diversity.gt,21.0
privacy.distinct l-diversity.syn,19.00000001
privacy.identifiability_score.,0.23959296947271044
privacy.identifiability_score._privacy.identifiability_score.OC,0.36262719703977797
prdc_precision,0.7907
prdc_recall,0.8492
nn_identifiability,0.667
coverage_score,1.0
mmd,0.0005
