metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.006407801202049763
sanity.close_values_probability.score,0.9939393939393939
sanity.distant_values_probability.score,0.0030303030303030303
stats.jensenshannon_dist.marginal,0.010941462783852784
stats.inv_kl_divergence.marginal,0.8665975200767462
stats.ks_test.marginal,0.8583449436897712
stats.max_mean_discrepancy.joint,0.004320969410630333
stats.wasserstein_dist.joint,0.03636254370212555
stats.alpha_precision.delta_precision_alpha_OC,0.9109160571229536
stats.alpha_precision.delta_coverage_beta_OC,0.40161616161616154
stats.alpha_precision.authenticity_OC,0.5515151515151515
stats.alpha_precision.delta_precision_alpha_naive,0.9006060606060606
stats.alpha_precision.delta_coverage_beta_naive,0.425050505050505
stats.alpha_precision.authenticity_naive,0.5575757575757576
stats.prdc.precision,1.0
stats.prdc.recall,0.9121212121212121
stats.prdc.density,1.0347381864623244
stats.prdc.coverage,1.0
performance.linear_model.gt,0.5104160533806608
performance.linear_model.syn_id,0.5095362927146161
performance.linear_model.syn_ood,0.5034169592843716
performance.mlp.gt,-2.2988603336741944
performance.mlp.syn_id,-0.928217460771991
performance.mlp.syn_ood,-1.311834889099592
performance.xgb.gt,0.4757466193148698
performance.xgb.syn_id,0.4065798790877787
performance.xgb.syn_ood,0.4070856021988705
performance.feat_rank_distance.corr,0.8783100656536799
performance.feat_rank_distance.pvalue,0.006249477882326372
detection.detection_xgb.mean,0.8282248006770299
detection.detection_gmm.mean,0.47083593158433923
detection.detection_linear.mean,0.642683820072355
privacy.delta-presence.score,2.9999999700000006
privacy.k-anonymization.gt,1.0
privacy.k-anonymization.syn,3.00000001
privacy.k-map.score,1.0
privacy.distinct l-diversity.gt,1.0
privacy.distinct l-diversity.syn,3.00000001
privacy.identifiability_score.,0.5545454545454546
privacy.identifiability_score._privacy.identifiability_score.OC,0.5878787878787879
prdc_precision,0.802
prdc_recall,0.7636
nn_identifiability,0.6194
coverage_score,1.0
mmd,0.0411
