,1.0,1.5,2.0,2.5
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.07065154580523605,0.06749626787426843,0.06593602260353909,0.06699619249371366
sanity.close_values_probability.score,0.892859628539917,0.9054497960639264,0.9074669657316907,0.9055277661127518
sanity.distant_values_probability.score,0.002144850424942275,0.001795457237925554,0.0014784363699637637,0.001805913840391208
stats.jensenshannon_dist.marginal,0.00653085946831791,0.0070246403912035075,0.007002476224119017,0.006565633688480293
stats.inv_kl_divergence.marginal,0.9186733388148998,0.9227598435776283,0.925492109593321,0.9271472378824077
stats.ks_test.marginal,0.9104820277682079,0.9075410798860994,0.909084590774801,0.9123258422431302
stats.max_mean_discrepancy.joint,0.0035526871385535494,0.003458312667491234,0.003125618913590368,0.0027608237196025498
stats.wasserstein_dist.joint,0.705119185646375,0.6560728239516418,0.6214902987082799,0.5522670669481158
stats.alpha_precision.delta_precision_alpha_OC,0.7985797334216141,0.8602476467163503,0.7416569261776017,0.6591855211400441
stats.alpha_precision.delta_coverage_beta_OC,0.43288699386018925,0.4318396856372567,0.3826987547974721,0.3498669536551735
stats.alpha_precision.authenticity_OC,0.49097873542029535,0.534667034249998,0.4901503616637271,0.4071661861093133
stats.alpha_precision.delta_precision_alpha_naive,0.9255298978431826,0.9365480863426203,0.9344940520566407,0.9385054119023725
stats.alpha_precision.delta_coverage_beta_naive,0.4272704649908164,0.4071452379679751,0.36762855265867855,0.32937991877907397
stats.alpha_precision.authenticity_naive,0.5357742581204942,0.5554889218524646,0.5719820037978715,0.5925539408386219
stats.prdc.precision,0.959262953664418,0.9480503631874198,0.939805523563854,0.9481728776657196
stats.prdc.recall,0.9706715668785805,0.9588393738579416,0.9565572584862737,0.9396508130910046
stats.prdc.density,0.9326025990243055,0.9187552407752685,0.906674619892941,0.9202890559722082
stats.prdc.coverage,0.608416011845385,0.6317828912330234,0.6436122472320455,0.6829038267484246
detection.detection_xgb.mean,0.7414792482181315,0.8107281116426783,0.835898334297371,0.87334466537045
detection.detection_gmm.mean,0.5091560855560251,0.514549626043844,0.5066216348812446,0.5082290214746141
detection.detection_linear.mean,0.5581942366745644,0.5691009678196297,0.576559117536726,0.574667244309738
privacy.delta-presence.score,11.53854677922936,8.82656286564544,8.874753342691976,5.689354682866152
privacy.k-anonymization.gt,8.6,8.6,8.6,8.6
privacy.k-anonymization.syn,3.983333343333333,5.733333343333333,8.45000001,6.6833333433333335
privacy.k-map.score,2.9666666666666663,4.499999999999999,4.1000000000000005,5.45
privacy.distinct l-diversity.gt,8.6,8.6,8.6,8.6
privacy.distinct l-diversity.syn,3.983333343333333,5.733333343333333,8.45000001,6.6833333433333335
privacy.identifiability_score.,0.2020521372582218,0.22221777496160655,0.23087658750302692,0.2538711554135822
privacy.identifiability_score._privacy.identifiability_score.OC,0.208035612641345,0.25117541965147805,0.23493143678115286,0.30741804808345763
prdc_precision,0.7336483333333333,0.7172633333333333,0.7208283333333332,0.7265533333333334
prdc_recall,0.8702133333333333,0.83109,0.7649033333333333,0.7568733333333333
nn_identifiability,0.5975466666666666,0.6068266666666666,0.6096750000000001,0.6006516666666667
