,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.02814318168694345,0.03958154210291881,0.032759838664921735,0.006029568365112801
sanity.close_values_probability.score,0.9792556436851739,0.987797437461867,0.984136668700427,0.004399696492329438
sanity.distant_values_probability.score,0.0006101281269066504,0.0012202562538133007,0.001016880211511084,0.00035225763830971674
stats.jensenshannon_dist.marginal,0.0037408526546631477,0.005282098329961436,0.004534014109110102,0.0007716109937318769
stats.inv_kl_divergence.marginal,0.9412203890909089,0.9511673514124083,0.9445507520468873,0.005730185613126703
stats.ks_test.marginal,0.8836225799725634,0.9109345654895219,0.8994772647677257,0.014177054638963535
stats.max_mean_discrepancy.joint,0.002659308454775503,0.0026805225596471917,0.0026667711747509495,1.192350792515725e-05
stats.wasserstein_dist.joint,0.45541971921920776,0.4578637480735779,0.4562627871831258,0.001387126716027108
stats.alpha_precision.delta_precision_alpha_OC,0.07035519125683054,0.9513331449029584,0.6505998236895084,0.5026186114015763
stats.alpha_precision.delta_coverage_beta_OC,0.015437158469945422,0.46092896174863385,0.29603278311403763,0.2442447707778052
stats.alpha_precision.authenticity_OC,0.010245901639344262,0.5102459016393442,0.34050899998868633,0.2860533077415965
stats.alpha_precision.delta_precision_alpha_naive,0.8316939890710382,0.8747267759562841,0.8513926129571177,0.021745529316616753
stats.alpha_precision.delta_coverage_beta_naive,0.4497267759562842,0.482377049180328,0.47058165231721905,0.018112584353973976
stats.alpha_precision.authenticity_naive,0.5102459016393442,0.5819672131147541,0.5448853929787644,0.035922978125443664
stats.prdc.precision,0.8811475409836066,0.9323770491803278,0.9150672029324914,0.02937737412936334
stats.prdc.recall,0.9774252593044539,0.9847467968273338,0.9816961561928005,0.0038102489312986337
stats.prdc.density,0.7799180327868853,0.9010351966873706,0.8364106393329487,0.060966698416319284
stats.prdc.coverage,0.5991458206223307,0.6510067114093959,0.6259914582062233,0.02597885156320165
performance.linear_model.gt,0.6775116107744574,0.6775116107744574,0.6775116107744573,1.3597399555105182e-16
performance.linear_model.syn_id,0.5065047671204892,0.5216938745978186,0.5118055416576647,0.008570969348038747
performance.linear_model.syn_ood,0.47953552195511584,0.49600238059685664,0.4861147586924594,0.00871770713501863
performance.mlp.gt,-6192.146104570998,-6192.146104570998,-6192.146104570998,0.0
performance.mlp.syn_id,-17818.28401107749,-1606.895025590777,-10817.401228042703,8328.511868960595
performance.mlp.syn_ood,-18238.37790751209,-1998.257084158167,-12596.592684997726,9184.820348212595
performance.xgb.gt,0.955559134422183,0.955559134422183,0.9555591344221831,1.3597399555105182e-16
performance.xgb.syn_id,0.8548601859327135,0.9467977172976102,0.9151936155747299,0.05227005003232516
performance.xgb.syn_ood,0.8502202708255522,0.9448576652040106,0.9122768571978225,0.053765000106024086
performance.feat_rank_distance.corr,0.303030303030303,0.5151515151515151,0.3838383838383838,0.11472542112727827
performance.feat_rank_distance.pvalue,0.020980351631393297,0.19694994338223504,0.12350691800055225,0.09151892466871064
detection.detection_xgb.mean,0.7871130163866544,0.8539565178425386,0.8234101296885177,0.033790776130701944
detection.detection_gmm.mean,0.513755787683003,0.535661297383022,0.521790560300298,0.012062615791598414
detection.detection_linear.mean,0.5175498538050447,0.5995566221588903,0.5693703133707791,0.045081092199080776
privacy.delta-presence.score,7.7999999844,12.999999870000002,9.5333332796,3.002221333737184
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0
privacy.k-anonymization.syn,2.00000001,3.00000001,2.3333333433333334,0.5773502691896258
privacy.k-map.score,1.0,2.0,1.6666666666666667,0.5773502691896257
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0
privacy.distinct l-diversity.syn,2.00000001,3.00000001,2.3333333433333334,0.5773502691896258
privacy.identifiability_score.,0.17388651616839537,0.18791946308724833,0.17876754118364857,0.007931665649786456
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.22208663819402075,0.07402887939800691,0.1282217803447369
prdc_precision,0.6066,0.6749,0.6396000000000001,0.0342080399906221
prdc_recall,0.8694,0.9085,0.8887333333333333,0.019553601543790693
nn_identifiability,0.0193,0.0227,0.020833333333333332,0.0017243356208503419
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0039,0.0064,0.0047666666666666664,0.0014153915830374766
