,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.009074461366527046,0.022110020918440644,0.017399145697129175,0.007230225820585797
sanity.close_values_probability.score,0.9822318166722019,0.9945200929923613,0.9874349606996567,0.006356637759307229
sanity.distant_values_probability.score,0.00033211557622052476,0.003985386914646297,0.0021033986493966565,0.0018291499658871144
stats.jensenshannon_dist.marginal,0.008006010585305966,0.009023905572868076,0.008519181003950547,0.0005090000498125968
stats.inv_kl_divergence.marginal,0.838383882348138,0.8425036899300272,0.8401162843580323,0.0021365804168627005
stats.ks_test.marginal,0.8951878516248705,0.9089762609465581,0.9011211322604616,0.0070922621815979175
stats.max_mean_discrepancy.joint,0.0021705983403346356,0.0022404174385305506,0.0022091186164700438,3.546531640123394e-05
stats.wasserstein_dist.joint,2.169111728668213,2.1708993911743164,2.170078754425049,0.0009027771680125237
stats.alpha_precision.delta_precision_alpha_OC,0.06666666666666665,0.7689770345288277,0.5348121530417156,0.4054258943376269
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.4567802271209085,0.30282787797817856,0.26226891978784495
stats.alpha_precision.authenticity_OC,0.002004008016032064,0.56312625250501,0.3720774883099532,0.3205494190383073
stats.alpha_precision.delta_precision_alpha_naive,0.9463248335751964,0.9625826365374427,0.9530708927433412,0.008474420208928583
stats.alpha_precision.delta_coverage_beta_naive,0.31075484301937206,0.3595190380761524,0.3399242930305055,0.02575350289312141
stats.alpha_precision.authenticity_naive,0.533066132264529,0.5591182364729459,0.5470941883767534,0.013141159367338692
stats.prdc.precision,0.9819639278557114,0.9959919839679359,0.991315965263861,0.008099101972599968
stats.prdc.recall,0.9302557289936898,0.946861507804716,0.9390567917635337,0.008347604601499026
stats.prdc.density,1.0008016032064129,1.0264529058116234,1.0165664662658653,0.013799066221697173
stats.prdc.coverage,0.2286615742278313,0.23331119229491862,0.23159526181777923,0.0025528290839367147
performance.linear_model.gt,0.7135184390739095,0.7135184390739095,0.7135184390739097,1.3597399555105182e-16
performance.linear_model.syn_id,0.6956243611672008,0.7379730658344088,0.7237663689842041,0.02437207142517095
performance.linear_model.syn_ood,0.6952934348999882,0.7380855866583961,0.7236509028995198,0.02455962140969471
performance.mlp.gt,0.49823424685520823,0.49823424685520823,0.4982342468552082,6.798699777552591e-17
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.909559206620799,0.909559206620799,0.909559206620799,0.0
performance.xgb.syn_id,0.7717535045688247,0.8306192906868691,0.80548824479072,0.030361371195352673
performance.xgb.syn_ood,0.7717902709387947,0.8309273692805649,0.8055219195208471,0.030435066784760482
performance.feat_rank_distance.corr,0.28702251771998893,0.34502975570988126,0.30652224361043295,0.033349390807470694
performance.feat_rank_distance.pvalue,5.802256789202665e-72,2.3207037721801776e-50,1.3005284430936154e-50,1.1854808732969568e-50
detection.detection_xgb.mean,0.8280206620735135,0.8834273015441354,0.8583627462713875,0.02807780543460485
detection.detection_gmm.mean,0.4895305990106048,0.5395000301745067,0.5167745028714054,0.02528928246805068
detection.detection_linear.mean,0.584936945070005,0.6172061444040213,0.6004094842127362,0.01617529841542459
privacy.delta-presence.score,36.41666663631944,72.83333321194445,54.083333223865736,18.232487750238384
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,2.0,4.0,3.0,1.0
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.05131185652607107,0.05313849219528396,0.05225285065869589,0.0009145749829435576
privacy.identifiability_score._privacy.identifiability_score.OC,0.06260378611756891,0.06858186648953836,0.06631241005203144,0.0032384816730455196
prdc_precision,0.4228,0.497,0.4562333333333333,0.03763965107879366
prdc_recall,0.6644,0.7014,0.6812,0.018732858831475796
nn_identifiability,0.0812,0.0957,0.08923333333333333,0.007375861531599772
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0128,0.0159,0.014333333333333332,0.0015502687938977982
