,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.09861837101532177,0.10094686101790529,0.09976480319901276,0.0011646537307051757
sanity.close_values_probability.score,0.8916929547844374,0.8961619348054679,0.8944093936207501,0.0023853237975492666
sanity.distant_values_probability.score,0.0013144058885383807,0.0013144058885383807,0.0013144058885383805,2.655742100606481e-19
stats.jensenshannon_dist.marginal,0.00450261293330245,0.004794137752059144,0.004644545466532403,0.00014591327507021746
stats.inv_kl_divergence.marginal,0.9538847325816888,0.9591985515970975,0.9574222726326137,0.003063608753266094
stats.ks_test.marginal,0.9464244336105536,0.948578529777268,0.947461683076825,0.001079251761003513
stats.max_mean_discrepancy.joint,0.0022642574887101054,0.00226431916009052,0.0022642921247250244,3.1530416969979335e-08
stats.wasserstein_dist.joint,0.78566974401474,0.786446750164032,0.7860631744066874,0.00038859680180974133
stats.alpha_precision.delta_precision_alpha_OC,0.5828,0.6901333333333334,0.6444659003831418,0.05542629638775706
stats.alpha_precision.delta_coverage_beta_OC,0.3545333333333335,0.4124000000000001,0.3876000000000001,0.029805890543835596
stats.alpha_precision.authenticity_OC,0.496,0.582,0.5453333333333333,0.044377171308380314
stats.alpha_precision.delta_precision_alpha_naive,0.9473655172413793,0.9513931034482759,0.9499954022988506,0.002279050361648782
stats.alpha_precision.delta_coverage_beta_naive,0.4668,0.4806666666666667,0.4743555555555556,0.0070165940877745525
stats.alpha_precision.authenticity_naive,0.514,0.544,0.5246666666666667,0.01677299416721218
stats.prdc.precision,0.98,0.984,0.9819999999999999,0.0020000000000000018
stats.prdc.recall,0.9755520504731862,0.9776550998948476,0.9765159481247809,0.001062421631000882
stats.prdc.density,1.006,1.0168,1.0132,0.0062353829072479125
stats.prdc.coverage,0.46109358569926395,0.463459516298633,0.46196985629162285,0.0012967620563396995
performance.linear_model.gt,0.8280465056642342,0.8280465056642342,0.8280465056642342,0.0
performance.linear_model.syn_id,0.8255268282620282,0.8269053125621102,0.8263807463173837,0.0007459284166504204
performance.linear_model.syn_ood,0.8254857853749821,0.8266856412285776,0.826232251384606,0.0006514090469950367
performance.mlp.gt,0.6730413353499314,0.6730413353499314,0.6730413353499314,0.0
performance.mlp.syn_id,0.5963490711635371,0.723463281870487,0.6805638132378639,0.0729364072708875
performance.mlp.syn_ood,0.6090225563909775,0.7212766765398344,0.6813650287334498,0.06276197620905816
performance.xgb.gt,0.9172376192597799,0.9172376192597799,0.9172376192597799,0.0
performance.xgb.syn_id,0.8849201782381751,0.8872616001470288,0.8859032186218632,0.0012149999457528279
performance.xgb.syn_ood,0.8851208932649376,0.887509240528631,0.8860596774724199,0.0012734684673087306
performance.feat_rank_distance.corr,0.4676118680406667,0.5313852963552113,0.49976024160269256,0.03188993472366912
performance.feat_rank_distance.pvalue,1.129568778700533e-106,4.86890011532197e-83,1.6229667051103248e-83,2.81106079223594e-83
detection.detection_xgb.mean,0.5603313057611177,0.5709843799709523,0.565582838831639,0.005328121089613865
detection.detection_gmm.mean,0.49251490248288265,0.5125918770316067,0.4992786073264634,0.011530126914496201
detection.detection_linear.mean,0.5334357873988519,0.5405748530327132,0.5380759573045624,0.004022481306203607
privacy.delta-presence.score,15.176470579307958,15.176470579307958,15.176470579307958,0.0
privacy.k-anonymization.gt,14.0,14.0,14.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.6666666766666667,0.5773502691896257
privacy.k-map.score,2.0,2.0,2.0,0.0
privacy.distinct l-diversity.gt,14.0,14.0,14.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.6666666766666667,0.5773502691896257
privacy.identifiability_score.,0.11961093585699265,0.12302839116719243,0.1211882229232387,0.0017238271620141925
privacy.identifiability_score._privacy.identifiability_score.OC,0.11750788643533124,0.11855941114616193,0.11803364879074658,0.000525762355415349
prdc_precision,0.874,0.876,0.8753333333333333,0.0011547005383792527
prdc_recall,0.9314,0.9382,0.9356,0.0036715119501371796
nn_identifiability,0.0259,0.026,0.025966666666666666,5.7735026918962226e-05
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0005,0.0005,0.0005,0.0
