,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.17143553894344038,0.1745129897921486,0.17323555716274155,0.0016039007779870612
sanity.close_values_probability.score,0.6901017576318224,0.7076780758556892,0.6996608078939254,0.008889013447671675
sanity.distant_values_probability.score,0.0009250693802035153,0.0009250693802035153,0.0009250693802035154,1.3278710503032405e-19
stats.jensenshannon_dist.marginal,0.005967454101356692,0.007523200571098106,0.006740813972994462,0.0007779125149213346
stats.inv_kl_divergence.marginal,0.9721724138647972,0.9809120411462247,0.976379462777259,0.004378898071987559
stats.ks_test.marginal,0.9214535923527598,0.9406534073388837,0.931581560283688,0.009643379457092068
stats.max_mean_discrepancy.joint,0.004234979149874724,0.00502574561546934,0.004609806216519301,0.0003969830836168546
stats.wasserstein_dist.joint,0.06741514801979065,0.06763874739408493,0.06750735888878505,0.00011683464998048522
stats.alpha_precision.delta_precision_alpha_OC,0.7747999999999999,0.8749333333333333,0.8283111111111111,0.05042086575718139
stats.alpha_precision.delta_coverage_beta_OC,0.43999999999999995,0.5121333333333333,0.4660444444444445,0.040026731808371005
stats.alpha_precision.authenticity_OC,0.46,0.566,0.5173333333333333,0.0535288084430555
stats.alpha_precision.delta_precision_alpha_naive,0.8858666666666667,0.9170666666666667,0.8984000000000001,0.016479482192512412
stats.alpha_precision.delta_coverage_beta_naive,0.39146666666666663,0.4152,0.4021333333333333,0.012047314131281638
stats.alpha_precision.authenticity_naive,0.506,0.596,0.5399999999999999,0.04886716689148244
stats.prdc.precision,0.916,0.93,0.922,0.007211102550927985
stats.prdc.recall,0.9851988899167438,0.9925994449583718,0.9898242368177613,0.004032283944070916
stats.prdc.density,0.8260000000000001,0.8448000000000001,0.8350666666666667,0.009417713806085515
stats.prdc.coverage,0.7872340425531915,0.8048103607770583,0.7964847363552267,0.008824599458066079
performance.linear_model.gt,0.8229259663143148,0.8229259663143148,0.8229259663143148,0.0
performance.linear_model.syn_id,0.8058698626283002,0.8077617835991913,0.8065637454897606,0.0010418592158090957
performance.linear_model.syn_ood,0.8064112709299677,0.808530103376277,0.8071289692647309,0.0012135386601271805
performance.mlp.gt,0.7811703360489194,0.7811703360489194,0.7811703360489194,0.0
performance.mlp.syn_id,0.7444967133623221,0.7779024575553023,0.7562176239742646,0.018800153110340723
performance.mlp.syn_ood,0.6957489878542511,0.7836538461538463,0.7344635627530365,0.04487896366486769
performance.xgb.gt,0.9193500817760143,0.9193500817760143,0.9193500817760144,1.3597399555105182e-16
performance.xgb.syn_id,0.8659237054635962,0.8925012877628025,0.8802445739332759,0.01340848690201919
performance.xgb.syn_ood,0.8673687771469556,0.8912605089719012,0.8802535454426629,0.012056049330295176
performance.feat_rank_distance.corr,0.17015192960579717,0.37103415912347615,0.2758996623319287,0.10086078582259175
performance.feat_rank_distance.pvalue,4.209595723209179e-16,0.00019222315162339756,6.407449704873111e-05,0.0001109799903225879
detection.detection_xgb.mean,0.6444023724185015,0.68414520395972,0.6699559936280366,0.02217511083802952
detection.detection_gmm.mean,0.48861399129544286,0.5044358678955453,0.4982745846845309,0.008471530179312018
detection.detection_linear.mean,0.5232674091141833,0.5376632957842636,0.5320645872446947,0.0077125251408074825
privacy.delta-presence.score,2.9729729721694667,4.1999999916,3.390990987298156,0.7007526609397191
privacy.k-anonymization.gt,21.0,21.0,21.0,0.0
privacy.k-anonymization.syn,4.00000001,12.00000001,9.00000001,4.358898943540674
privacy.k-map.score,5.0,10.0,7.666666666666667,2.516611478423583
privacy.distinct l-diversity.gt,21.0,21.0,21.0,0.0
privacy.distinct l-diversity.syn,4.00000001,12.00000001,9.00000001,4.358898943540674
privacy.identifiability_score.,0.23774283071230343,0.2479185938945421,0.24421831637372804,0.005626977363828138
privacy.identifiability_score._privacy.identifiability_score.OC,0.2664199814986124,0.28307123034227566,0.27412889300030835,0.008393868386565641
prdc_precision,0.81,0.854,0.8306666666666667,0.022120880030716043
prdc_recall,0.9343,0.9436,0.9401666666666667,0.005105226080530928
nn_identifiability,0.0259,0.0272,0.02666666666666666,0.0006806859285554043
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0,0.0004,0.0002,0.0002
