,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.025120121778004396,0.04686634791047656,0.03640027082528966,0.01089594523759916
sanity.close_values_probability.score,0.9363636363636364,0.9636363636363636,0.9545454545454545,0.01574591643244431
sanity.distant_values_probability.score,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0
stats.jensenshannon_dist.marginal,0.014446638852023776,0.02494392080435065,0.020526253549889583,0.005442406092450429
stats.inv_kl_divergence.marginal,0.32428525683984927,0.5951201083007144,0.42889948972792363,0.14554858040979907
stats.ks_test.marginal,0.7072916666666667,0.8399299599771297,0.754692562416619,0.07397249397595974
stats.max_mean_discrepancy.joint,0.021898227558604915,0.12803030303030302,0.09265294453973698,0.06127538234323858
stats.wasserstein_dist.joint,420687.0625,489084.53125,466285.3645833333,39489.28797360665
stats.alpha_precision.delta_precision_alpha_OC,0.5761494252873562,0.871351116894383,0.7331706788115376,0.14849997281745003
stats.alpha_precision.delta_coverage_beta_OC,0.35849056603773577,0.8362068965517242,0.6211252078363334,0.2423823129276099
stats.alpha_precision.authenticity_OC,0.0,0.5094339622641509,0.2531446540880503,0.2547315392997856
stats.alpha_precision.delta_precision_alpha_naive,0.16666666666666663,0.9024072869225764,0.5452468734186365,0.3683377128814384
stats.alpha_precision.delta_coverage_beta_naive,0.25258620689655176,0.3275862068965517,0.2864725656039904,0.03801874814054127
stats.alpha_precision.authenticity_naive,0.625,0.875,0.7452830188679246,0.12526671438575002
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.9181818181818182,0.9666666666666667,0.9373737373737373,0.025772425903379945
stats.prdc.density,1.0,1.25,1.1009433962264152,0.13176175680127283
stats.prdc.coverage,0.12121212121212122,0.4484848484848485,0.2393939393939394,0.1815907668676198
performance.linear_model.gt,0.5104160533806608,0.5104160533806608,0.5104160533806608,0.0
performance.linear_model.syn_id,-1.6425981685211553,0.4556347588338321,-0.7539352305629423,1.0853024261036246
performance.linear_model.syn_ood,-1.7856240189343235,0.4500506294985824,-0.8355845141052399,1.1550015618971552
performance.mlp.gt,-2.2988603336741944,-2.2988603336741944,-2.2988603336741944,0.0
performance.mlp.syn_id,-2.3294029066910213,-2.308763254674124,-2.3183667860228927,0.010394135027173288
performance.mlp.syn_ood,-3.2791011411000452,-3.2499477365669223,-3.2635221281999827,0.014679718280200956
performance.xgb.gt,0.4757466193148698,0.4757466193148698,0.4757466193148698,0.0
performance.xgb.syn_id,0.14357160359868254,0.20250809275713602,0.18070921391959735,0.032323906806270515
performance.xgb.syn_ood,0.15601352842652857,0.2076225016265616,0.1817669018849989,0.025804638465790366
performance.feat_rank_distance.corr,0.42163702135578396,0.8999999999999999,0.6738790071185946,0.2402488595939104
performance.feat_rank_distance.pvalue,0.005693166928512074,0.2048216795773823,0.08067642254616489,0.10828535415594442
detection.detection_xgb.mean,0.4234848484848485,0.8425619834710745,0.5987832874196511,0.21776953523882703
detection.detection_gmm.mean,0.4136363636363637,0.4665289256198347,0.43581267217630854,0.027460949956456048
detection.detection_linear.mean,0.6212121212121213,0.6809366391184574,0.6431404958677687,0.03287239069379349
privacy.delta-presence.score,50.99999949000001,127.99999872000002,78.66666588000002,42.829117392804946
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,4.00000001,999.00000001,667.3333333433334,574.4635178436777
privacy.k-map.score,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,4.00000001,999.00000001,667.3333333433334,574.4635178436777
privacy.identifiability_score.,0.021212121212121213,0.1,0.048484848484848485,0.044639151098958295
privacy.identifiability_score._privacy.identifiability_score.OC,0.015151515151515152,0.10909090909090909,0.051515151515151514,0.05043429386997951
prdc_precision,0.8679,0.875,0.8726333333333334,0.00409918691124634
prdc_recall,0.7576,0.997,0.9161666666666667,0.13733150888755766
nn_identifiability,0.1099,0.1341,0.12196666666666667,0.012100137740262848
coverage_score,0.6,0.85,0.7000000000000001,0.1322875655532295
mmd,0.0091,0.0422,0.022766666666666668,0.01728708573858918
