,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.0348039457046562,0.03951515871196967,0.03700235014141984,0.002371290675892836
sanity.close_values_probability.score,0.975594874923734,0.9847467968273338,0.9794590197274761,0.004739141833529038
sanity.distant_values_probability.score,0.0006101281269066504,0.0012202562538133007,0.001016880211511084,0.00035225763830971674
stats.jensenshannon_dist.marginal,0.003449516597238384,0.004156187677979402,0.0037127081943973653,0.000386294959301942
stats.inv_kl_divergence.marginal,0.9433218243485275,0.9565280989778268,0.9489749128858751,0.006805086364909522
stats.ks_test.marginal,0.9031636747966005,0.9181850080793068,0.9119821616040209,0.007844825948219046
stats.max_mean_discrepancy.joint,0.0026487386176345822,0.0026749693274433573,0.002662459885080398,1.3157276476977381e-05
stats.wasserstein_dist.joint,0.4552946388721466,0.8494375944137573,0.5940317809581757,0.22146297999918976
stats.alpha_precision.delta_precision_alpha_OC,0.23487455450919315,0.9632467133989473,0.7080551876112828,0.4102084087902579
stats.alpha_precision.delta_coverage_beta_OC,0.23966579338667426,0.4854209445585216,0.386049689522834,0.12944705442498775
stats.alpha_precision.authenticity_OC,0.09856262833675565,0.5223577235772358,0.3808269756208855,0.2444484202695651
stats.alpha_precision.delta_precision_alpha_naive,0.8350444900752909,0.8858316221765914,0.8674374755383419,0.02813909758860111
stats.alpha_precision.delta_coverage_beta_naive,0.47159479808350446,0.5117886178861788,0.48805000473002674,0.021063518114760683
stats.alpha_precision.authenticity_naive,0.47764227642276424,0.5441478439425051,0.5185570079520098,0.0358031277773688
stats.prdc.precision,0.9146341463414634,0.9486652977412731,0.932530341730522,0.017083801962969686
stats.prdc.recall,0.9816961561928005,0.9932885906040269,0.9886109416310759,0.006111441611273849
stats.prdc.density,0.7921971252566735,0.8739219712525668,0.8404678831182562,0.04282975472283745
stats.prdc.coverage,0.5924344112263575,0.6388041488712629,0.6186699206833435,0.02377934749225754
performance.linear_model.gt,0.6775116107744574,0.6775116107744574,0.6775116107744573,1.3597399555105182e-16
performance.linear_model.syn_id,-0.4418534899572282,0.5187860084715272,-0.05462073503101528,0.5066582941215678
performance.linear_model.syn_ood,-0.45161421571207716,0.49233263019419055,-0.08918506874187243,0.5086833564959348
performance.mlp.gt,-6192.146104570998,-6192.146104570998,-6192.146104570998,0.0
performance.mlp.syn_id,-9378.789060767616,-3790.600574947196,-6596.839318317077,2794.173420698548
performance.mlp.syn_ood,-8771.120574241982,-4145.427862377007,-6195.3503813225825,2357.2537195469545
performance.xgb.gt,0.955559134422183,0.955559134422183,0.9555591344221831,1.3597399555105182e-16
performance.xgb.syn_id,0.8873675348843421,0.9587674597603714,0.9141294822865035,0.03891210167054818
performance.xgb.syn_ood,0.8854415992155342,0.9583189579425934,0.9123790680433043,0.03998245063390436
performance.feat_rank_distance.corr,0.4848484848484848,0.4848484848484848,0.4848484848484848,0.0
performance.feat_rank_distance.pvalue,0.031050242838437284,0.031050242838437284,0.031050242838437284,0.0
detection.detection_xgb.mean,0.790009395831561,0.7932873281197451,0.7921675511738632,0.0018694604280631417
detection.detection_gmm.mean,0.5153883744076501,0.5252706180074529,0.5194868895536311,0.005152149314718462
detection.detection_linear.mean,0.5113510032276805,0.5975563354434977,0.5471201360989979,0.04493530855359093
privacy.delta-presence.score,12.999999870000002,38.99999961,21.666666450000005,15.011106848819201
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.3333333433333332,0.5773502691896257
privacy.k-map.score,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.3333333433333332,0.5773502691896257
privacy.identifiability_score.,0.15924344112263575,0.17754728492983526,0.17103925157616431,0.010233675513857333
privacy.identifiability_score._privacy.identifiability_score.OC,0.003050640634533252,0.22208663819402075,0.14785438275371163,0.1254170766114779
prdc_precision,0.6427,0.6992,0.6793333333333335,0.03176323870976216
prdc_recall,0.723,0.8798,0.8216333333333333,0.0858762093558707
nn_identifiability,0.5223,0.5534,0.5382666666666666,0.015566738044090471
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0012,0.0053,0.0026999999999999997,0.0022605309110914633
