,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.007352109150337595,0.02115673851054731,0.014309858838266014,0.0069029824759641555
sanity.close_values_probability.score,0.9885420126203919,0.9931916306874793,0.9901472379054578,0.0026378285303761736
sanity.distant_values_probability.score,0.00033211557622052476,0.0033211557622052474,0.0013284623048820988,0.0017257231559968886
stats.jensenshannon_dist.marginal,0.010030405415453414,0.011382793341785408,0.01059608600621531,0.0007027644642855242
stats.inv_kl_divergence.marginal,0.8195658342642042,0.8345971679841951,0.8283613681328069,0.007835778648583576
stats.ks_test.marginal,0.8835974554289091,0.8921542853225547,0.8879761420793377,0.0042819385447281635
stats.max_mean_discrepancy.joint,0.00217039739750179,0.0021816638488239186,0.002176557856113583,5.706763978076975e-06
stats.wasserstein_dist.joint,2.166315793991089,2.1712636947631836,2.1683689753214517,0.002579063843197477
stats.alpha_precision.delta_precision_alpha_OC,0.7750503018108652,0.8076152304609219,0.7917075724446248,0.016295400694767058
stats.alpha_precision.delta_coverage_beta_OC,0.4010731052984574,0.48830995323981297,0.4475542814493922,0.043899350334856854
stats.alpha_precision.authenticity_OC,0.5080321285140562,0.5714285714285714,0.5348369333810096,0.03281179393651226
stats.alpha_precision.delta_precision_alpha_naive,0.8317907444668008,0.8973780178184,0.8692864923493532,0.03378982325828832
stats.alpha_precision.delta_coverage_beta_naive,0.360187040748163,0.38604963112005364,0.3723957134696822,0.012991726015596712
stats.alpha_precision.authenticity_naive,0.5350701402805611,0.5943775100401606,0.5649466681484901,0.029656196720795794
stats.prdc.precision,0.993963782696177,0.9979959919839679,0.9966505808505436,0.00232683632645297
stats.prdc.recall,0.9231152441049485,0.9420458319495184,0.9348499944647403,0.010249052961150576
stats.prdc.density,1.0100401606425702,1.0277665995975855,1.0164766689110474,0.009809354789310876
stats.prdc.coverage,0.20176021255396878,0.2162072401195616,0.21133621166832725,0.008293474125834935
performance.linear_model.gt,0.7135184390739095,0.7135184390739095,0.7135184390739097,1.3597399555105182e-16
performance.linear_model.syn_id,0.6852185986473533,0.6935654519569765,0.6885375090651493,0.0044281016294865725
performance.linear_model.syn_ood,0.685227470502143,0.6933235350988249,0.6885761852235864,0.004225363973492116
performance.mlp.gt,0.49823424685520823,0.49823424685520823,0.4982342468552082,6.798699777552591e-17
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.909559206620799,0.909559206620799,0.909559206620799,0.0
performance.xgb.syn_id,0.8117208820677131,0.8204953638972359,0.8163829054829126,0.004412980751351353
performance.xgb.syn_ood,0.8120457258929241,0.8207247467045772,0.8166160864603592,0.004357892375176444
performance.feat_rank_distance.corr,0.2883187403476291,0.36784442335704554,0.3158713151242199,0.04503726684917569
performance.feat_rank_distance.pvalue,1.5454743330206874e-81,8.433857005582828e-51,3.0502282271874235e-51,4.6761153318687416e-51
detection.detection_xgb.mean,0.8684019678039266,0.9077046681646701,0.8903750091217427,0.020058572060958336
detection.detection_gmm.mean,0.47730145856909345,0.5524614107117968,0.5137825277283108,0.03762814625686433
detection.detection_linear.mean,0.6301331621170279,0.6527895544686049,0.6392700273065128,0.011947126142790612
privacy.delta-presence.score,42.4999997875,105.99999894000001,64.06666622793334,36.320287641440025
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.3333333433333332,0.5773502691896257
privacy.k-map.score,1.0,2.0,1.3333333333333333,0.5773502691896257
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.3333333433333332,0.5773502691896257
privacy.identifiability_score.,0.04483560278977084,0.05230820325473265,0.048322816340086346,0.0037611264207592587
privacy.identifiability_score._privacy.identifiability_score.OC,0.0644304217867818,0.07289936898040518,0.06847116129746485,0.00424774826590273
prdc_precision,0.483,0.5462,0.5060333333333333,0.03491021817940035
prdc_recall,0.6373,0.6651,0.6531,0.014284257068535304
nn_identifiability,0.602,0.6173,0.6071666666666666,0.00877629382674334
coverage_score,0.9667,1.0,0.9777999999999999,0.019225763964014535
mmd,0.0304,0.0357,0.03353333333333334,0.0027790885796126295
