,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.09222968310061985,0.09438993170641198,0.09323384154835307,0.0010881088838708085
sanity.close_values_probability.score,0.8987907465825447,0.9106203995793901,0.9049246407290571,0.00592698442800067
sanity.distant_values_probability.score,0.0013144058885383807,0.0015772870662460567,0.0014020329477742726,0.0001517745187144126
stats.jensenshannon_dist.marginal,0.0059770571039747785,0.007578330366983854,0.0067139618417390015,0.000808210540976863
stats.inv_kl_divergence.marginal,0.9430941663926745,0.960248333894652,0.9527887282252285,0.008792760514185018
stats.ks_test.marginal,0.9149700797254581,0.9233583802819072,0.920326230268724,0.004652056577923357
stats.max_mean_discrepancy.joint,0.002271673994948556,0.0022804497089188476,0.0022761738464401188,4.392142669642673e-06
stats.wasserstein_dist.joint,0.7868918180465698,0.7880675792694092,0.7875337600708008,0.0005952911240297714
stats.alpha_precision.delta_precision_alpha_OC,0.5759408602150538,0.612877263581489,0.5977423138106044,0.01934957824721813
stats.alpha_precision.delta_coverage_beta_OC,0.4014696058784235,0.4326612903225807,0.41848628800261506,0.0157888141637768
stats.alpha_precision.authenticity_OC,0.5150300601202404,0.5593561368209256,0.5308437860771629,0.024741494953346495
stats.alpha_precision.delta_precision_alpha_naive,0.939783014304471,0.9555849091583241,0.9498740615540585,0.008764392845070036
stats.alpha_precision.delta_coverage_beta_naive,0.41370967741935494,0.43058350100603626,0.4224686902923203,0.008455337244906143
stats.alpha_precision.authenticity_naive,0.5370741482965932,0.5633802816901409,0.5489417992428899,0.013340166583836417
stats.prdc.precision,0.9438877755511023,0.9737903225806451,0.959816240624734,0.01504677007671844
stats.prdc.recall,0.9684542586750788,0.9760778128286015,0.9718717139852787,0.0038724815622125063
stats.prdc.density,0.8997987927565392,0.9580645161290322,0.920556974705344,0.03254426849913994
stats.prdc.coverage,0.38669821240799157,0.41219768664563616,0.39791447599018576,0.013023456525120021
performance.linear_model.gt,0.8280465056642342,0.8280465056642342,0.8280465056642342,0.0
performance.linear_model.syn_id,0.8136242590566944,0.8202907940433871,0.8169960380813815,0.0033339348518436895
performance.linear_model.syn_ood,0.8134714254658852,0.8202783396966222,0.8169127866080773,0.0034040902576019873
performance.mlp.gt,0.6730413353499314,0.6730413353499314,0.6730413353499314,0.0
performance.mlp.syn_id,0.5421807796051725,0.6948892210961426,0.6415038451829629,0.08609686710003923
performance.mlp.syn_ood,0.548462064251538,0.6880003037897775,0.636791473633579,0.07681915857977295
performance.xgb.gt,0.9172376192597799,0.9172376192597799,0.9172376192597799,0.0
performance.xgb.syn_id,0.8542067686874175,0.8726521798355659,0.8646048690214237,0.009444731686558707
performance.xgb.syn_ood,0.8540040415109666,0.8725020285962113,0.8644616714976824,0.009482947206087488
performance.feat_rank_distance.corr,0.26967286810982777,0.3524033473960855,0.30299006385872695,0.043650842859031036
performance.feat_rank_distance.pvalue,5.947397053697094e-48,8.63970789041826e-29,2.8806709348812267e-29,4.987472437977812e-29
detection.detection_xgb.mean,0.7486074076752028,0.7887596080977142,0.7738635132883577,0.02198970594581686
detection.detection_gmm.mean,0.4973303854297872,0.507095199889482,0.5028037356004661,0.004988540972671443
detection.detection_linear.mean,0.6163630018282276,0.6348987670815633,0.6245422717271151,0.009457741876100701
privacy.delta-presence.score,13.999999860000003,17.999999820000003,15.444444335123459,2.219442650080397
privacy.k-anonymization.gt,14.0,14.0,14.0,0.0
privacy.k-anonymization.syn,2.00000001,3.00000001,2.6666666766666665,0.5773502691896258
privacy.k-map.score,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.gt,14.0,14.0,14.0,0.0
privacy.distinct l-diversity.syn,2.00000001,3.00000001,2.6666666766666665,0.5773502691896258
privacy.identifiability_score.,0.09253417455310199,0.10804416403785488,0.09980722046968103,0.007799792783551933
privacy.identifiability_score._privacy.identifiability_score.OC,0.09989484752891693,0.10594111461619347,0.10296179460217314,0.0030240858616784735
prdc_precision,0.7054,0.7445,0.7279333333333332,0.020221358345406313
prdc_recall,0.8365,0.9151,0.8868666666666667,0.043725316846574526
nn_identifiability,0.5886,0.6032,0.5947,0.007590125163658334
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0027,0.004,0.0033666666666666667,0.0006506407098647711
