,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.2439610661132145,0.2839378109872753,0.26760482670843505,0.020967131907882557
sanity.close_values_probability.score,0.3135985198889917,0.4320074005550416,0.3620104841196423,0.06208541194522009
sanity.distant_values_probability.score,0.0009250693802035153,0.008325624421831638,0.004933703361085415,0.003738623389757059
stats.jensenshannon_dist.marginal,0.014690794542992429,0.019699957265555568,0.017536260605560735,0.0025732343332842975
stats.inv_kl_divergence.marginal,0.8199481800510199,0.9210550095090935,0.8764464946861147,0.05159140670155386
stats.ks_test.marginal,0.8156888683317916,0.8513703361085415,0.8279347312159523,0.020302697612317483
stats.max_mean_discrepancy.joint,0.01891420630864514,0.026233934172147325,0.023420141356622015,0.003942348665461642
stats.wasserstein_dist.joint,0.07871861755847931,0.08885648846626282,0.08525701363881429,0.005672041099438681
stats.alpha_precision.delta_precision_alpha_OC,0.5773333333333333,0.6174666666666667,0.5930666666666666,0.021424389009828185
stats.alpha_precision.delta_coverage_beta_OC,0.3290666666666666,0.43746666666666667,0.3854222222222223,0.05432843877067758
stats.alpha_precision.authenticity_OC,0.492,0.584,0.5386666666666667,0.04601449047129971
stats.alpha_precision.delta_precision_alpha_naive,0.8680735632183908,0.9011862068965517,0.8845026819923372,0.016557787735641226
stats.alpha_precision.delta_coverage_beta_naive,0.17013333333333336,0.19373333333333354,0.18195555555555565,0.011800062774472158
stats.alpha_precision.authenticity_naive,0.762,0.766,0.7639999999999999,0.0020000000000000018
stats.prdc.precision,0.606,0.724,0.666,0.059025418253494825
stats.prdc.recall,0.937095282146161,0.9842738205365402,0.9568300955905027,0.024515793043849446
stats.prdc.density,0.418,0.49560000000000004,0.4550666666666667,0.03891597786685227
stats.prdc.coverage,0.3996299722479186,0.5208140610545791,0.4431082331174838,0.06745398880345657
performance.linear_model.gt,0.8229259663143148,0.8229259663143148,0.8229259663143148,0.0
performance.linear_model.syn_id,0.5645923358305684,0.6755603380216223,0.6314726382316638,0.058890588619153195
performance.linear_model.syn_ood,0.5632068912211438,0.6744637952616832,0.6302843853057887,0.059057314252740495
performance.mlp.gt,0.7811703360489194,0.7811703360489194,0.7811703360489194,0.0
performance.mlp.syn_id,0.5550990650447125,0.6319472738184932,0.6039665576331659,0.042468869414198945
performance.mlp.syn_ood,0.49078947368421055,0.6318825910931174,0.572419028340081,0.07311166352107076
performance.xgb.gt,0.9193500817760143,0.9193500817760143,0.9193500817760144,1.3597399555105182e-16
performance.xgb.syn_id,0.7330846994568294,0.8253787311934244,0.7919573576710116,0.05114071756335669
performance.xgb.syn_ood,0.7334284112160496,0.8265846061261628,0.7923132882252594,0.051223916596803865
performance.feat_rank_distance.corr,0.06422155370682366,0.20512492270345598,0.1362540900235982,0.07050487306609417
performance.feat_rank_distance.pvalue,6.925843058381614e-06,0.15924468704142558,0.053832556400146975,0.09129644785570332
detection.detection_xgb.mean,0.9048993215565797,0.9464560078511692,0.9317414447857996,0.0232819206809187
detection.detection_gmm.mean,0.44449825055470227,0.45867537122375823,0.4527092933947772,0.007350346151170084
detection.detection_linear.mean,0.6134083034647551,0.6612356204130397,0.6365772173863572,0.02394842364256017
privacy.delta-presence.score,9.62499998796875,15.999999946666668,12.81944441552662,3.1875226735558124
privacy.k-anonymization.gt,21.0,21.0,21.0,0.0
privacy.k-anonymization.syn,8.00000001,18.00000001,13.00000001,5.0
privacy.k-map.score,2.0,7.0,4.0,2.6457513110645907
privacy.distinct l-diversity.gt,21.0,21.0,21.0,0.0
privacy.distinct l-diversity.syn,8.00000001,18.00000001,13.00000001,5.0
privacy.identifiability_score.,0.09158186864014801,0.1332099907493062,0.10699969164353994,0.022816294460297166
privacy.identifiability_score._privacy.identifiability_score.OC,0.22201665124884365,0.22756706753006475,0.22510021584952203,0.0028261336385790032
prdc_precision,0.508,0.572,0.54,0.03199999999999997
prdc_recall,0.8076,0.8594,0.8258,0.02913211286535877
nn_identifiability,0.8152,0.8597,0.8447666666666667,0.025605923793789072
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0163,0.032,0.025333333333333333,0.008113158036999732
