,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.007826724257539065,0.009202194009866799,0.008711213097435022,0.000767538680865659
sanity.close_values_probability.score,0.9939393939393939,0.996969696969697,0.9959595959595959,0.0017495462702716044
sanity.distant_values_probability.score,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0
stats.jensenshannon_dist.marginal,0.01620945304995497,0.016612367798488833,0.0164579031374221,0.00021727866652820673
stats.inv_kl_divergence.marginal,0.8076201157425278,0.8257695428262833,0.8146952576316512,0.009713150171321176
stats.ks_test.marginal,0.8117424242424242,0.8203560606060606,0.8151287878787877,0.004592427741618118
stats.max_mean_discrepancy.joint,0.005030303393502468,0.005057170723597725,0.005042061161826558,1.3743698414028646e-05
stats.wasserstein_dist.joint,0.1120043471455574,0.11744338274002075,0.11408156404892604,0.002938269620751575
stats.alpha_precision.delta_precision_alpha_OC,0.8533402995471961,0.9214141414141415,0.8926227795193314,0.035228676607499045
stats.alpha_precision.delta_coverage_beta_OC,0.32585858585858596,0.39454545454545464,0.3525252525252525,0.036827568048826996
stats.alpha_precision.authenticity_OC,0.5272727272727272,0.7818181818181819,0.6434343434343434,0.12871953028895186
stats.alpha_precision.delta_precision_alpha_naive,0.9500731452455591,0.9612678509230234,0.9553140601416463,0.005631296726521648
stats.alpha_precision.delta_coverage_beta_naive,0.3109090909090908,0.3301010101010101,0.31905723905723904,0.009918211256700053
stats.alpha_precision.authenticity_naive,0.6090909090909091,0.7,0.6646464646464646,0.04870530687370175
stats.prdc.precision,0.9939393939393939,0.998,0.9953131313131314,0.0023270938483443675
stats.prdc.recall,0.8848484848484849,0.9454545454545454,0.9171717171717172,0.03050438155664947
stats.prdc.density,0.9900000000000001,1.0092929292929294,0.9985643097643099,0.009826874261045924
stats.prdc.coverage,0.9484848484848485,0.9545454545454546,0.9515151515151515,0.00303030303030305
performance.linear_model.gt,0.5104160533806608,0.5104160533806608,0.5104160533806608,0.0
performance.linear_model.syn_id,0.4069546310175176,0.490494521183365,0.4530039891230118,0.04242249921543638
performance.linear_model.syn_ood,0.3940059476015473,0.4781783452336278,0.440887258390571,0.042897872060087286
performance.mlp.gt,-2.2988603336741944,-2.2988603115081787,-2.2988603262855225,1.279755512525573e-08
performance.mlp.syn_id,-2.2945144398158845,-2.294266927743089,-2.2943669196031946,0.0001304214889097069
performance.mlp.syn_ood,-3.2300027838150385,-3.2296499366603912,-3.229793806401966,0.00018521483553301477
performance.xgb.gt,0.4757465958595276,0.4757466193148698,0.4757466114964224,1.354194811493055e-08
performance.xgb.syn_id,0.2778681516647339,0.3957499160350962,0.3411010528718503,0.05940784354461426
performance.xgb.syn_ood,0.26106503009796145,0.38361069769134315,0.3227819982097422,0.06127766254799886
performance.feat_rank_distance.corr,0.5855400437691199,0.7,0.6618466812563734,0.06608348654133137
performance.feat_rank_distance.pvalue,0.031514421132600307,0.06831386315089874,0.04378090180536645,0.021246167755292627
detection.detection_xgb.mean,0.9286060606060605,0.9461585552494644,0.9386892153861851,0.009063472754210834
detection.detection_gmm.mean,0.48477272727272724,0.504969696969697,0.4920608611366187,0.01121042435436292
detection.detection_linear.mean,0.7538108356290175,0.765,0.7588157330884604,0.005687049679633566
privacy.delta-presence.score,1.5357142851658163,2.999999985,2.0427689540561866,0.8294740625230399
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,3.00000001,2.00000001,1.0
privacy.k-map.score,1.0,3.0,1.6666666666666667,1.1547005383792517
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,3.00000001,2.00000001,1.0
privacy.identifiability_score.,0.3333333333333333,0.3696969696969697,0.34545454545454546,0.020994555243259126
privacy.identifiability_score._privacy.identifiability_score.OC,0.3151515151515151,0.36363636363636365,0.3333333333333333,0.026417569354791972
prdc_precision,0.854,0.8687,0.8588999999999999,0.008487048957087526
prdc_recall,0.6152,0.703,0.6596000000000001,0.043908541310319106
nn_identifiability,0.6096,0.6478,0.6225,0.021911868929874533
coverage_score,0.95,1.0,0.9833333333333334,0.028867513459481315
mmd,0.0572,0.0667,0.0628,0.0049729267036625405
