metric,S1_Random,S2_Center,S3_Tail,S4_MaxCoverage,S5_PrivacyAware,S6_Stratified
coverage_score,0.98438125,0.9620156249999999,0.9705375,0.993446875,0.985421875,0.9917156250000001
detection.detection_gmm.mean,0.4919212534075967,0.4723476897495998,0.4457618407908724,0.4826771392405715,0.44942014243267353,0.5007372419692824
detection.detection_linear.mean,0.5452086241844493,0.6948467444232412,0.8002525960075019,0.7078466744059244,0.7377789920361905,0.6391920683838364
detection.detection_xgb.mean,0.6929594080781111,0.819662548549045,0.8616662698782076,0.8045678669838846,0.8335256707243186,0.7482110005605798
mmd,0.00586875,0.05861875,0.128621875,0.07598125,0.082296875,0.031275
nn_identifiability,0.5720406250000001,0.364478125,0.80948125,0.782665625,0.7157156250000001,0.6703125000000001
prdc_precision,0.8037718750000001,0.8910125,0.7073687500000001,0.663440625,0.8185593750000001,0.767209375
prdc_recall,0.8661343749999999,0.77866875,0.663340625,0.8871562500000001,0.712209375,0.854509375
privacy.delta-presence.score,7.804965612119748,34.95423967541926,86.55294969624212,36.57282287425911,67.91314532450457,6.686810868276442
privacy.distinct l-diversity.gt,8.875,8.875,8.875,8.875,8.875,8.875
privacy.distinct l-diversity.syn,3.687500010000001,4.000000010000001,5.156250010000001,4.437500010000001,4.781250010000001,5.093750010000001
privacy.identifiability_score.,0.32833340355444685,0.3016479034645116,0.2559914716419033,0.30150048238056987,0.27646850479285956,0.3238825346013555
privacy.identifiability_score._privacy.identifiability_score.OC,0.31616428555910964,0.3242867748502524,0.262474975896492,0.2996356029728796,0.3065280536100878,0.3081120600294453
privacy.k-anonymization.gt,8.875,8.875,8.875,8.875,8.875,8.875
privacy.k-anonymization.syn,3.687500010000001,4.000000010000001,5.156250010000001,4.437500010000001,4.781250010000001,5.093750010000001
privacy.k-map.score,7.3125,9.375,5.0625,9.78125,7.09375,9.625
sanity.close_values_probability.score,0.7735337687763942,0.7651266218053834,0.6063020331160718,0.6729980692753278,0.643345979010005,0.7266847749153985
sanity.common_rows_proportion.score,0.011543949767869271,0.010825290573524948,0.004166666665277778,0.009374999996875,0.0104737442887647,0.008333333330555557
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0
sanity.distant_values_probability.score,0.030439019551525445,0.013042175394309052,0.062219584646091744,0.014576601198707502,0.025212321122755517,0.02060265151250562
sanity.nearest_syn_neighbor_distance.mean,0.13961237487775868,0.12763301815141798,0.24597669595489144,0.16799273517518812,0.18530772994401165,0.1553848292838916
stats.alpha_precision.authenticity_OC,0.4910519030709307,0.5186342326131393,0.6636252047084433,0.6364274546535017,0.59329165346317,0.5474195235418979
stats.alpha_precision.authenticity_naive,0.5424905395783639,0.5575667940752027,0.7970706069069627,0.6823079071073518,0.6941355579482804,0.541449902409742
stats.alpha_precision.delta_coverage_beta_OC,0.41752568047331773,0.4301055370018716,0.29322820631381113,0.3152423483185672,0.3409288547356162,0.3951826176388866
stats.alpha_precision.delta_coverage_beta_naive,0.44291889789008176,0.37683975652712765,0.23034592742261736,0.3020545889807443,0.29140977333357687,0.41661792376750595
