,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.03535020273047239,0.03853162993712677,0.036960502216184986,0.0015910752930570636
sanity.close_values_probability.score,0.9810860280658938,0.9829164124466138,0.9823062843197071,0.0010567729149291312
sanity.distant_values_probability.score,0.0006101281269066504,0.0012202562538133007,0.001016880211511084,0.00035225763830971674
stats.jensenshannon_dist.marginal,0.0025870766481914404,0.0038092227491884393,0.003133282580638471,0.0006213159438308751
stats.inv_kl_divergence.marginal,0.945441494973339,0.9655409581074379,0.9529516838495354,0.010970183945848231
stats.ks_test.marginal,0.9047566235318609,0.9085449844355369,0.9069314118334898,0.001955541326645418
stats.max_mean_discrepancy.joint,0.002684816923587148,0.002793534240443768,0.0027224937899798817,6.156062298807831e-05
stats.wasserstein_dist.joint,0.45731091499328613,0.4692341685295105,0.4613834619522095,0.006800504488545432
stats.alpha_precision.delta_precision_alpha_OC,0.0891198891198891,0.9225449515905948,0.39308836723845086,0.4601988681300513
stats.alpha_precision.delta_coverage_beta_OC,0.019404019404019257,0.44149377593360994,0.19646416665012945,0.21910003758338206
stats.alpha_precision.authenticity_OC,0.012474012474012475,0.5103734439834025,0.19829995273471326,0.271900338492235
stats.alpha_precision.delta_precision_alpha_naive,0.8485477178423236,0.899099099099099,0.8759987206398628,0.02555496988536166
stats.alpha_precision.delta_coverage_beta_naive,0.48547717842323646,0.5213973799126639,0.5022222193760001,0.018082984533928786
stats.alpha_precision.authenticity_naive,0.5065502183406113,0.5405405405405406,0.5246872377459995,0.01710985160609948
stats.prdc.precision,0.9085239085239085,0.950207468879668,0.934715408188383,0.02280873290515743
stats.prdc.recall,0.9847467968273338,0.9932885906040269,0.9902379499694937,0.004765253005434179
stats.prdc.density,0.8594594594594596,0.9174672489082969,0.887744587436555,0.0290306008566191
stats.prdc.coverage,0.6394142769981697,0.6516168395363027,0.6463290624364451,0.006261868748562392
performance.linear_model.gt,0.6775116107744574,0.6775116107744574,0.6775116107744573,1.3597399555105182e-16
performance.linear_model.syn_id,0.4792732408005131,0.5019538994792843,0.48857296750416634,0.011878352026969186
performance.linear_model.syn_ood,0.44950174958189465,0.47453148407354534,0.45975986324589485,0.013111091196688164
performance.mlp.gt,-6192.146104570998,-6192.146104570998,-6192.146104570998,0.0
performance.mlp.syn_id,-24305.635612851725,-1229.7416594670312,-16538.24536239442,13258.035846769799
performance.mlp.syn_ood,-25434.736726865824,-903.1298674255229,-16994.330244675366,13940.979850607455
performance.xgb.gt,0.955559134422183,0.955559134422183,0.9555591344221831,1.3597399555105182e-16
performance.xgb.syn_id,0.9447927213980332,0.9470050395785792,0.9461642514980161,0.0011978536018132531
performance.xgb.syn_ood,0.9430976419625947,0.9448976439635309,0.9442657587566097,0.0010127487531916854
performance.feat_rank_distance.corr,0.3333333333333333,0.5757575757575757,0.4747474747474747,0.12616157572522016
performance.feat_rank_distance.pvalue,0.008757732750788306,0.15259045898802842,0.06077618112340335,0.07974800510311883
detection.detection_xgb.mean,0.842924813064071,0.8578480119419757,0.8503243667903105,0.007462373295324505
detection.detection_gmm.mean,0.5119597924952075,0.5374788624550269,0.5205953594521137,0.014622827006697647
detection.detection_linear.mean,0.4850508507386323,0.5598872529612166,0.5105139873795798,0.042765552421024464
privacy.delta-presence.score,9.749999975625,11.4999999425,10.416666631041666,0.9464847054804079
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0
privacy.k-anonymization.syn,2.00000001,3.00000001,2.3333333433333334,0.5773502691896258
privacy.k-map.score,1.0,2.0,1.3333333333333333,0.5773502691896257
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0
privacy.distinct l-diversity.syn,2.00000001,3.00000001,2.3333333433333334,0.5773502691896258
privacy.identifiability_score.,0.17754728492983526,0.19158023184868822,0.1862924547488306,0.007628635075660382
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.003050640634533252,0.001016880211511084,0.001761288191548584
prdc_precision,0.668,0.7096,0.6913666666666667,0.02126977511242967
prdc_recall,0.8853,0.9262,0.9119333333333334,0.023084699117236387
nn_identifiability,0.0188,0.0207,0.019466666666666663,0.0010692676621563621
coverage_score,1.0,1.0,1.0,0.0
mmd,0.001,0.0031,0.0017999999999999997,0.0011357816691600546
