metric,mean_across_datasets
coverage_score,1.0
detection.detection_gmm.mean,0.516813083039308
detection.detection_linear.mean,0.5523849526979019
detection.detection_xgb.mean,0.7500578672297064
mmd,0.006246666666666666
nn_identifiability,0.05576000000000001
prdc_precision,0.7428
prdc_recall,0.8732533333333332
privacy.delta-presence.score,11.17979798956177
privacy.distinct l-diversity.gt,8.6
privacy.distinct l-diversity.syn,3.8666666766666666
privacy.identifiability_score.,0.204593238720607
privacy.identifiability_score._privacy.identifiability_score.OC,0.19149173822691348
privacy.k-anonymization.gt,8.6
privacy.k-anonymization.syn,3.8666666766666666
privacy.k-map.score,2.666666666666667
sanity.close_values_probability.score,0.9207056065159647
sanity.common_rows_proportion.score,0.0
sanity.data_mismatch.score,0.0
sanity.distant_values_probability.score,0.0013854261093688748
sanity.nearest_syn_neighbor_distance.mean,0.06404881044648542
stats.alpha_precision.authenticity_OC,0.465440003639286
stats.alpha_precision.authenticity_naive,0.5380931104351989
stats.alpha_precision.delta_coverage_beta_OC,0.4083291208288391
stats.alpha_precision.delta_coverage_beta_naive,0.4247058379394432
stats.alpha_precision.delta_precision_alpha_OC,0.7313554195765368
stats.alpha_precision.delta_precision_alpha_naive,0.9264426894138496
stats.inv_kl_divergence.marginal,0.9226370651658927
stats.jensenshannon_dist.marginal,0.0067235430285656
stats.ks_test.marginal,0.9104056324796348
stats.max_mean_discrepancy.joint,0.003696380393743536
stats.prdc.coverage,0.6068021598239433
stats.prdc.density,0.9327176716648593
stats.prdc.precision,0.9598435205140772
stats.prdc.recall,0.9674525609933076
stats.wasserstein_dist.joint,0.7049483808378378
performance.feat_rank_distance.corr_class,0.32915027600237257
performance.feat_rank_distance.corr_reg,0.6873737373737373
performance.feat_rank_distance.pvalue_class,1.0122466471930558e-05
performance.feat_rank_distance.pvalue_reg,0.03402142528145888
performance.linear_model.gt_class,0.7881636370174863
performance.linear_model.gt_reg,0.5939638320775591
performance.linear_model.syn_id_class,0.7878810549243124
performance.linear_model.syn_id_reg,0.501872142843387
performance.linear_model.syn_ood_class,0.7878694417227119
performance.linear_model.syn_ood_reg,0.4834218439042738
performance.mlp.gt_class,0.6508153060846863
performance.mlp.gt_reg,-3097.2224824523364
performance.mlp.syn_id_class,0.6320919925520782
performance.mlp.syn_id_reg,-8270.271999126438
performance.mlp.syn_ood_class,0.6241283570230939
performance.mlp.syn_ood_reg,-8498.782970953785
performance.xgb.gt_class,0.9153823025521978
performance.xgb.gt_reg,0.7156528768685264
performance.xgb.syn_id_class,0.8669888964515658
performance.xgb.syn_id_reg,0.6307150123125135
performance.xgb.syn_ood_class,0.8668541101319748
performance.xgb.syn_ood_reg,0.6371518024120326
