metric,mean_across_datasets
coverage_score,1.0
detection.detection_gmm.mean,0.5158675139361065
detection.detection_linear.mean,0.5628526940274824
detection.detection_xgb.mean,0.7249912423395553
mmd,0.007358333333333333
nn_identifiability,0.06483333333333334
prdc_precision,0.7556583333333333
prdc_recall,0.8635833333333333
privacy.delta-presence.score,11.370580829191796
privacy.distinct l-diversity.gt,10.0
privacy.distinct l-diversity.syn,4.25000001
privacy.identifiability_score.,0.2091684347135511
privacy.identifiability_score._privacy.identifiability_score.OC,0.2391104527307641
privacy.k-anonymization.gt,10.0
privacy.k-anonymization.syn,4.25000001
privacy.k-map.score,3.0000000000000004
sanity.close_values_probability.score,0.905305437065029
sanity.common_rows_proportion.score,0.0
sanity.data_mismatch.score,0.0
sanity.distant_values_probability.score,0.0014775625838333224
sanity.nearest_syn_neighbor_distance.mean,0.07082088750406053
stats.alpha_precision.authenticity_OC,0.5365670337334985
stats.alpha_precision.authenticity_naive,0.5414445786074987
stats.alpha_precision.delta_coverage_beta_OC,0.46283176551914107
stats.alpha_precision.delta_coverage_beta_naive,0.40532674258030404
stats.alpha_precision.delta_precision_alpha_OC,0.8192092164988488
stats.alpha_precision.delta_precision_alpha_naive,0.9390536816073463
stats.inv_kl_divergence.marginal,0.915058410494982
stats.jensenshannon_dist.marginal,0.007621108140547382
stats.ks_test.marginal,0.9112741876411711
stats.max_mean_discrepancy.joint,0.0039398520446844495
stats.prdc.coverage,0.5969204341708177
stats.prdc.density,0.9439609427219353
stats.prdc.precision,0.9661255485955007
stats.prdc.recall,0.9617562137492611
stats.wasserstein_dist.joint,0.765839610559245
performance.feat_rank_distance.corr_class,0.32915027600237257
performance.feat_rank_distance.corr_reg,0.8999999999999999
performance.feat_rank_distance.pvalue_class,1.0122466471930558e-05
performance.feat_rank_distance.pvalue_reg,0.0072666694395144005
performance.linear_model.gt_class,0.7881636370174863
performance.linear_model.gt_reg,0.5104160533806608
performance.linear_model.syn_id_class,0.7878810549243124
performance.linear_model.syn_id_reg,0.5151713181826078
performance.linear_model.syn_ood_class,0.7878694417227119
performance.linear_model.syn_ood_reg,0.5070838245626528
performance.mlp.gt_class,0.6508153060846863
performance.mlp.gt_reg,-2.2988603336741944
performance.mlp.syn_id_class,0.6320919925520782
performance.mlp.syn_id_reg,-2.2986358584576823
performance.mlp.syn_ood_class,0.6241283570230939
performance.mlp.syn_ood_reg,-3.2356972322055726
performance.xgb.gt_class,0.9153823025521978
performance.xgb.gt_reg,0.4757466193148698
performance.xgb.syn_id_class,0.8669888964515658
performance.xgb.syn_id_reg,0.3152657731270109
performance.xgb.syn_ood_class,0.8668541101319748
performance.xgb.syn_ood_reg,0.3300378460674556
