,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.00833788731586014,0.013275874312907044,0.010996133843377975,0.002490658351260108
sanity.close_values_probability.score,0.9918631683825971,0.9935237462636998,0.9928041625152221,0.0008521423844979936
sanity.distant_values_probability.score,0.00033211557622052476,0.00033211557622052476,0.0003321155762205247,6.639355251516202e-20
stats.jensenshannon_dist.marginal,0.0051701213717476975,0.00640030476155222,0.0056056839490913335,0.0006892241328420468
stats.inv_kl_divergence.marginal,0.8558811828123877,0.8748769946950662,0.8685192470330129,0.010944953144140618
stats.ks_test.marginal,0.9175345953725229,0.9323437531544878,0.9268296221950525,0.00809624411060184
stats.max_mean_discrepancy.joint,0.00216624035610353,0.0021713901456824817,0.0021692928373671697,2.7045054442138656e-06
stats.wasserstein_dist.joint,2.16837215423584,2.1712427139282227,2.1701595783233643,0.0015595015027229776
stats.alpha_precision.delta_precision_alpha_OC,0.857935632183908,0.9003662497408611,0.8804226045961655,0.02132933922461142
stats.alpha_precision.delta_coverage_beta_OC,0.4436,0.5235804943219773,0.4788397238922289,0.04082795956177633
stats.alpha_precision.authenticity_OC,0.48697394789579157,0.5851703406813628,0.5433814295257181,0.05070414027530892
stats.alpha_precision.delta_precision_alpha_naive,0.9525701149425287,0.9698569552898901,0.9614487703376101,0.008653017920179792
stats.alpha_precision.delta_coverage_beta_naive,0.3284,0.4231128924515699,0.37163544867512804,0.047891344328314926
stats.alpha_precision.authenticity_naive,0.5210420841683366,0.5450901803607214,0.531377421509686,0.012374690487447163
stats.prdc.precision,0.988,0.9899799599198397,0.9893199732798932,0.001143130392704109
stats.prdc.recall,0.9164729325805381,0.9628030554633012,0.9428761208900699,0.023834354793568272
stats.prdc.density,0.9527054108216433,0.9975951903807616,0.9713002004008017,0.02341458716005769
stats.prdc.coverage,0.22351378279641315,0.25224178013948856,0.23856968891841027,0.014413905286074995
performance.linear_model.gt,0.7135184390739095,0.7135184390739095,0.7135184390739097,1.3597399555105182e-16
performance.linear_model.syn_id,0.7139579073514729,0.7522836478136404,0.7295711800260537,0.020124972644273376
performance.linear_model.syn_ood,0.7140001393048687,0.7522604406718124,0.7296556083423993,0.020054498318189413
performance.mlp.gt,0.49823424685520823,0.49823424685520823,0.4982342468552082,6.798699777552591e-17
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.909559206620799,0.909559206620799,0.909559206620799,0.0
performance.xgb.syn_id,0.8342621410616218,0.85686683472477,0.8424994288729644,0.012487065479675428
performance.xgb.syn_ood,0.8343559969815748,0.8572004815982879,0.8427175151694956,0.0125925261871898
performance.feat_rank_distance.corr,0.20721347272228932,0.4421156384515961,0.316169581375017,0.11836912868929772
performance.feat_rank_distance.pvalue,6.238798640015048e-117,4.5753271358962616e-27,1.5251090452987539e-27,2.641566353540306e-27
detection.detection_xgb.mean,0.7352992485336401,0.7859582525744062,0.7612808372109733,0.025354670647143203
detection.detection_gmm.mean,0.4992390103527661,0.5204352730375119,0.5113201546651176,0.010904969984257688
detection.detection_linear.mean,0.4852842525557473,0.5148666933182614,0.4958242568222304,0.016522672778048222
privacy.delta-presence.score,18.99999999173913,24.57142855387755,21.733954441174372,2.7871564893750174
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0
privacy.k-anonymization.syn,1.00000001,3.00000001,2.00000001,1.0
privacy.k-map.score,1.0,4.0,2.0,1.7320508075688772
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0
privacy.distinct l-diversity.syn,1.00000001,3.00000001,2.00000001,1.0
privacy.identifiability_score.,0.05147791431418133,0.05978080371969445,0.05562935901693789,0.0041514447027565585
privacy.identifiability_score._privacy.identifiability_score.OC,0.06891398206575888,0.07024244437064098,0.06957821321819993,0.0006642311524410471
prdc_precision,0.47,0.5912,0.5361,0.061344192879195986
prdc_recall,0.7335,0.7429,0.7384,0.004712748667179253
nn_identifiability,0.0772,0.0957,0.08493333333333335,0.009615785632663262
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0031,0.0042,0.0035333333333333328,0.0005859465277082314
