,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.09490300906845474,0.1030227578767721,0.1002466319032433,0.004628888665433307
sanity.close_values_probability.score,0.889589905362776,0.8958990536277602,0.8919558359621451,0.003437617463360131
sanity.distant_values_probability.score,0.0013144058885383807,0.0013144058885383807,0.0013144058885383805,2.655742100606481e-19
stats.jensenshannon_dist.marginal,0.0045602954536482975,0.004951329032814636,0.004777777218476809,0.00019918382319228343
stats.inv_kl_divergence.marginal,0.9502474408077638,0.9627192723628455,0.9585595073531691,0.007198461753548092
stats.ks_test.marginal,0.9405593521427714,0.9480743990089334,0.9444756120103186,0.003767568727579357
stats.max_mean_discrepancy.joint,0.0022682558464154467,0.0022927180804089074,0.002276428365917788,1.4107333690392835e-05
stats.wasserstein_dist.joint,0.7858549356460571,0.7870808839797974,0.7863753437995911,0.0006335950834128819
stats.alpha_precision.delta_precision_alpha_OC,0.6363393453573813,0.7311957247828991,0.6898770269861335,0.04859435001977298
stats.alpha_precision.delta_coverage_beta_OC,0.39824205544286684,0.4438209752839012,0.4155351496321469,0.024697967370279933
stats.alpha_precision.authenticity_OC,0.5210420841683366,0.5511022044088176,0.5399372104587811,0.016453538121577557
stats.alpha_precision.delta_precision_alpha_naive,0.9440162271805274,0.9465920346440007,0.9452880970415025,0.0012882031195646073
stats.alpha_precision.delta_coverage_beta_naive,0.47775551102204405,0.5004676018704075,0.4868136091881758,0.012033347517562078
stats.alpha_precision.authenticity_naive,0.49498997995991983,0.5456389452332657,0.5132089737283898,0.028156586032110093
stats.prdc.precision,0.973630831643002,0.9799599198396793,0.9771822211021096,0.0032347005038759363
stats.prdc.recall,0.9763406940063092,0.9784437434279706,0.9775674728356116,0.0010944616190673607
stats.prdc.density,0.9906693711967546,1.0044088176352706,0.9983593962773417,0.007015111014111793
stats.prdc.coverage,0.44190325972660355,0.44742376445846477,0.44435681738520855,0.0028109034231239886
performance.linear_model.gt,0.8280465056642342,0.8280465056642342,0.8280465056642342,0.0
performance.linear_model.syn_id,0.8241082227288711,0.8277913477708697,0.8256018884695981,0.0019376400666586036
performance.linear_model.syn_ood,0.8240866489619952,0.8276739265658932,0.8255685660394801,0.001873139464205931
performance.mlp.gt,0.6730413353499314,0.6730413353499314,0.6730413353499314,0.0
performance.mlp.syn_id,0.5942155531964322,0.6775417594377311,0.644735079944126,0.044397329649731004
performance.mlp.syn_ood,0.6180261259208628,0.6616465405939089,0.6451583504215083,0.02367819131918157
performance.xgb.gt,0.9172376192597799,0.9172376192597799,0.9172376192597799,0.0
performance.xgb.syn_id,0.8791830819545841,0.8873041319151463,0.8832318770874594,0.00406057580688351
performance.xgb.syn_ood,0.8790263875859443,0.8870952408625538,0.8831230778045182,0.004035867758010231
performance.feat_rank_distance.corr,0.38246766719690156,0.49819489591258037,0.4295663600525624,0.06079349037024408
performance.feat_rank_distance.pvalue,5.347195113160383e-94,3.6490371833009295e-56,1.2163457654785485e-56,2.1067725674025666e-56
detection.detection_xgb.mean,0.6167360869571292,0.6556853240545716,0.6380359295996418,0.019729548818862148
detection.detection_gmm.mean,0.5013754522362359,0.514211896368764,0.5080787115511548,0.00643718208467343
detection.detection_linear.mean,0.5586163204685034,0.5705952132850742,0.5647259144777313,0.005993060538302598
privacy.delta-presence.score,13.578947361274238,16.124999989921875,14.679093558855493,1.3077685579855676
privacy.k-anonymization.gt,14.0,14.0,14.0,0.0
privacy.k-anonymization.syn,1.00000001,5.00000001,3.0000000099999995,2.0
privacy.k-map.score,2.0,2.0,2.0,0.0
privacy.distinct l-diversity.gt,14.0,14.0,14.0,0.0
privacy.distinct l-diversity.syn,1.00000001,5.00000001,3.0000000099999995,2.0
privacy.identifiability_score.,0.11146161934805468,0.11540483701366983,0.11312653347353663,0.0020419173147092637
privacy.identifiability_score._privacy.identifiability_score.OC,0.1101472134595163,0.11303890641430074,0.11207500876270593,0.001669519705858545
prdc_precision,0.8357,0.8621,0.8498333333333333,0.013298621482444454
prdc_recall,0.9201,0.9319,0.9257666666666666,0.005913825608971985
nn_identifiability,0.0263,0.0267,0.026466666666666666,0.00020816659994661395
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0005,0.0012,0.0007666666666666667,0.0003785938897200182
