,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.15699501151829076,0.17528723550966754,0.16387625587741533,0.009951896345477957
sanity.close_values_probability.score,0.6984273820536541,0.7659574468085106,0.7425223558433549,0.038212569662242464
sanity.distant_values_probability.score,0.0009250693802035153,0.0018501387604070306,0.0012334258402713538,0.0005340890556795798
stats.jensenshannon_dist.marginal,0.007767225237540011,0.008781058617445223,0.008298066442134334,0.000508607587197666
stats.inv_kl_divergence.marginal,0.9631993449390128,0.9670156014807638,0.9655471279144586,0.0020544688549274273
stats.ks_test.marginal,0.9097711995066295,0.9208374961455442,0.9148901223147292,0.00557946938766513
stats.max_mean_discrepancy.joint,0.00503988924852293,0.005803554636887323,0.005537914281405497,0.0004316227346473064
stats.wasserstein_dist.joint,0.06677170842885971,0.06762991100549698,0.06721033900976181,0.0004294186044969819
stats.alpha_precision.delta_precision_alpha_OC,0.7337333333333333,0.8664643678160919,0.8063770114942529,0.06725048544293742
stats.alpha_precision.delta_coverage_beta_OC,0.4317333333333333,0.49906666666666655,0.4617333333333333,0.03426044042007887
stats.alpha_precision.authenticity_OC,0.502,0.556,0.5346666666666667,0.02872861523522035
stats.alpha_precision.delta_precision_alpha_naive,0.9092,0.9209333333333334,0.9144888888888888,0.005951408174479342
stats.alpha_precision.delta_coverage_beta_naive,0.32866666666666666,0.3382666666666666,0.33484444444444444,0.005360486434533219
stats.alpha_precision.authenticity_naive,0.544,0.588,0.5686666666666667,0.022479620400116446
stats.prdc.precision,0.878,0.916,0.898,0.01907878402833893
stats.prdc.recall,0.9870490286771508,0.9907493061979649,0.9892075238976257,0.0019256854759168473
stats.prdc.density,0.7360000000000001,0.7728,0.7530666666666668,0.018544361227427936
stats.prdc.coverage,0.7252543940795559,0.757631822386679,0.7431390687634907,0.01645306391853731
performance.linear_model.gt,0.8229259663143148,0.8229259663143148,0.8229259663143148,0.0
performance.linear_model.syn_id,0.8020153483279777,0.8135619953198544,0.8084700962772855,0.005892731289113996
performance.linear_model.syn_ood,0.8013129595711451,0.8142128451182401,0.8083841507862563,0.006539083319584893
performance.mlp.gt,0.7811703360489194,0.7811703360489194,0.7811703360489194,0.0
performance.mlp.syn_id,0.7431410915433884,0.7598840261459706,0.7515408977121084,0.008371611198019647
performance.mlp.syn_ood,0.7052631578947368,0.7479757085020243,0.7272267206477734,0.021382162869634912
performance.xgb.gt,0.9193500817760143,0.9193500817760143,0.9193500817760144,1.3597399555105182e-16
performance.xgb.syn_id,0.8707482503384352,0.8807507634554206,0.8752353833942736,0.00507991496895474
performance.xgb.syn_ood,0.8704646737673272,0.8802454285867496,0.8747217374219106,0.005011890875379851
performance.feat_rank_distance.corr,0.17863315343217498,0.32073740592360894,0.24171488657953835,0.07238084099030732
performance.feat_rank_distance.pvalue,2.0702178601881518e-12,9.035133575903435e-05,3.0367399415791676e-05,5.1948969301491405e-05
detection.detection_xgb.mean,0.6920722819593786,0.7317841355180066,0.7152948170905159,0.02069444330367886
detection.detection_gmm.mean,0.4777663423792456,0.518043458781362,0.4997786240541617,0.02039838340131069
detection.detection_linear.mean,0.5392262758149855,0.5526551459293395,0.5450993343573989,0.006870762800143452
privacy.delta-presence.score,3.1599999987359997,4.1999999916,3.5692753586123147,0.5542380641118454
privacy.k-anonymization.gt,21.0,21.0,21.0,0.0
privacy.k-anonymization.syn,9.00000001,14.00000001,10.666666676666667,2.8867513459481287
privacy.k-map.score,5.0,8.0,6.666666666666667,1.5275252316519465
privacy.distinct l-diversity.gt,21.0,21.0,21.0,0.0
privacy.distinct l-diversity.syn,9.00000001,14.00000001,10.666666676666667,2.8867513459481287
privacy.identifiability_score.,0.2238667900092507,0.22571692876965774,0.22448350292938637,0.0010681781113591675
privacy.identifiability_score._privacy.identifiability_score.OC,0.2793709528214616,0.29879740980573544,0.2889300030835646,0.009716898708966217
prdc_precision,0.77,0.786,0.7760000000000001,0.008717797887081356
prdc_recall,0.9288,0.9482,0.9386333333333333,0.009702748751427822
nn_identifiability,0.0302,0.0307,0.0304,0.0002645751311064594
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0002,0.0008,0.00043333333333333337,0.00032145502536643183
