,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.007715057199828099,0.008944002734632634,0.008164528392205503,0.000677682330565773
sanity.close_values_probability.score,0.9939393939393939,0.9939393939393939,0.9939393939393938,1.3597399555105182e-16
sanity.distant_values_probability.score,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0
stats.jensenshannon_dist.marginal,0.011328672187210398,0.01233884180759633,0.01180290495248705,0.0005079037423707556
stats.inv_kl_divergence.marginal,0.857253230813454,0.8793982259735795,0.8676077596792876,0.011142111105366509
stats.ks_test.marginal,0.8520875893769152,0.8683712121212122,0.858901394044584,0.008460490401925622
stats.max_mean_discrepancy.joint,0.005740330130574033,0.0058392917943479745,0.005775772694047346,5.513231053010866e-05
stats.wasserstein_dist.joint,0.03783285245299339,0.04133037477731705,0.03961318110426267,0.0017496157067742708
stats.alpha_precision.delta_precision_alpha_OC,0.8690909090909091,0.9279554162312783,0.9001602229188436,0.029568521252882365
stats.alpha_precision.delta_coverage_beta_OC,0.4622222222222223,0.535959595959596,0.4952188552188553,0.037473703779924705
stats.alpha_precision.authenticity_OC,0.509090909090909,0.5393939393939394,0.5282828282828282,0.016689607719048836
stats.alpha_precision.delta_precision_alpha_naive,0.9167676767676767,0.9447161267850923,0.9349889701613839,0.015792141532882116
stats.alpha_precision.delta_coverage_beta_naive,0.4062626262626262,0.43959595959595954,0.42801346801346796,0.018850047390853393
stats.alpha_precision.authenticity_naive,0.5333333333333333,0.5636363636363636,0.5525252525252525,0.016689607719048774
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.9121212121212121,0.9545454545454546,0.9373737373737373,0.02233671150252121
stats.prdc.density,1.0410112359550563,1.0679347826086958,1.0531175075429309,0.0136649733258256
stats.prdc.coverage,0.9484848484848485,0.9696969696969697,0.9616161616161616,0.011472542112727836
performance.linear_model.gt,0.5104160533806608,0.5104160533806608,0.5104160533806608,0.0
performance.linear_model.syn_id,0.5092902993363658,0.5249744427679759,0.5151713181826078,0.00854606774297363
performance.linear_model.syn_ood,0.5004876619500863,0.5172191855887738,0.5070838245626528,0.00890956872558204
performance.mlp.gt,-2.2988603336741944,-2.2988603336741944,-2.2988603336741944,0.0
performance.mlp.syn_id,-2.2989426654835237,-2.298384288042196,-2.2986358584576823,0.0002832572224826399
performance.mlp.syn_ood,-3.2361252474371716,-3.235347584216526,-3.2356972322055726,0.0003947101337883827
performance.xgb.gt,0.4757466193148698,0.4757466193148698,0.4757466193148698,0.0
performance.xgb.syn_id,0.2981342832328252,0.3437358437588097,0.3152657731270109,0.024825352776119556
performance.xgb.syn_ood,0.31086006324796406,0.36109940590959694,0.3300378460674556,0.02714619687932887
performance.feat_rank_distance.corr,0.7999999999999999,1.0,0.8999999999999999,0.10000000000000003
performance.feat_rank_distance.pvalue,0.00212511703620203,0.013981724353829097,0.0072666694395144005,0.006082903655755194
detection.detection_xgb.mean,0.7756117262966578,0.7930586875792356,0.78535338545709,0.008899953763333631
detection.detection_gmm.mean,0.5436504998148834,0.5452743396405368,0.544292565473992,0.0008635770650978371
detection.detection_linear.mean,0.6350298762270592,0.6544125071522332,0.6457612704525689,0.00985732655919578
privacy.delta-presence.score,4.499999994375,5.999999940000001,5.499999958125001,0.8660253723910186
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.3333333433333332,0.5773502691896257
privacy.k-map.score,1.0,2.0,1.3333333333333333,0.5773502691896257
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.3333333433333332,0.5773502691896257
privacy.identifiability_score.,0.43333333333333335,0.45454545454545453,0.44343434343434346,0.010642074497831033
privacy.identifiability_score._privacy.identifiability_score.OC,0.4,0.5333333333333333,0.4858585858585858,0.07449452148481735
prdc_precision,0.8399,0.8808,0.8607,0.020458983356951073
prdc_recall,0.8364,0.8788,0.8515333333333334,0.02366122003053378
nn_identifiability,0.1127,0.1232,0.11753333333333334,0.005299371031861553
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0221,0.0289,0.0247,0.0036715119501371627
