,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.03129219012061667,0.0382246843556044,0.035214135156312706,0.003015269736916879
sanity.close_values_probability.score,0.9810860280658938,0.987797437461867,0.9836790726052471,0.00287796861868719
sanity.distant_values_probability.score,0.0006101281269066504,0.0012202562538133007,0.001067724222086638,0.0003050640634533252
stats.jensenshannon_dist.marginal,0.0024274656431511965,0.0038224186365197724,0.003172376540236649,0.0006590263045877559
stats.inv_kl_divergence.marginal,0.9476501048933019,0.965276808165373,0.9566878257252939,0.007334231123230028
stats.ks_test.marginal,0.9036506391484805,0.9113143450274085,0.9077017789274517,0.003728539683301001
stats.max_mean_discrepancy.joint,0.0026141361429387142,0.0026141361429387142,0.0026141361429387142,0.0
stats.wasserstein_dist.joint,0.4412033259868622,0.4455062747001648,0.444319523870945,0.002080119412720043
stats.alpha_precision.delta_precision_alpha_OC,0.1644069748692789,0.9762144979614401,0.7664386243751872,0.4015188370599122
stats.alpha_precision.delta_coverage_beta_OC,0.09598046668048743,0.49458917835671334,0.39039458226798424,0.19634024912283385
stats.alpha_precision.authenticity_OC,0.05410821643286573,0.5430861723446894,0.4038076152304609,0.2338286079624741
stats.alpha_precision.delta_precision_alpha_naive,0.8458249832999332,0.9008684034736139,0.8737140948563794,0.023424298954720923
stats.alpha_precision.delta_coverage_beta_naive,0.43887775551102204,0.5038076152304609,0.4777221108884435,0.02767506934234222
stats.alpha_precision.authenticity_naive,0.48897795591182364,0.5450901803607214,0.5220440881763527,0.023626906057217626
stats.prdc.precision,0.9078156312625251,0.9519038076152304,0.935370741482966,0.01952408516456307
stats.prdc.recall,0.9859670530811471,0.9932885906040269,0.990543014032947,0.003170318744787447
stats.prdc.density,0.8621242484969941,0.9138276553106213,0.8836673346693388,0.021774940386982525
stats.prdc.coverage,0.6503965832824893,0.677242220866382,0.6615314215985357,0.011407655724566399
performance.linear_model.gt,0.6775116107744574,0.6775116107744574,0.6775116107744574,0.0
performance.linear_model.syn_id,0.44858574533533524,0.4846752992082951,0.47149317112706657,0.01576733129901793
performance.linear_model.syn_ood,0.41836750630632186,0.4556452715431646,0.4417226316769451,0.016164310732793858
performance.mlp.gt,-6192.146104570998,-6192.146104570998,-6192.146104570998,0.0
performance.mlp.syn_id,-10020.333694109706,-1971.3505951130987,-4473.7146052230055,3729.245136631318
performance.mlp.syn_ood,-8304.285420898907,-1187.7509464286663,-3669.7423443671346,3177.6576089978153
performance.xgb.gt,0.955559134422183,0.955559134422183,0.955559134422183,0.0
performance.xgb.syn_id,0.8892942004610547,0.9493875331380502,0.9341277295646349,0.029891994449574365
performance.xgb.syn_ood,0.8879913124717473,0.9477492167002286,0.9324524104220975,0.029644659936710328
performance.feat_rank_distance.corr,0.2121212121212121,0.4242424242424242,0.3409090909090909,0.09380896778286216
performance.feat_rank_distance.pvalue,0.06286914699241088,0.38070480349126185,0.17062038101751642,0.14511824123496458
detection.detection_xgb.mean,0.8405754066735831,0.855484337388203,0.8498992124619432,0.006857140823592324
detection.detection_gmm.mean,0.5069787124998022,0.5256517146176466,0.5160705204596876,0.009727289111933516
detection.detection_linear.mean,0.48851453446978166,0.5554308242415201,0.5151525627725,0.031398781732606906
privacy.delta-presence.score,9.749999975625,12.999999870000002,11.062499940781251,1.5051992739663953
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.25000001,0.5
privacy.k-map.score,1.0,2.0,1.25,0.5
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.25000001,0.5
privacy.identifiability_score.,0.1793776693105552,0.20134228187919462,0.19035997559487491,0.01002542814225441
privacy.identifiability_score._privacy.identifiability_score.OC,0.0018303843807199512,0.003050640634533252,0.002287980475899939,0.0005841532079050263
prdc_precision,0.6693,0.7034,0.688875,0.014316744276079912
prdc_recall,0.8609,0.9109,0.8952,0.023452363065016142
nn_identifiability,0.5369,0.5554,0.543175,0.00842629811957777
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0006,0.0027,0.001425,0.0009535023160258536
