metric,S1_Random
coverage_score,0.98438125
detection.detection_gmm.mean,0.4919212534075967
detection.detection_linear.mean,0.5452086241844493
detection.detection_xgb.mean,0.6929594080781111
mmd,0.00586875
nn_identifiability,0.5720406250000001
prdc_precision,0.8037718750000001
prdc_recall,0.8661343749999999
privacy.delta-presence.score,7.804965612119748
privacy.distinct l-diversity.gt,8.875
privacy.distinct l-diversity.syn,3.687500010000001
privacy.identifiability_score.,0.32833340355444685
privacy.identifiability_score._privacy.identifiability_score.OC,0.31616428555910964
privacy.k-anonymization.gt,8.875
privacy.k-anonymization.syn,3.687500010000001
privacy.k-map.score,7.3125
sanity.close_values_probability.score,0.7735337687763942
sanity.common_rows_proportion.score,0.011543949767869271
sanity.data_mismatch.score,0.0
sanity.distant_values_probability.score,0.030439019551525445
sanity.nearest_syn_neighbor_distance.mean,0.13961237487775868
stats.alpha_precision.authenticity_OC,0.4910519030709307
stats.alpha_precision.authenticity_naive,0.5424905395783639
stats.alpha_precision.delta_coverage_beta_OC,0.41752568047331773
stats.alpha_precision.delta_coverage_beta_naive,0.44291889789008176
stats.alpha_precision.delta_precision_alpha_OC,0.7548110945733157
stats.alpha_precision.delta_precision_alpha_naive,0.905806288360954
stats.inv_kl_divergence.marginal,0.8560826962130319
stats.jensenshannon_dist.marginal,0.010081236236539688
stats.ks_test.marginal,0.8867421183081446
stats.max_mean_discrepancy.joint,0.012714293207097972
stats.prdc.coverage,0.7281826355717227
stats.prdc.density,0.923955608861701
stats.prdc.precision,0.9617096959646944
stats.prdc.recall,0.9697925440737996
stats.wasserstein_dist.joint,0.5066073979251087
performance.feat_rank_distance.corr_class,0.3280156442795836
performance.feat_rank_distance.corr_reg,0.5305445527493987
performance.feat_rank_distance.pvalue_class,0.10263892491816669
performance.feat_rank_distance.pvalue_reg,0.10741025977224866
performance.linear_model.gt_class,0.8814151078455157
performance.linear_model.gt_reg,0.5939638320775591
performance.linear_model.syn_id_class,0.8862882797809188
performance.linear_model.syn_id_reg,0.46635394360644716
performance.linear_model.syn_ood_class,0.8857316491298218
performance.linear_model.syn_ood_reg,0.439718658292266
performance.mlp.gt_class,0.6861443407215471
performance.mlp.gt_reg,-3097.2224824523364
performance.mlp.syn_id_class,0.6388446882543726
performance.mlp.syn_id_reg,-2238.0061282242837
performance.mlp.syn_ood_class,0.6563299708970348
performance.mlp.syn_ood_reg,-1836.4883415170534
performance.xgb.gt_class,0.949051309050088
performance.xgb.gt_reg,0.7156528768685264
performance.xgb.syn_id_class,0.9250429268872131
performance.xgb.syn_id_reg,0.6443789613704172
performance.xgb.syn_ood_class,0.9241243666319797
performance.xgb.syn_ood_reg,0.6340624860272088
