,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.00833788731586014,0.017922104695143166,0.012727626556319272,0.004015949959226303
sanity.close_values_probability.score,0.9915310528063767,0.9935237462636998,0.9924858850880107,0.0009430269587844941
sanity.distant_values_probability.score,0.00033211557622052476,0.003985386914646297,0.0012454334108269677,0.001826635669212886
stats.jensenshannon_dist.marginal,0.0051701213717476975,0.00640030476155222,0.005611509770995605,0.0005628697578759721
stats.inv_kl_divergence.marginal,0.8558811828123877,0.8748769946950662,0.8692586371213028,0.009058041934965904
stats.ks_test.marginal,0.9175345953725229,0.9323437531544878,0.9270969487962973,0.006632141422338827
stats.max_mean_discrepancy.joint,0.00216624035610353,0.0021713901456824817,0.002169568656840256,2.2760796688141232e-06
stats.wasserstein_dist.joint,2.1632742881774902,2.1712427139282227,2.1684382557868958,0.003670581478396527
stats.alpha_precision.delta_precision_alpha_OC,0.07027388109552435,0.8829659318637275,0.6657865132563978,0.39723544484605255
stats.alpha_precision.delta_coverage_beta_OC,0.019104876419505756,0.47802271209084835,0.3525165664662659,0.22275453239391987
stats.alpha_precision.authenticity_OC,0.012024048096192385,0.558,0.39100300601202403,0.25441568705942724
stats.alpha_precision.delta_precision_alpha_naive,0.9525701149425287,0.9699490935894778,0.963573851150577,0.008245019906860692
stats.alpha_precision.delta_coverage_beta_naive,0.3284,0.4231128924515699,0.37234716098864395,0.03912901794556467
stats.alpha_precision.authenticity_naive,0.5210420841683366,0.5490981963927856,0.5358076152304609,0.013438567956486895
stats.prdc.precision,0.988,0.9939879759519038,0.9904869739478959,0.0025137078124337843
stats.prdc.recall,0.9164729325805381,0.9628030554633012,0.9456160743938892,0.02021749307974394
stats.prdc.density,0.9527054108216433,0.9975951903807616,0.9716615230460923,0.019131583245163605
stats.prdc.coverage,0.22351378279641315,0.2565592826303554,0.24306708734639654,0.014812612223288215
performance.linear_model.gt,0.7135184390739095,0.7135184390739095,0.7135184390739095,0.0
performance.linear_model.syn_id,0.710284364748976,0.7522836478136404,0.7247494762067843,0.019052689928324124
performance.linear_model.syn_ood,0.710013756929213,0.7522604406718124,0.7247451454891027,0.019093782153638314
performance.mlp.gt,0.49823424685520823,0.49823424685520823,0.49823424685520823,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.909559206620799,0.909559206620799,0.909559206620799,0.0
performance.xgb.syn_id,0.8342621410616218,0.85686683472477,0.8438161809150462,0.010530268117373589
performance.xgb.syn_ood,0.8343559969815748,0.8572004815982879,0.8440586148554498,0.010625849173314992
performance.feat_rank_distance.corr,0.20721347272228932,0.4421156384515961,0.30764734991217146,0.0981394287100464
performance.feat_rank_distance.pvalue,6.238798640015048e-117,4.5753271358962616e-27,1.1438317839740654e-27,2.2876635679481308e-27
detection.detection_xgb.mean,0.7352992485336401,0.7859582525744062,0.7577936669635381,0.021845235355910545
detection.detection_gmm.mean,0.4992390103527661,0.5204352730375119,0.5105390823931824,0.009039867761624146
detection.detection_linear.mean,0.4852842525557473,0.5148666933182614,0.4979379804754093,0.014137554758455793
privacy.delta-presence.score,18.99999999173913,26.461538441183432,22.915850441176637,3.281210165492137
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0
privacy.k-anonymization.syn,1.00000001,3.00000001,2.00000001,0.816496580927726
privacy.k-map.score,1.0,4.0,2.0,1.4142135623730951
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0
privacy.distinct l-diversity.syn,1.00000001,3.00000001,2.00000001,0.816496580927726
privacy.identifiability_score.,0.05147791431418133,0.06027897708402524,0.05679176353370973,0.004110279689081584
privacy.identifiability_score._privacy.identifiability_score.OC,0.06891398206575888,0.07024244437064098,0.06966124211225506,0.0005671953263566679
prdc_precision,0.47,0.5912,0.53585,0.05008981932488876
prdc_recall,0.7335,0.7715,0.746675,0.01699144392530151
nn_identifiability,0.6077,0.6773,0.6373500000000001,0.029271658647914017
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0031,0.0042,0.0036999999999999993,0.0005830951894845299
