,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.06745744059739903,0.12243153526394819,0.09659949942608122,0.023376899228281983
sanity.close_values_probability.score,0.8426966292134831,0.9438202247191011,0.896067415730337,0.0424148001981503
sanity.distant_values_probability.score,0.011235955056179775,0.02247191011235955,0.014044943820224719,0.0056179775280898875
stats.jensenshannon_dist.marginal,0.013986662454095215,0.015409370214448255,0.01471386774565406,0.0007152474178468088
stats.inv_kl_divergence.marginal,0.6698888465938767,0.8884211117213386,0.8163666535120224,0.1003958147773983
stats.ks_test.marginal,0.8425244079150533,0.8660246683238175,0.853367604918611,0.01128360172193565
stats.max_mean_discrepancy.joint,0.020256536805851717,0.02910311510421902,0.02443201475731615,0.0036410716767675726
stats.wasserstein_dist.joint,0.1486312448978424,0.19611191749572754,0.17191245779395103,0.02343203962909098
stats.alpha_precision.delta_precision_alpha_OC,0.801498127340824,0.9324292909724913,0.8776701536872015,0.06505351422492772
stats.alpha_precision.delta_coverage_beta_OC,0.3790262172284645,0.47800594084979975,0.4253067286581428,0.04140938780401313
stats.alpha_precision.authenticity_OC,0.42696629213483145,0.5617977528089888,0.5056179775280899,0.05655306693086706
stats.alpha_precision.delta_precision_alpha_naive,0.6542425416505231,0.932558439881183,0.8229045589564769,0.12589579124598976
stats.alpha_precision.delta_coverage_beta_naive,0.38426966292134823,0.45018726591760294,0.4161048689138577,0.02792377014861624
stats.alpha_precision.authenticity_naive,0.5280898876404494,0.5955056179775281,0.5646067415730337,0.028089887640449455
stats.prdc.precision,0.9880239520958084,0.9942196531791907,0.9912172395362522,0.003451680748000578
stats.prdc.recall,0.9775280898876404,1.0,0.9915730337078651,0.010757607952318433
stats.prdc.density,1.0,1.033720930232558,1.0119711276465755,0.0149171105453122
stats.prdc.coverage,1.0,1.0,1.0,0.0
performance.linear_model.gt,0.3889809817507254,0.3889809817507254,0.3889809817507254,0.0
performance.linear_model.syn_id,0.3048727289614786,0.4149788260983577,0.36089461509918486,0.04673409182731673
performance.linear_model.syn_ood,0.24972997337460798,0.37574949979535166,0.31300408887449105,0.051924571040771444
performance.mlp.gt,-0.18311513937538987,-0.18311513937538987,-0.18311513937538987,0.0
performance.mlp.syn_id,-0.2543292928324714,-0.18933539932663268,-0.22745184999720477,0.02753889567335552
performance.mlp.syn_ood,-0.11851083259572714,-0.06344381493496831,-0.08674018367097958,0.023007691556557235
performance.xgb.gt,0.18882256641607828,0.18882256641607828,0.18882256641607828,0.0
performance.xgb.syn_id,0.17463959670987916,0.30656721379214275,0.25001071147053144,0.06483284015738171
performance.xgb.syn_ood,0.12201284862503821,0.2755032469177707,0.1990210244737608,0.072013388393793
performance.feat_rank_distance.corr,-0.022222222222222223,0.37777777777777777,0.17777777777777776,0.20687763027805836
performance.feat_rank_distance.pvalue,0.1557418430335097,1.0,0.5930288249559083,0.4705812878984319
detection.detection_xgb.mean,0.7055875945149301,0.8178057889822596,0.7644617912524487,0.046595652608678
detection.detection_gmm.mean,0.5013071895424837,0.5853688141923435,0.5465450392872538,0.0345600006077172
detection.detection_linear.mean,0.50061340044039,0.567731092436975,0.545393779615233,0.031196332181762054
privacy.delta-presence.score,0.7575757573461891,0.9999999994444444,0.895875420480906,0.10147047152890987
privacy.k-anonymization.gt,15.0,15.0,15.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,18.0,27.0,22.25,4.031128874149275
privacy.distinct l-diversity.gt,15.0,15.0,15.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.5168539325842697,0.5393258426966292,0.5280898876404494,0.012974163352575828
privacy.identifiability_score._privacy.identifiability_score.OC,0.25842696629213485,0.43820224719101125,0.3455056179775281,0.080175185874935
prdc_precision,0.6407,0.7093,0.678525,0.03164768290623081
prdc_recall,0.2921,0.6854,0.5028,0.17051985221668473
nn_identifiability,0.5837,0.6328,0.61095,0.024742743043836782
coverage_score,0.9889,1.0,0.997225,0.005549999999999999
mmd,0.0,0.0061,0.003275,0.003081531004765867
