,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.03333333332222222,0.19999999993333334,0.09166666663611112,0.07391185939564089
sanity.nearest_syn_neighbor_distance.mean,0.4009112949353783,0.5238913436980092,0.45519920998144464,0.059062297849355044
sanity.close_values_probability.score,0.06666666666666667,0.26666666666666666,0.18333333333333335,0.08388704928078611
sanity.distant_values_probability.score,0.1,0.2,0.15,0.04303314829119352
stats.jensenshannon_dist.marginal,0.019829629737869774,0.022727721623287196,0.021609414397087356,0.0013050422171480523
stats.inv_kl_divergence.marginal,0.5981993858089965,0.7376996305602764,0.6695476392413378,0.059348956855661855
stats.ks_test.marginal,0.8166666666666668,0.8300000000000001,0.8241666666666667,0.005692750425533069
stats.max_mean_discrepancy.joint,0.03157666166965001,0.043193353037831284,0.03904880016401749,0.0051922473545683275
stats.wasserstein_dist.joint,0.03296295180916786,0.042924560606479645,0.037268178537487984,0.00477606479802013
stats.alpha_precision.delta_precision_alpha_OC,0.8524904214559387,0.9324137931034483,0.8895785440613027,0.03295476519388231
stats.alpha_precision.delta_coverage_beta_OC,0.2733333333333333,0.5222222222222223,0.42781609195402304,0.10993944266200584
stats.alpha_precision.authenticity_OC,0.4,0.5666666666666667,0.525,0.08333333333333331
stats.alpha_precision.delta_precision_alpha_naive,0.8708045977011495,0.9257471264367816,0.89272030651341,0.023534179325645933
stats.alpha_precision.delta_coverage_beta_naive,0.3288888888888889,0.6364750957854407,0.5547318007662835,0.15063153136857219
stats.alpha_precision.authenticity_naive,0.43333333333333335,0.6666666666666666,0.5583333333333333,0.11013459778666114
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.8666666666666667,0.9666666666666667,0.9166666666666667,0.043033148291193514
stats.prdc.density,0.9566666666666667,1.0566666666666666,0.9958333333333333,0.04323707257024279
stats.prdc.coverage,1.0,1.0,1.0,0.0
performance.linear_model.gt,0.975,0.975,0.975,0.0
performance.linear_model.syn_id,0.9875,0.9892361111111111,0.9879340277777778,0.0008680555555555247
performance.linear_model.syn_ood,0.9833333333333332,0.986111111111111,0.9840277777777777,0.0013888888888889024
performance.mlp.gt,0.75275,0.75275,0.75275,0.0
performance.mlp.syn_id,0.7432500000000001,0.8427499999999999,0.8079999999999999,0.04461035006961194
performance.mlp.syn_ood,0.6111111111111112,0.9027777777777779,0.763888888888889,0.11947673982003651
performance.xgb.gt,0.9583333333333333,0.9583333333333333,0.9583333333333333,0.0
performance.xgb.syn_id,0.9277777777777777,0.9970486111111112,0.96796875,0.033093908898746964
performance.xgb.syn_ood,0.9194444444444445,0.9944444444444445,0.9625,0.03560904541301742
performance.feat_rank_distance.corr,-0.1254423934513113,0.3846247892193158,0.2225864979258827,0.23772827980090744
performance.feat_rank_distance.pvalue,0.033820725909753574,0.4876447817627644,0.17877201971527626,0.21237522286845228
detection.detection_xgb.mean,0.45833333333333337,0.5069444444444444,0.48298611111111106,0.026892729102878758
detection.detection_gmm.mean,0.4291666666666667,0.4458333333333333,0.43819444444444444,0.008893228107545592
detection.detection_linear.mean,0.4652777777777778,0.5777777777777777,0.5253472222222222,0.04681709386300879
privacy.delta-presence.score,0.549999999725,0.611111110771605,0.5797514616823229,0.02496577799393027
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0
privacy.k-anonymization.syn,1.00000001,7.00000001,4.25000001,2.5
privacy.k-map.score,18.0,20.0,19.0,0.816496580927726
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0
privacy.distinct l-diversity.syn,1.00000001,7.00000001,4.25000001,2.5
privacy.identifiability_score.,0.6,0.6333333333333333,0.6166666666666667,0.01924500897298752
privacy.identifiability_score._privacy.identifiability_score.OC,0.6333333333333333,0.7333333333333333,0.6916666666666665,0.04194352464039304
prdc_precision,0.9,0.9667,0.9249999999999999,0.03192585159396691
prdc_recall,0.8667,0.9333,0.908325,0.03188232268828606
nn_identifiability,0.4617,0.5683,0.49960000000000004,0.047533637212679905
coverage_score,0.8972,0.925,0.9173499999999999,0.013498024546824148
mmd,0.0022,0.0048,0.003075,0.00120381338531629
