,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.09322364180625672,0.1030227578767721,0.09849088437899667,0.005158973185325824
sanity.close_values_probability.score,0.889589905362776,0.8998422712933754,0.8939274447949527,0.004840155793775461
sanity.distant_values_probability.score,0.0013144058885383807,0.0013144058885383807,0.0013144058885383807,0.0
stats.jensenshannon_dist.marginal,0.0045602954536482975,0.004951329032814636,0.0047431250311862905,0.00017678393578150309
stats.inv_kl_divergence.marginal,0.9502474408077638,0.9627192723628455,0.9576669543354356,0.00614262468081769
stats.ks_test.marginal,0.9405593521427714,0.9480743990089334,0.9448497519609943,0.0031659078037937897
stats.max_mean_discrepancy.joint,0.0022682558464154467,0.0022927180804089074,0.0022764195117116175,1.1518603336455168e-05
stats.wasserstein_dist.joint,0.7858549356460571,0.7870808839797974,0.7864101380109787,0.0005219875813347166
stats.alpha_precision.delta_precision_alpha_OC,0.5623071763916834,0.7020960108181203,0.6410311172133878,0.059013986833174686
stats.alpha_precision.delta_coverage_beta_OC,0.3628437290409122,0.4601202404809619,0.41625675006216056,0.04420132856464025
stats.alpha_precision.authenticity_OC,0.49295774647887325,0.5476673427991886,0.5196753103956677,0.022407040046573398
stats.alpha_precision.delta_precision_alpha_naive,0.9440162271805274,0.9514003561599482,0.9468161618211139,0.0032320642631183177
stats.alpha_precision.delta_coverage_beta_naive,0.47775551102204405,0.5004676018704075,0.4886514543760413,0.010490233619444332
stats.alpha_precision.authenticity_naive,0.49498997995991983,0.5456389452332657,0.5161944566544412,0.0237525014373095
stats.prdc.precision,0.973630831643002,0.9839034205231388,0.9788625209573669,0.004274243244617846
stats.prdc.recall,0.9739747634069401,0.9784437434279706,0.9766692954784437,0.0020063535124176727
stats.prdc.density,0.9906693711967546,1.0044265593561368,0.9998761870470405,0.006481548579085755
stats.prdc.coverage,0.44190325972660355,0.44742376445846477,0.4442034700315457,0.0023154942624822707
performance.linear_model.gt,0.8280465056642342,0.8280465056642342,0.8280465056642342,0.0
performance.linear_model.syn_id,0.8241082227288711,0.8277913477708697,0.8260565171815455,0.0018247506902372866
performance.linear_model.syn_ood,0.8240866489619952,0.8276739265658932,0.8259992654313983,0.0017553087571816936
performance.mlp.gt,0.6730413353499314,0.6730413353499314,0.6730413353499314,0.0
performance.mlp.syn_id,0.5403824693158504,0.6775417594377311,0.6186469272870572,0.06353305247075768
performance.mlp.syn_ood,0.5348181058707375,0.6616465405939089,0.6175732892838156,0.05845950354430109
performance.xgb.gt,0.9172376192597799,0.9172376192597799,0.9172376192597799,0.0
performance.xgb.syn_id,0.8771270373650297,0.8873041319151463,0.881705667156852,0.004506600817849007
performance.xgb.syn_ood,0.8770739940269026,0.8870952408625538,0.8816108068601143,0.004472881920781133
performance.feat_rank_distance.corr,0.38246766719690156,0.5009518309569542,0.44741272777866037,0.06113812513474508
performance.feat_rank_distance.pvalue,5.088305134061244e-95,3.6490371833009295e-56,9.122593241089114e-57,1.8245185727946795e-56
detection.detection_xgb.mean,0.6167360869571292,0.6556853240545716,0.6382737195518576,0.016116127759982415
detection.detection_gmm.mean,0.5013754522362359,0.516588969157653,0.5102062759527793,0.006762469711064672
detection.detection_linear.mean,0.5547343439582909,0.5705952132850742,0.5622280218478712,0.006993024150662185
privacy.delta-presence.score,13.578947361274238,16.124999989921875,15.04057016662209,1.289509113068566
privacy.k-anonymization.gt,14.0,14.0,14.0,0.0
privacy.k-anonymization.syn,1.00000001,5.00000001,3.50000001,1.9148542155126762
privacy.k-map.score,2.0,2.0,2.0,0.0
privacy.distinct l-diversity.gt,14.0,14.0,14.0,0.0
privacy.distinct l-diversity.syn,1.00000001,5.00000001,3.50000001,1.9148542155126762
privacy.identifiability_score.,0.11146161934805468,0.11540483701366983,0.11330178759200842,0.001703664747215528
privacy.identifiability_score._privacy.identifiability_score.OC,0.1101472134595163,0.11435331230283911,0.11264458464773923,0.001776475195646102
prdc_precision,0.8357,0.8753,0.8562000000000001,0.01673439571660714
prdc_recall,0.9201,0.9345,0.9279499999999999,0.00651024833115704
nn_identifiability,0.5183,0.529,0.522775,0.004693523907115719
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0005,0.0012,0.000725,0.0003201562118716424
