,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.00182648401824816,0.0006849315068430601,0.0008743626554772553
sanity.nearest_syn_neighbor_distance.mean,0.00322815686048604,0.004177826733206329,0.0035619562067521534,0.0004240977758475241
sanity.close_values_probability.score,0.9963470319634703,0.9981735159817352,0.997716894977169,0.0009132420091324533
sanity.distant_values_probability.score,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0
stats.jensenshannon_dist.marginal,0.0035478977273695634,0.004528277867119368,0.003865304049452875,0.00045218869161080526
stats.inv_kl_divergence.marginal,0.9200065334390662,0.9282664976749941,0.9242718941899156,0.004168800351641121
stats.ks_test.marginal,0.9122249896222498,0.9228991282689912,0.9179730178497302,0.004472033050092522
stats.max_mean_discrepancy.joint,0.002921593271791082,0.0030066088330776702,0.002961633688909668,4.451836567342294e-05
stats.wasserstein_dist.joint,0.23591148853302002,0.2462872564792633,0.24123020470142365,0.005561034537588705
stats.alpha_precision.delta_precision_alpha_OC,0.6872222222222223,0.8181944444444444,0.7361541666666667,0.056843361479961406
stats.alpha_precision.delta_coverage_beta_OC,0.4083333333333333,0.47853333333333326,0.43599722222222226,0.03169809015939418
stats.alpha_precision.authenticity_OC,0.494,0.5354166666666667,0.5186666666666666,0.01887789712865286
stats.alpha_precision.delta_precision_alpha_naive,0.7933333333333333,0.8665333333333334,0.8370847222222223,0.03112794695751913
stats.alpha_precision.delta_coverage_beta_naive,0.4258333333333334,0.5172000000000001,0.4640805555555556,0.03933210646234745
stats.alpha_precision.authenticity_naive,0.502,0.5791666666666667,0.5378125,0.034587541577964294
stats.prdc.precision,0.878,0.9083333333333333,0.8929583333333333,0.013106667090539164
stats.prdc.recall,0.9771689497716894,0.9872146118721461,0.9828767123287672,0.005132333424684129
stats.prdc.density,0.7732000000000001,0.8464,0.8115666666666668,0.030001583291553103
stats.prdc.coverage,0.7123287671232876,0.7954337899543379,0.7474885844748859,0.03516871144104057
performance.linear_model.gt,0.9869461645920644,0.9869461645920644,0.9869461645920644,0.0
performance.linear_model.syn_id,0.9794371663956131,0.9856626999020037,0.9821970748368466,0.002693602359924732
performance.linear_model.syn_ood,0.9793264318925793,0.9855997581368194,0.9821572475553053,0.0026972748552161595
performance.mlp.gt,0.9761701260752235,0.9761701260752235,0.9761701260752235,0.0
performance.mlp.syn_id,0.39105244413054474,0.9561003956189913,0.6839713775905507,0.31272812256215715
performance.mlp.syn_ood,0.38752058964575375,0.9588363461979524,0.6832185265111236,0.3171748592237498
performance.xgb.gt,0.9975125622901941,0.9975125622901941,0.9975125622901941,0.0
performance.xgb.syn_id,0.9939198645774692,0.9962718406622049,0.995148629876358,0.0010721894215528307
performance.xgb.syn_ood,0.9937793206980672,0.9962605033256187,0.9951012280811493,0.0011209089429831398
performance.feat_rank_distance.corr,0.43886968765152073,0.6639910880293866,0.5628955196249779,0.0928900243268978
performance.feat_rank_distance.pvalue,1.7817236923811515e-231,5.997273850540534e-101,1.4993184626351335e-101,2.998636925270267e-101
detection.detection_xgb.mean,0.6966609589041095,0.735730593607306,0.7122584665144596,0.01669221963634152
detection.detection_gmm.mean,0.48548858447488585,0.5229166666666667,0.5065863299086758,0.018338263507785578
detection.detection_linear.mean,0.5284817351598174,0.5396529680365296,0.5351767503805175,0.005042270179209856
privacy.delta-presence.score,6.999999930000001,7.999999920000001,7.499999933750001,0.5773502533124938
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.2264840182648402,0.2730593607305936,0.2449771689497717,0.019817912722032316
privacy.identifiability_score._privacy.identifiability_score.OC,0.22465753424657534,0.2639269406392694,0.24908675799086757,0.017365611580728225
prdc_precision,0.85,0.906,0.8713,0.0241962807059267
prdc_recall,0.947,0.9753,0.96345,0.012130539971493439
nn_identifiability,0.5616,0.5884,0.5746,0.01157698867005868
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0035,0.0089,0.005725000000000001,0.0022750457870850276
