,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.15699501151829076,0.21010954566232554,0.1754345783236429,0.024503185473144003
sanity.close_values_probability.score,0.5633672525439408,0.7659574468085106,0.6977335800185014,0.09485570486982017
sanity.distant_values_probability.score,0.0009250693802035153,0.0037002775208140612,0.0018501387604070306,0.0013082456636198845
stats.jensenshannon_dist.marginal,0.007767225237540011,0.008781058617445223,0.008285590537520617,0.00041602529324598743
stats.inv_kl_divergence.marginal,0.9631993449390128,0.9718021930791633,0.9671108942056348,0.0035489935058059968
stats.ks_test.marginal,0.9097711995066295,0.9208374961455442,0.9153853684859699,0.0046620518564728895
stats.max_mean_discrepancy.joint,0.004998983134336374,0.005803554636887323,0.005403181494638216,0.00044363327801603893
stats.wasserstein_dist.joint,0.06647483259439468,0.06762991100549698,0.06702646240592003,0.0005081102049296395
stats.alpha_precision.delta_precision_alpha_OC,0.7337333333333333,0.8453333333333334,0.7942333333333333,0.04870195067961857
stats.alpha_precision.delta_coverage_beta_OC,0.4317333333333333,0.4544,0.4454333333333333,0.01105159616425508
stats.alpha_precision.authenticity_OC,0.502,0.572,0.544,0.029977769541222814
stats.alpha_precision.delta_precision_alpha_naive,0.9092,0.9209333333333334,0.9141999999999999,0.0048935331476007045
stats.alpha_precision.delta_coverage_beta_naive,0.32866666666666666,0.3858666666666668,0.3476,0.025883843094357862
stats.alpha_precision.authenticity_naive,0.53,0.588,0.5589999999999999,0.0266583320308429
stats.prdc.precision,0.878,0.916,0.8965,0.015864005379054406
stats.prdc.recall,0.9870490286771508,0.9935245143385754,0.9902867715078632,0.0026704452783978686
stats.prdc.density,0.7288000000000001,0.7728,0.7470000000000001,0.019403092537015807
stats.prdc.coverage,0.7252543940795559,0.757631822386679,0.7458371877890843,0.01447716339538687
performance.linear_model.gt,0.8229259663143148,0.8229259663143148,0.8229259663143148,0.0
performance.linear_model.syn_id,0.8020153483279777,0.8135619953198544,0.8080318599035543,0.004890575205519949
performance.linear_model.syn_ood,0.8013129595711451,0.8142128451182401,0.808087052913103,0.0053721016084872395
performance.mlp.gt,0.7811703360489194,0.7811703360489194,0.7811703360489194,0.0
performance.mlp.syn_id,0.7431410915433884,0.7795099387915202,0.7585331579819613,0.015565647992486374
performance.mlp.syn_ood,0.7052631578947368,0.7997975708502024,0.7453694331983807,0.04026698400383266
performance.xgb.gt,0.9193500817760143,0.9193500817760143,0.9193500817760143,0.0
performance.xgb.syn_id,0.8707482503384352,0.8944950097629466,0.8800502899864419,0.010485084295946006
performance.xgb.syn_ood,0.8704646737673272,0.8947280591434967,0.8797233178523072,0.010807833299882358
performance.feat_rank_distance.corr,0.17863315343217498,0.32073740592360894,0.26031663348462386,0.06983378394439807
performance.feat_rank_distance.pvalue,2.0702178601881518e-12,9.035133575903435e-05,2.277555062398945e-05,4.505191390646151e-05
detection.detection_xgb.mean,0.6920722819593786,0.7317841355180066,0.710290034562212,0.019639196734810415
detection.detection_gmm.mean,0.4777663423792456,0.5208344640723673,0.505042584058713,0.019703632405624588
detection.detection_linear.mean,0.5376345792797406,0.5526551459293395,0.5432331455879843,0.006738117669615132
privacy.delta-presence.score,3.1599999987359997,4.1999999916,3.479039851958368,0.48719230404226277
privacy.k-anonymization.gt,21.0,21.0,21.0,0.0
privacy.k-anonymization.syn,9.00000001,14.00000001,11.00000001,2.449489742783178
privacy.k-map.score,5.0,8.0,6.75,1.2583057392117916
privacy.distinct l-diversity.gt,21.0,21.0,21.0,0.0
privacy.distinct l-diversity.syn,9.00000001,14.00000001,11.00000001,2.449489742783178
privacy.identifiability_score.,0.22109158186864014,0.22571692876965774,0.22363552266419984,0.001907079382801886
privacy.identifiability_score._privacy.identifiability_score.OC,0.2682701202590194,0.29879740980573544,0.28376503237742834,0.013025095134439156
prdc_precision,0.766,0.786,0.7735000000000001,0.0086986589004666
prdc_recall,0.9288,0.9482,0.93685,0.008688114486661295
nn_identifiability,0.6764,0.6828,0.680775,0.0029578990291533993
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0002,0.0008,0.00045000000000000004,0.00026457513110645904
