,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.015703478242842708,0.056452056346421406,0.02896207623120407,0.019053228664545896
sanity.close_values_probability.score,0.9666666666666667,0.9939393939393939,0.981060606060606,0.012215542042876585
sanity.distant_values_probability.score,0.0030303030303030303,0.006060606060606061,0.003787878787878788,0.0015151515151515152
stats.jensenshannon_dist.marginal,0.009943779295688532,0.011323060457531581,0.010578859436935857,0.0005740125778398143
stats.inv_kl_divergence.marginal,0.8914993799943359,0.9114743754856893,0.8986620915224766,0.008797916973686344
stats.ks_test.marginal,0.8571287878787879,0.8713181818181818,0.8633361837310985,0.006672994896861401
stats.max_mean_discrepancy.joint,0.005030303030303031,0.00503431203757452,0.005031305282120903,2.0045036357445485e-06
stats.wasserstein_dist.joint,0.031951118260622025,0.05259404331445694,0.038495929911732674,0.009616835180388951
stats.alpha_precision.delta_precision_alpha_OC,0.9071264367816092,0.9481226053639847,0.9285997910135841,0.018139008308188147
stats.alpha_precision.delta_coverage_beta_OC,0.40727272727272734,0.4931313131313132,0.4447474747474748,0.03707515638580461
stats.alpha_precision.authenticity_OC,0.49393939393939396,0.5909090909090909,0.5401515151515152,0.04281029258137545
stats.alpha_precision.delta_precision_alpha_naive,0.9491745036572623,0.9685614768373388,0.959576802507837,0.00886713082950927
stats.alpha_precision.delta_coverage_beta_naive,0.40646464646464653,0.45272727272727276,0.43641414141414137,0.021823403166231277
stats.alpha_precision.authenticity_naive,0.5515151515151515,0.5757575757575758,0.5621212121212121,0.010350455319151122
stats.prdc.precision,0.9979959919839679,1.0,0.999498997995992,0.001002004008016033
stats.prdc.recall,0.9606060606060606,0.996969696969697,0.9765151515151516,0.016295217984749172
stats.prdc.density,0.9720000000000001,1.0064128256513027,0.9926032064128257,0.014589883611015675
stats.prdc.coverage,0.9696969696969697,0.996969696969697,0.9833333333333334,0.011202562127686262
performance.linear_model.gt,0.5104160533806608,0.5104160533806608,0.5104160533806608,0.0
performance.linear_model.syn_id,0.40647041728032374,0.5002523252747566,0.46121471608582776,0.03981908818337795
performance.linear_model.syn_ood,0.3768061956430694,0.4827477743456168,0.4377146849075868,0.044552780260017945
performance.mlp.gt,-2.2988603336741944,-2.2988603336741944,-2.2988603336741944,0.0
performance.mlp.syn_id,-2.298827509427482,-2.2956765268054973,-2.297651225561625,0.0013746997275017375
performance.mlp.syn_ood,-3.235980596837366,-3.231587458100602,-3.2343386669722145,0.001915917241913401
performance.xgb.gt,0.4757466193148698,0.4757466193148698,0.4757466193148698,0.0
performance.xgb.syn_id,0.29157591084458123,0.391519765128844,0.3546301931761995,0.04675099585812883
performance.xgb.syn_ood,0.27917995682319596,0.3966416281143882,0.33567256163232007,0.05630285837289823
performance.feat_rank_distance.corr,0.5,0.8999999999999999,0.7201800145897066,0.1682129561657774
performance.feat_rank_distance.pvalue,0.005693166928512074,0.12451805873621316,0.044200138526980896,0.05459841782701442
detection.detection_xgb.mean,0.7584848484848485,0.8104545454545455,0.7756094276094276,0.023908721299259746
detection.detection_gmm.mean,0.4732272727272727,0.5371515151515152,0.5097575757575757,0.0279090936509502
detection.detection_linear.mean,0.618030303030303,0.6406969696969698,0.6298934802571167,0.010319812531138586
privacy.delta-presence.score,1.0869565215028356,1.3437499995800781,1.1868890843402267,0.11895817438758863
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.25000001,0.5
privacy.k-map.score,1.0,3.0,2.25,0.9574271077563381
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.25000001,0.5
privacy.identifiability_score.,0.5,0.5393939393939394,0.5212121212121212,0.016224624650716186
privacy.identifiability_score._privacy.identifiability_score.OC,0.4909090909090909,0.5393939393939394,0.5090909090909091,0.022268088570756173
prdc_precision,0.832,0.884,0.860425,0.02267867941481604
prdc_recall,0.8061,0.9,0.8492500000000001,0.048679256362438396
nn_identifiability,0.5803,0.6264,0.6017250000000001,0.01942067197601563
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0169,0.0252,0.021124999999999998,0.0033895673273541377
