,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.2311726500671226,0.35720961875958473,0.3073085321873972,0.05366774894229227
sanity.close_values_probability.score,0.3333333333333333,0.5555555555555556,0.4583333333333333,0.10269015283712424
sanity.distant_values_probability.score,0.027777777777777776,0.16666666666666666,0.08333333333333334,0.06000685831859129
stats.jensenshannon_dist.marginal,0.021553759718897444,0.023613307290666272,0.02278371012890224,0.0008761005256695693
stats.inv_kl_divergence.marginal,0.5779392857406919,0.6441090967047216,0.6054556333628583,0.03168438205548991
stats.ks_test.marginal,0.7776380505253745,0.8075955734406437,0.7934272300469483,0.012524613433429602
stats.max_mean_discrepancy.joint,0.04189975012741128,0.04247155654164399,0.04220930071560691,0.00027380800373166494
stats.wasserstein_dist.joint,0.2390998750925064,0.2893182635307312,0.2696704901754856,0.02241806034504042
stats.alpha_precision.delta_precision_alpha_OC,0.5462962962962963,0.6537037037037037,0.6166666666666667,0.047981668500762416
stats.alpha_precision.delta_coverage_beta_OC,0.2870370370370371,0.5174329501915709,0.42704342273307794,0.10202155530857664
stats.alpha_precision.authenticity_OC,0.3333333333333333,0.5833333333333334,0.48611111111111116,0.12108052620946319
stats.alpha_precision.delta_precision_alpha_naive,0.8094508301404852,0.8904214559386974,0.8587643678160919,0.03459233865851413
stats.alpha_precision.delta_coverage_beta_naive,0.35370370370370385,0.45721583652618136,0.4018039591315454,0.04313663717605093
stats.alpha_precision.authenticity_naive,0.4722222222222222,0.6388888888888888,0.5486111111111112,0.06944444444444443
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.9166666666666666,1.0,0.9791666666666666,0.04166666666666669
stats.prdc.density,0.9211267605633803,1.0901408450704226,0.98943661971831,0.07545843930900294
stats.prdc.coverage,1.0,1.0,1.0,0.0
performance.linear_model.gt,0.9620535714285714,0.9620535714285714,0.9620535714285714,0.0
performance.linear_model.syn_id,0.9865853029677982,0.9924656931738213,0.9887607227790045,0.0026674183456327724
performance.linear_model.syn_ood,0.9877551020408163,0.9902742346938777,0.9893734056122448,0.0011099427818242818
performance.mlp.gt,0.43550000000000005,0.43550000000000005,0.43550000000000005,0.0
performance.mlp.syn_id,0.4538333333333333,0.4706666666666667,0.46391666666666664,0.008255749960325083
performance.mlp.syn_ood,0.609375,0.65234375,0.6279296875,0.021952754296988758
performance.xgb.gt,0.9923150510204082,0.9923150510204082,0.9923150510204082,0.0
performance.xgb.syn_id,0.9731187361984033,0.9880035307821107,0.9815680433885802,0.006589620806337934
performance.xgb.syn_ood,0.9775510204081632,0.9861926020408163,0.9817522321428571,0.0035306119952948547
performance.feat_rank_distance.corr,-0.0037466061752842762,0.4113766756037211,0.16723513695118528,0.17468437814044901
performance.feat_rank_distance.pvalue,0.005882556965723863,0.9800181955304267,0.4370387542430999,0.40304872615974835
detection.detection_xgb.mean,0.5670238095238095,0.6640646258503402,0.6165646258503402,0.047028525881583697
detection.detection_gmm.mean,0.3476530612244898,0.5525085034013605,0.4389732142857143,0.10301941776431418
detection.detection_linear.mean,0.4983333333333334,0.6256632653061225,0.5526998299319729,0.0594177746435865
privacy.delta-presence.score,0.5517241377407848,0.8421052627146814,0.6751240166470888,0.1216764699098594
privacy.k-anonymization.gt,16.0,16.0,16.0,0.0
privacy.k-anonymization.syn,4.00000001,6.00000001,5.25000001,0.9574271077563381
privacy.k-map.score,19.0,29.0,24.25,4.112987559751022
privacy.distinct l-diversity.gt,16.0,16.0,16.0,0.0
privacy.distinct l-diversity.syn,4.00000001,6.00000001,5.25000001,0.9574271077563381
privacy.identifiability_score.,0.5833333333333334,0.7222222222222222,0.6597222222222222,0.05726535591135637
privacy.identifiability_score._privacy.identifiability_score.OC,0.5555555555555556,0.7222222222222222,0.6111111111111112,0.07522257782070331
prdc_precision,0.8873,0.9437,0.919025,0.029067894660604512
prdc_recall,0.6111,0.75,0.701375,0.06159363468194853
nn_identifiability,0.4894,0.536,0.516325,0.02216414146017543
coverage_score,0.9462,0.9692,0.9577,0.01327905619136134
mmd,0.0032,0.0145,0.010725000000000002,0.0053036936814513215
