,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.07564970723451388,0.08474400699661402,0.0804402506357815,0.0039082739848563235
sanity.close_values_probability.score,0.8895668090298963,0.9042098840756558,0.8958206223306894,0.006502469912039083
sanity.distant_values_probability.score,0.0018303843807199512,0.0024405125076266015,0.0022879804758999386,0.00030506406345332513
stats.jensenshannon_dist.marginal,0.03055543128183959,0.03120201063171953,0.030958210183482653,0.0002899293826280986
stats.inv_kl_divergence.marginal,0.34075936663357786,0.35659122052473,0.345753237100058,0.007318518248144599
stats.ks_test.marginal,0.40618482760143865,0.41865659173041714,0.4124985335752724,0.005962420318041169
stats.max_mean_discrepancy.joint,0.002610124222563378,0.002723159687005326,0.002653586504452009,4.857410212630887e-05
stats.wasserstein_dist.joint,0.45458048582077026,0.45743489265441895,0.4562291353940964,0.0012937979959135161
stats.alpha_precision.delta_precision_alpha_OC,0.12873563218390793,0.7483774177168445,0.5482218294014025,0.29072229818412615
stats.alpha_precision.delta_coverage_beta_OC,0.09601081812035162,0.26680107526881713,0.20325531605144212,0.07431586069728016
stats.alpha_precision.authenticity_OC,0.02231237322515213,0.68,0.47991843855826366,0.3071397831897958
stats.alpha_precision.delta_precision_alpha_naive,0.6485463150777553,0.6665183537263626,0.6550706910435259,0.007907260638348583
stats.alpha_precision.delta_coverage_beta_naive,0.2529569892473117,0.26533333333333353,0.2601378437258818,0.006094093779934369
stats.alpha_precision.authenticity_naive,0.6105476673427992,0.738,0.6776683975974565,0.05304809480248707
stats.prdc.precision,0.9616935483870968,0.9959839357429718,0.9818554765091906,0.014650190078117771
stats.prdc.recall,0.43929225137278827,0.5979255643685174,0.49801708358755337,0.0702405175627641
stats.prdc.density,0.9286004056795133,0.9497991967871487,0.9402894167456979,0.009170226061805016
stats.prdc.coverage,0.22818791946308725,0.2458816351433801,0.238255033557047,0.008490797537176367
performance.linear_model.gt,0.6775116107744574,0.6775116107744574,0.6775116107744574,0.0
performance.linear_model.syn_id,-5.8276783708110615,0.4525951794347277,-1.5716928883589825,2.9619491923197634
performance.linear_model.syn_ood,-6.001712743354102,0.452947322486634,-1.621491239515883,3.044993520468344
performance.mlp.gt,-6192.146104570998,-6192.146104570998,-6192.146104570998,0.0
performance.mlp.syn_id,-53790.72696149694,-22226.401093242155,-36641.24595150907,14772.82078508518
performance.mlp.syn_ood,-24196.881272781946,-11136.914937300178,-17443.493396737613,7245.587838049159
performance.xgb.gt,0.955559134422183,0.955559134422183,0.955559134422183,0.0
performance.xgb.syn_id,-0.31961676602150657,-0.06928777781316908,-0.16543991770507396,0.1115247049138836
performance.xgb.syn_ood,-0.3216277331834517,-0.06927782037893157,-0.1662034554939475,0.11235172799677079
performance.feat_rank_distance.corr,-0.1212121212121212,0.1818181818181818,0.09090909090909088,0.14213381090374028
performance.feat_rank_distance.pvalue,0.459023957331249,0.6383612539081289,0.5469486531986532,0.07324183333755657
detection.detection_xgb.mean,0.9541818650817866,0.9613135675393452,0.9587442145836662,0.003327694375039681
detection.detection_gmm.mean,0.4304366183653496,0.6962494513268735,0.5680296403183903,0.12384067306281595
detection.detection_linear.mean,0.9347372137985251,0.9373202239445249,0.936124515878236,0.0012370033949963576
privacy.delta-presence.score,27.58064515239334,214.99999785000003,123.77016021403585,98.42718119851956
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.75000001,0.5
privacy.k-map.score,1.0,5.0,2.75,2.0615528128088303
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.75000001,0.5
privacy.identifiability_score.,0.10128126906650396,0.11165344722391703,0.10753508236729714,0.004521402089773382
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.11775472849298353,0.029438682123245883,0.05887736424649177
prdc_precision,0.788,0.8815,0.82285,0.04333285897176257
prdc_recall,0.9054,0.9341,0.9196,0.012091043517138382
nn_identifiability,0.0719,0.0982,0.08662500000000001,0.011369073547714133
coverage_score,0.7963,0.8222,0.80765,0.010740111731262405
mmd,0.2695,0.2824,0.27625,0.005313191131514078
