,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.007727487575189445,0.009600969974948479,0.008527527184931518,0.0008138210090927994
sanity.close_values_probability.score,0.9890401859847227,0.9897044171371637,0.9894553304549982,0.000317976455581654
sanity.distant_values_probability.score,0.0004981733643307871,0.0004981733643307871,0.0004981733643307871,0.0
stats.jensenshannon_dist.marginal,0.013491400674251697,0.015049252130539035,0.01448184692995776,0.0007174466308525847
stats.inv_kl_divergence.marginal,0.6409183726972661,0.6861460183169874,0.6663503906143174,0.018748813966893332
stats.ks_test.marginal,0.8443588619506256,0.8521422783128529,0.8471079507625902,0.0035021739337890963
stats.max_mean_discrepancy.joint,0.0021838689821681656,0.002193704757462287,0.0021895894163332904,4.8035355087474645e-06
stats.wasserstein_dist.joint,2.1849799156188965,2.1902027130126953,2.1882283687591553,0.002269438464455445
stats.alpha_precision.delta_precision_alpha_OC,0.7178022988505748,0.7584689655172414,0.7376844171100823,0.020339138293622234
stats.alpha_precision.delta_coverage_beta_OC,0.4170666666666668,0.4716,0.44882932531730135,0.023270267199584853
stats.alpha_precision.authenticity_OC,0.514,0.564,0.5432665330661323,0.024092859029765528
stats.alpha_precision.delta_precision_alpha_naive,0.556,0.6153640614562458,0.5749076820307282,0.02727881439622794
stats.alpha_precision.delta_coverage_beta_naive,0.3406813627254509,0.3734666666666666,0.35383700734802936,0.013909547070259416
stats.alpha_precision.authenticity_naive,0.5,0.566,0.5392755511022044,0.028267529298431782
stats.prdc.precision,0.9919839679358717,1.0,0.9954959919839679,0.003421131256334568
stats.prdc.recall,0.8837595483228163,0.9134838923945533,0.8987877781467951,0.01406990695683844
stats.prdc.density,1.036,1.0656,1.0506252505010019,0.012085904327659406
stats.prdc.coverage,0.19926934573231483,0.23248090335436733,0.21882265028229822,0.01409854091926214
performance.linear_model.gt,0.7135184390739095,0.7135184390739095,0.7135184390739095,0.0
performance.linear_model.syn_id,0.6853854202815876,0.7519907029710291,0.7311459995132782,0.03077726732627452
performance.linear_model.syn_ood,0.6850917871522529,0.7521947563618756,0.7310596541115668,0.030933655941646963
performance.mlp.gt,0.49823424685520823,0.49823424685520823,0.49823424685520823,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.909559206620799,0.909559206620799,0.909559206620799,0.0
performance.xgb.syn_id,0.702928403282012,0.8062777807321144,0.7576655508277239,0.04417110777800063
performance.xgb.syn_ood,0.7030046513197352,0.8065539818726799,0.7578718872300327,0.04431562527778913
performance.feat_rank_distance.corr,0.2268839794551266,0.29931748659746366,0.26169659573926024,0.037710221789296734
performance.feat_rank_distance.pvalue,1.3049044048359116e-54,4.0652714827845105e-32,1.0665972193585047e-32,2.001363029021172e-32
detection.detection_xgb.mean,0.9318451117090314,0.9481986738534071,0.9399713093232959,0.007286741370098827
detection.detection_gmm.mean,0.42507711776788304,0.5048214382211439,0.4631140529149034,0.032724294493238264
detection.detection_linear.mean,0.7559715002550282,0.772104760066721,0.7654907405237499,0.007264260622567478
privacy.delta-presence.score,79.4999996025,104.99999947500001,95.95833293659723,11.256582416629344
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0
privacy.k-anonymization.syn,2.00000001,4.00000001,2.50000001,1.0
privacy.k-map.score,2.0,3.0,2.25,0.5
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0
privacy.distinct l-diversity.syn,2.00000001,4.00000001,2.50000001,1.0
privacy.identifiability_score.,0.044005313849219525,0.05114579873796081,0.048654931916306876,0.0033294482988647342
privacy.identifiability_score._privacy.identifiability_score.OC,0.06841580870142809,0.07555629359016938,0.07211059448688144,0.003277626282056632
prdc_precision,0.732,0.782,0.752375,0.024094864598083972
prdc_recall,0.4384,0.4557,0.450075,0.00789446008286823
nn_identifiability,0.2993,0.3247,0.315925,0.011439806233790263
coverage_score,1.0,1.0,1.0,0.0
mmd,0.025,0.0292,0.027100000000000003,0.002107130750570547
