,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.03333333332222222,0.13333333328888888,0.08333333330555556,0.043033148276849134
sanity.nearest_syn_neighbor_distance.mean,0.3278962960965702,0.44135020402618974,0.3901588797444919,0.051772586006148105
sanity.close_values_probability.score,0.2,0.26666666666666666,0.23333333333333334,0.03849001794597504
sanity.distant_values_probability.score,0.03333333333333333,0.1,0.058333333333333334,0.031914236925211274
stats.jensenshannon_dist.marginal,0.02238096878544473,0.026847194166311227,0.024147348044472033,0.0020451680430244755
stats.inv_kl_divergence.marginal,0.46260137257764555,0.6772743049469916,0.5733472253528509,0.08790614137521428
stats.ks_test.marginal,0.8166666666666668,0.8433333333333334,0.8308333333333334,0.011666666666666633
stats.max_mean_discrepancy.joint,0.055883728654548326,0.06976603826291528,0.06322996415730531,0.0057743132251525065
stats.wasserstein_dist.joint,0.02628294937312603,0.0370110347867012,0.03039185283705592,0.004637212586896145
stats.alpha_precision.delta_precision_alpha_OC,0.8396168582375478,0.9037547892720307,0.8809003831417623,0.0283033210733963
stats.alpha_precision.delta_coverage_beta_OC,0.4377777777777777,0.6326436781609195,0.5572605363984674,0.09359827039450211
stats.alpha_precision.authenticity_OC,0.26666666666666666,0.6333333333333333,0.4833333333333333,0.18155705153742435
stats.alpha_precision.delta_precision_alpha_naive,0.7910344827586208,0.8616091954022989,0.8289655172413793,0.02917323669257616
stats.alpha_precision.delta_coverage_beta_naive,0.2222222222222222,0.4582375478927203,0.36574712643678164,0.10905782375134805
stats.alpha_precision.authenticity_naive,0.4,0.6666666666666666,0.5166666666666666,0.11055415967851331
stats.prdc.precision,0.9166666666666666,0.95,0.9333333333333332,0.01924500897298752
stats.prdc.recall,0.7666666666666667,0.9666666666666667,0.875,0.09179284245476835
stats.prdc.density,0.9333333333333335,1.0633333333333332,1.0108333333333333,0.06396613687465152
stats.prdc.coverage,1.0,1.0,1.0,0.0
performance.linear_model.gt,0.975,0.975,0.975,0.0
performance.linear_model.syn_id,0.9913194444444444,0.9951388888888889,0.9932291666666666,0.0017128065494153874
performance.linear_model.syn_ood,0.986111111111111,0.9972222222222221,0.9895833333333334,0.005258248468333563
performance.mlp.gt,0.75275,0.75275,0.75275,0.0
performance.mlp.syn_id,0.6732500000000001,0.78625,0.7336250000000001,0.05097895807749177
performance.mlp.syn_ood,0.6111111111111112,0.7152777777777778,0.6753472222222223,0.04513888888888887
performance.xgb.gt,0.9583333333333333,0.9583333333333333,0.9583333333333333,0.0
performance.xgb.syn_id,0.9074652777777779,0.9944444444444445,0.96640625,0.04043027186847811
performance.xgb.syn_ood,0.9111111111111111,0.9944444444444445,0.9666666666666667,0.03822179155657463
performance.feat_rank_distance.corr,-0.1250120580717012,0.4214715809272218,0.18353031592798055,0.27203444698576695
performance.feat_rank_distance.pvalue,0.021986414098653866,0.847120023789538,0.345619233529163,0.3995921786955806
detection.detection_xgb.mean,0.5527777777777778,0.6708333333333334,0.6277777777777778,0.051855985284984654
detection.detection_gmm.mean,0.4583333333333333,0.5222222222222221,0.4833333333333333,0.028755926209758385
detection.detection_linear.mean,0.46111111111111114,0.6111111111111112,0.5322916666666666,0.06198216547885821
privacy.delta-presence.score,0.5135135133747261,0.6470588231487889,0.5540319729464651,0.062381369996549654
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0
privacy.k-anonymization.syn,4.00000001,7.00000001,5.00000001,1.4142135623730951
privacy.k-map.score,17.0,24.0,22.0,3.366501646120693
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0
privacy.distinct l-diversity.syn,4.00000001,7.00000001,5.00000001,1.4142135623730951
privacy.identifiability_score.,0.43333333333333335,0.6333333333333333,0.5166666666666666,0.09999999999999998
privacy.identifiability_score._privacy.identifiability_score.OC,0.6,0.7666666666666667,0.6666666666666666,0.07200822998230959
prdc_precision,0.8167,0.9,0.8583500000000001,0.034683761810584135
prdc_recall,0.7333,0.9333,0.8500000000000001,0.08389588786108652
nn_identifiability,0.41,0.5283,0.47969999999999996,0.05581546977914517
coverage_score,0.875,0.95,0.91735,0.031126569572205227
mmd,0.0,0.0058,0.0023499999999999997,0.00285832118559129
