,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.07443201661002782,0.0767344502965799,0.07563460991917273,0.0011701778793032976
sanity.close_values_probability.score,0.9387486855941115,0.9461093585699264,0.9422318611987383,0.0032365715943677657
sanity.distant_values_probability.score,0.0013144058885383807,0.0013144058885383807,0.0013144058885383807,0.0
stats.jensenshannon_dist.marginal,0.010690082477197436,0.011142836997234363,0.010909420204710652,0.00018735177258632702
stats.inv_kl_divergence.marginal,0.9202197060243882,0.9270362462841554,0.92301685714098,0.0028987880659198523
stats.ks_test.marginal,0.8666337273383756,0.8731556567537716,0.8705563977357333,0.0027848194809717867
stats.max_mean_discrepancy.joint,0.00237470304599378,0.002448522131229767,0.0024145743586173377,3.122597453300759e-05
stats.wasserstein_dist.joint,0.785231351852417,0.7877217531204224,0.7863361090421677,0.0012441087776202695
stats.alpha_precision.delta_precision_alpha_OC,0.6629107981220658,0.8216203639071153,0.765913061014612,0.07033333039275287
stats.alpha_precision.delta_coverage_beta_OC,0.3741113346747149,0.44979757085020244,0.4134738796610152,0.0319605919280926
stats.alpha_precision.authenticity_OC,0.48582995951417,0.5301204819277109,0.5092682904247918,0.01944078311714703
stats.alpha_precision.delta_precision_alpha_naive,0.9110603332871717,0.9192118226600985,0.9151556980132626,0.004499435631716693
stats.alpha_precision.delta_coverage_beta_naive,0.37884872824631843,0.4059379217273954,0.38849206812669257,0.011980904388122417
stats.alpha_precision.authenticity_naive,0.5587044534412956,0.5843373493975904,0.5747079913754024,0.012000078203851383
stats.prdc.precision,0.9838056680161943,0.993963782696177,0.9889202743246792,0.004227481454998021
stats.prdc.recall,0.8761829652996845,0.886435331230284,0.8832807570977919,0.004823469661592343
stats.prdc.density,1.1220883534136545,1.1369477911646586,1.1287335716165192,0.006170351922782882
stats.prdc.coverage,0.3509463722397476,0.3601472134595163,0.35620399579390116,0.004340857369961732
performance.linear_model.gt,0.8280465056642342,0.8280465056642342,0.8280465056642342,0.0
performance.linear_model.syn_id,0.7791308948543131,0.7981502008846361,0.7906711869547466,0.008113712448344844
performance.linear_model.syn_ood,0.7794814449939103,0.7979880076832986,0.7907431995520638,0.007906190591936134
performance.mlp.gt,0.6730413353499314,0.6730413353499314,0.6730413353499314,0.0
performance.mlp.syn_id,0.583624707330914,0.6085917195844133,0.593815872092347,0.011992156278063486
performance.mlp.syn_ood,0.5509759246601351,0.5717437533227007,0.5612620566567935,0.01032299526965834
performance.xgb.gt,0.9172376192597799,0.9172376192597799,0.9172376192597799,0.0
performance.xgb.syn_id,0.85685648354103,0.8635002390675112,0.8612952454549254,0.003007331234252482
performance.xgb.syn_ood,0.8568507485127984,0.8638216415778743,0.8613642751523639,0.003089711704914068
performance.feat_rank_distance.corr,0.43104938827635986,0.462591315040067,0.4438836913226435,0.015204164863366305
performance.feat_rank_distance.pvalue,2.641813652470763e-81,7.659659159602371e-71,2.891368341228207e-71,3.673584970094555e-71
detection.detection_xgb.mean,0.8222184182582447,0.8596640096894511,0.8438832813042727,0.0177699961553036
detection.detection_gmm.mean,0.45627921058220355,0.5247355161615433,0.4995038686129565,0.03002280446376684
detection.detection_linear.mean,0.6090902071758458,0.6188193290886596,0.6152052995556754,0.004363196870951436
privacy.delta-presence.score,19.846153830887573,21.666666594444447,20.982371741975367,0.8720677883217768
privacy.k-anonymization.gt,14.0,14.0,14.0,0.0
privacy.k-anonymization.syn,2.00000001,4.00000001,3.00000001,1.1547005383792515
privacy.k-map.score,3.0,4.0,3.5,0.5773502691896257
privacy.distinct l-diversity.gt,14.0,14.0,14.0,0.0
privacy.distinct l-diversity.syn,2.00000001,4.00000001,3.00000001,1.1547005383792515
privacy.identifiability_score.,0.08727655099894847,0.0991062039957939,0.09259989484752891,0.0048963457129403655
privacy.identifiability_score._privacy.identifiability_score.OC,0.1167192429022082,0.13354363827549948,0.12789169295478442,0.007572012333431457
prdc_precision,0.8968,0.9116,0.90635,0.007005474050102975
prdc_recall,0.8239,0.8328,0.82735,0.003992075483588297
nn_identifiability,0.4128,0.4193,0.4163,0.0028577380332470434
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0138,0.0162,0.01505,0.0009949874371066197
