,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.00091324200912408,0.0045662100456204,0.00251141552509122,0.0018826966326849347
sanity.nearest_syn_neighbor_distance.mean,0.004339198292188563,0.004662046153821361,0.004467436591531154,0.0001409836535710102
sanity.close_values_probability.score,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.0
sanity.distant_values_probability.score,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0
stats.jensenshannon_dist.marginal,0.010543091009373153,0.011113542203329973,0.010821444341643751,0.00027953178676178123
stats.inv_kl_divergence.marginal,0.6898478233222747,0.800076303359485,0.7340761699468196,0.04769430631044242
stats.ks_test.marginal,0.7046687168017892,0.7262434238950873,0.7176619027059634,0.010030331380649791
stats.max_mean_discrepancy.joint,0.0030062181233648138,0.003090022472234982,0.003050544729305516,4.343391339195009e-05
stats.wasserstein_dist.joint,0.23943762481212616,0.24328821897506714,0.2417587973177433,0.0017735749313774582
stats.alpha_precision.delta_precision_alpha_OC,0.7828571428571429,0.9363828289936664,0.882540636045725,0.07116195443904239
stats.alpha_precision.delta_coverage_beta_OC,0.41319727891156455,0.4872108843537414,0.4419861491690864,0.03218952342709868
stats.alpha_precision.authenticity_OC,0.5,0.536734693877551,0.5185074230092839,0.015882736483155156
stats.alpha_precision.delta_precision_alpha_naive,0.8968097583861131,0.9260145437485339,0.9138524433337706,0.01229771643954875
stats.alpha_precision.delta_coverage_beta_naive,0.3337414965986394,0.3680694722778889,0.352357504123894,0.014115260068603901
stats.alpha_precision.authenticity_naive,0.5571428571428572,0.6132264529058116,0.586980082614208,0.025413354696679467
stats.prdc.precision,0.8877755511022044,0.9510204081632653,0.9173520510408572,0.02604765797727384
stats.prdc.recall,0.852054794520548,0.902283105022831,0.8723744292237443,0.024361204898530754
stats.prdc.density,0.8791836734693877,0.9738775510204083,0.9205897509304324,0.04279808966891518
stats.prdc.coverage,0.5634703196347032,0.5716894977168949,0.5659817351598173,0.0039013715732043315
performance.linear_model.gt,0.9869461645920644,0.9869461645920644,0.9869461645920644,0.0
performance.linear_model.syn_id,0.9511457225662518,0.9706939297033005,0.959291240539188,0.008268831482843202
performance.linear_model.syn_ood,0.9512176560121764,0.970419194762411,0.9592356289485205,0.00810907944965682
performance.mlp.gt,0.9761701260752235,0.9761701260752235,0.9761701260752235,0.0
performance.mlp.syn_id,0.9637056383612329,0.9760527901258644,0.9717537532283058,0.005491739879701176
performance.mlp.syn_ood,0.9662095244052459,0.9715967139967889,0.9693266403953211,0.0023807395156110957
performance.xgb.gt,0.9975125622901941,0.9975125622901941,0.9975125622901941,0.0
performance.xgb.syn_id,0.9925359927858052,0.9934311211192426,0.9929310729029837,0.0004366613188728821
performance.xgb.syn_ood,0.992585642501199,0.9934655240716413,0.9929649871770814,0.00038467822934893547
performance.feat_rank_distance.corr,-0.1556568572619096,0.3463093896083922,0.060920720235368875,0.2200243038687964
performance.feat_rank_distance.pvalue,9.184016826310696e-64,0.003951590271361362,0.00098790783389213,0.001975788291740984
detection.detection_xgb.mean,0.8925496225887615,0.8994874662193645,0.8959421829891497,0.0038351406177926633
detection.detection_gmm.mean,0.36967663777839904,0.3957319914267077,0.38614220482713635,0.011381652978274098
detection.detection_linear.mean,0.7732643742428479,0.7935624740556249,0.7845673494802654,0.009377686758454701
privacy.delta-presence.score,23.99999992,36.666666544444446,29.666666471111114,5.22812904612759
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,2.0,1.25,0.5
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.19360730593607306,0.2045662100456621,0.2002283105022831,0.0053446118313788295
privacy.identifiability_score._privacy.identifiability_score.OC,0.2182648401826484,0.25205479452054796,0.23607305936073059,0.013839960939627772
prdc_precision,0.8959,0.9592,0.9289499999999999,0.02784654377117563
prdc_recall,0.8986,0.9288,0.918025,0.013387649781297202
nn_identifiability,0.3411,0.3964,0.362875,0.024012687618562525
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0678,0.0828,0.076425,0.006799203384711083
