,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.19748143652283456,0.22758569645813204,0.20952702099345138,0.01338406149530284
sanity.close_values_probability.score,0.48196114708603144,0.5781683626271971,0.5374653098982424,0.042196415573769235
sanity.distant_values_probability.score,0.0027752081406105457,0.0037002775208140612,0.0032377428307123037,0.0005340890556795799
stats.jensenshannon_dist.marginal,0.013748037480303935,0.014408270814258316,0.014081046794653742,0.0002803890006847838
stats.inv_kl_divergence.marginal,0.8896373177178775,0.9225146431034142,0.9034711116638958,0.015458883196950157
stats.ks_test.marginal,0.8565839665763844,0.8587425223558434,0.8581101296320546,0.001028301488291107
stats.max_mean_discrepancy.joint,0.028202206365073673,0.029241447568558468,0.0286277939393499,0.0005044402431223536
stats.wasserstein_dist.joint,0.08499666303396225,0.08618690818548203,0.08562805131077766,0.0006039598248438501
stats.alpha_precision.delta_precision_alpha_OC,0.7981333333333334,0.8946666666666667,0.8458375984291816,0.04146741619645763
stats.alpha_precision.delta_coverage_beta_OC,0.3847811447811449,0.45400000000000007,0.4149099822540705,0.03263483631460025
stats.alpha_precision.authenticity_OC,0.48897795591182364,0.564,0.5089717617052286,0.036706766186445985
stats.alpha_precision.delta_precision_alpha_naive,0.9693793103448276,0.9749634273772205,0.9721999451358307,0.0024566493661337327
stats.alpha_precision.delta_coverage_beta_naive,0.30501002004008027,0.31946127946127945,0.3114511582086733,0.006803948788444327
stats.alpha_precision.authenticity_naive,0.6404040404040404,0.6733466933867736,0.6604376834477035,0.014438023752640703
stats.prdc.precision,0.9619238476953907,0.974,0.96790520434809,0.005156335524341476
stats.prdc.recall,0.845513413506013,0.8825161887141536,0.8640148011100832,0.01934552838897087
stats.prdc.density,0.9144000000000001,0.9380000000000002,0.926593653974616,0.010949032379747066
stats.prdc.coverage,0.5485661424606846,0.5892691951896393,0.5740055504162812,0.017689558444974978
performance.linear_model.gt,0.8229259663143148,0.8229259663143148,0.8229259663143148,0.0
performance.linear_model.syn_id,0.7766552331374779,0.7867383240854573,0.7828924702341127,0.0047024490971354915
performance.linear_model.syn_ood,0.7757804184150199,0.787347304659222,0.782802993328887,0.005259143476707386
performance.mlp.gt,0.7811703360489194,0.7811703360489194,0.7811703360489194,0.0
performance.mlp.syn_id,0.6505068658001067,0.7393847232805768,0.6967100825301931,0.0385448431363628
performance.mlp.syn_ood,0.6196356275303643,0.7490890688259109,0.6806933198380566,0.05411269649830318
performance.xgb.gt,0.9193500817760143,0.9193500817760143,0.9193500817760143,0.0
performance.xgb.syn_id,0.8321299084812944,0.8601465462175628,0.8495253386078052,0.012296369361458295
performance.xgb.syn_ood,0.8333132775424298,0.8613719623059495,0.8500342725076748,0.01210072676468894
performance.feat_rank_distance.corr,0.27704390276035906,0.34128542288877856,0.3075385100964213,0.027669539232876964
performance.feat_rank_distance.pvalue,7.457119155625839e-14,1.2709005396600912e-09,3.427551882039189e-10,6.203465289867877e-10
detection.detection_xgb.mean,0.8244873638242813,0.845312952877469,0.8347954026094706,0.008562494496450926
detection.detection_gmm.mean,0.4502822774596968,0.4933425285884964,0.4711439868043811,0.017650154854013597
detection.detection_linear.mean,0.6745843828281105,0.6760781703362347,0.6751152505814244,0.0007054025569561816
privacy.delta-presence.score,4.272727270785124,4.812499996992187,4.4501262601012765,0.2534091219689731
privacy.k-anonymization.gt,21.0,21.0,21.0,0.0
privacy.k-anonymization.syn,4.00000001,18.00000001,9.75000001,6.020797289396148
privacy.k-map.score,6.0,10.0,8.0,1.632993161855452
privacy.distinct l-diversity.gt,21.0,21.0,21.0,0.0
privacy.distinct l-diversity.syn,4.00000001,18.00000001,9.75000001,6.020797289396148
privacy.identifiability_score.,0.15263644773358,0.1637372802960222,0.15633672525439407,0.005232982654479536
privacy.identifiability_score._privacy.identifiability_score.OC,0.2506938020351526,0.2645698427382054,0.2583256244218316,0.006855298820664734
prdc_precision,0.8998,0.928,0.91475,0.01311525828948862
prdc_recall,0.7854,0.8326,0.8187,0.022367088918021198
nn_identifiability,0.5001,0.5084,0.5028,0.003806135397836828
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0332,0.0344,0.033824999999999994,0.0005315072906367324
