,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0030303030302112027,0.0007575757575528007,0.0015151515151056011
sanity.nearest_syn_neighbor_distance.mean,0.008917054195661684,0.011160211519640702,0.010271080284876407,0.0009699503894823662
sanity.close_values_probability.score,0.9818181818181818,0.990909090909091,0.9856060606060606,0.0038130476945812115
sanity.distant_values_probability.score,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0
stats.jensenshannon_dist.marginal,0.008871288552808939,0.009738507842973514,0.009224364756897703,0.0003808488745605137
stats.inv_kl_divergence.marginal,0.7671174506774665,0.7793588046634687,0.7723955288113555,0.005190539866538177
stats.ks_test.marginal,0.8734621212121212,0.8797575757575757,0.8765388656100079,0.0027002632312023386
stats.max_mean_discrepancy.joint,0.005030303030303031,0.005047234047854549,0.005035537788698926,8.023149132136308e-06
stats.wasserstein_dist.joint,0.024579467251896858,0.028459582477808,0.02605643915012479,0.001675839306353129
stats.alpha_precision.delta_precision_alpha_OC,0.9099268547544409,0.9289167537443399,0.9206182514803205,0.008530161112716612
stats.alpha_precision.delta_coverage_beta_OC,0.45333333333333337,0.4995959595959596,0.4728787878787879,0.019672781487699582
stats.alpha_precision.authenticity_OC,0.5181818181818182,0.5545454545454546,0.5363636363636364,0.014845392380504115
stats.alpha_precision.delta_precision_alpha_naive,0.8893974225008707,0.9119052594914664,0.900073145245559,0.010026409926672272
stats.alpha_precision.delta_coverage_beta_naive,0.47252525252525257,0.5181818181818183,0.4938383838383839,0.023892821481392032
stats.alpha_precision.authenticity_naive,0.5060606060606061,0.5818181818181818,0.5575757575757576,0.034727501894285
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.9393939393939394,0.9666666666666667,0.9553030303030303,0.011703666895208525
stats.prdc.density,1.0124248496993988,1.0428000000000002,1.0245062124248498,0.014394432956357638
stats.prdc.coverage,0.9484848484848485,0.9666666666666667,0.9545454545454546,0.00820609939862218
performance.linear_model.gt,0.5104160533806608,0.5104160533806608,0.5104160533806608,0.0
performance.linear_model.syn_id,0.5045117868271138,0.525497104155183,0.5163599367581779,0.008719059320570188
performance.linear_model.syn_ood,0.4883979967391445,0.515158009800702,0.5044338068338001,0.011408314498677307
performance.mlp.gt,-2.2988603336741944,-2.2988603336741944,-2.2988603336741944,0.0
performance.mlp.syn_id,-2.3008158039297686,-2.299593909255373,-2.300162945155214,0.0005074910519928319
performance.mlp.syn_ood,-3.2387192503815116,-3.237017356695452,-3.2378085043779765,0.000707356117448187
performance.xgb.gt,0.4757466193148698,0.4757466193148698,0.4757466193148698,0.0
performance.xgb.syn_id,0.36254896400976844,0.4165414379898113,0.38957591741042275,0.023939232727075647
performance.xgb.syn_ood,0.3622783728145273,0.42662182289064843,0.39642570611364364,0.028844886648464296
performance.feat_rank_distance.corr,0.7999999999999999,0.8783100656536799,0.8587325492402599,0.039155032826839964
performance.feat_rank_distance.pvalue,0.006249477882326372,0.013981724353829097,0.008182539500202054,0.0038661232357513624
detection.detection_xgb.mean,0.7428806244260789,0.8005454545454546,0.7660459136822773,0.024770809465123243
detection.detection_gmm.mean,0.4361818181818181,0.46359090909090905,0.45582438016528926,0.013180772176738837
detection.detection_linear.mean,0.6226969696969697,0.6448787878787879,0.6347495408631774,0.010268775697190815
privacy.delta-presence.score,2.4999999968749997,4.9999999875,3.7083333180381945,1.0573814547835323
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,8.00000001,4.00000001,3.5590260840104375
privacy.k-map.score,1.0,8.0,4.0,3.559026084010437
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,8.00000001,4.00000001,3.5590260840104375
privacy.identifiability_score.,0.49393939393939396,0.5515151515151515,0.5272727272727272,0.027662755429553834
privacy.identifiability_score._privacy.identifiability_score.OC,0.47878787878787876,0.5181818181818182,0.4954545454545455,0.016505186503402224
prdc_precision,0.932,0.958,0.944475,0.011723303004415292
prdc_recall,0.7091,0.8212,0.7719750000000001,0.047028882969227935
nn_identifiability,0.3807,0.4032,0.390575,0.00945000000000001
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0177,0.0249,0.021225,0.00308693483356333
