,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.20021254084127899,0.27387777137603614,0.24203733985710724,0.033612863013883415
sanity.close_values_probability.score,0.3888888888888889,0.6666666666666666,0.5416666666666666,0.12318643236713028
sanity.distant_values_probability.score,0.027777777777777776,0.05555555555555555,0.034722222222222224,0.013888888888888888
stats.jensenshannon_dist.marginal,0.021631118766540686,0.02428657393417072,0.02339446419846218,0.0012322847788593775
stats.inv_kl_divergence.marginal,0.5764072795538502,0.6376701183447635,0.602809584299292,0.0255878890364828
stats.ks_test.marginal,0.7740889783143305,0.806673373574782,0.7897034987704002,0.015038623325950105
stats.max_mean_discrepancy.joint,0.04186129078253687,0.042093039111007285,0.04192209946223068,0.0001140593213677978
stats.wasserstein_dist.joint,0.24451348185539246,0.2806588411331177,0.25939778983592987,0.01606780673492896
stats.alpha_precision.delta_precision_alpha_OC,0.6833333333333333,0.8481481481481482,0.775462962962963,0.07461798763466183
stats.alpha_precision.delta_coverage_beta_OC,0.435185185185185,0.5488505747126436,0.488250319284802,0.04957422752449872
stats.alpha_precision.authenticity_OC,0.5555555555555556,0.6111111111111112,0.5694444444444444,0.02777777777777779
stats.alpha_precision.delta_precision_alpha_naive,0.8575989782886335,0.9406768837803321,0.8989782886334611,0.03469899718947507
stats.alpha_precision.delta_coverage_beta_naive,0.40370370370370356,0.5296296296296296,0.48885696040868454,0.057446035330867284
stats.alpha_precision.authenticity_naive,0.25,0.3888888888888889,0.3472222222222222,0.06612433730132268
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.9722222222222222,1.0,0.9861111111111112,0.016037507477489613
stats.prdc.density,0.9042253521126761,0.9690140845070423,0.9380281690140846,0.03434618057872653
stats.prdc.coverage,0.9444444444444444,1.0,0.9861111111111112,0.02777777777777779
performance.linear_model.gt,0.9620535714285714,0.9620535714285714,0.9620535714285714,0.0
performance.linear_model.syn_id,0.9179247858477517,0.9706346004513577,0.9518437264917858,0.023628131917648988
performance.linear_model.syn_ood,0.9205994897959183,0.953156887755102,0.9420758928571429,0.014702076487869026
performance.mlp.gt,0.43550000000000005,0.43550000000000005,0.43550000000000005,0.0
performance.mlp.syn_id,0.40066666666666667,0.4706666666666667,0.44999999999999996,0.033071471425115365
performance.mlp.syn_ood,0.54296875,0.65234375,0.611328125,0.0490489796922848
performance.xgb.gt,0.9923150510204082,0.9923150510204082,0.9923150510204082,0.0
performance.xgb.syn_id,0.9516789414933632,0.9822376483292485,0.9699033812395351,0.014079062028504131
performance.xgb.syn_ood,0.9281887755102041,0.9768176020408162,0.9586017219387755,0.022839000311811145
performance.feat_rank_distance.corr,-0.3685148130276645,0.5097623583818409,-0.03924110618416483,0.38340056787121896
performance.feat_rank_distance.pvalue,0.0008839513100719513,0.5590382592387798,0.1853469282444643,0.26034324458492447
detection.detection_xgb.mean,0.662704081632653,0.7229761904761904,0.690140306122449,0.02677059240929649
detection.detection_gmm.mean,0.36596088435374147,0.5187925170068027,0.45169005102040816,0.06791655092967191
detection.detection_linear.mean,0.5810544217687075,0.6657482993197279,0.6152295918367348,0.04073379907928012
privacy.delta-presence.score,0.5161290320915712,0.5925925923731138,0.5438944885485785,0.03397393865218314
privacy.k-anonymization.gt,16.0,16.0,16.0,0.0
privacy.k-anonymization.syn,3.00000001,6.00000001,5.00000001,1.4142135623730951
privacy.k-map.score,27.0,34.0,31.25,3.095695936834452
privacy.distinct l-diversity.gt,16.0,16.0,16.0,0.0
privacy.distinct l-diversity.syn,3.00000001,6.00000001,5.00000001,1.4142135623730951
privacy.identifiability_score.,0.6944444444444444,0.8333333333333334,0.7638888888888888,0.05782405554072594
privacy.identifiability_score._privacy.identifiability_score.OC,0.6111111111111112,0.8055555555555556,0.7083333333333334,0.08018753738744801
prdc_precision,1.0,1.0,1.0,0.0
prdc_recall,0.6389,0.7222,0.673625,0.03493454593951378
nn_identifiability,0.3482,0.3768,0.36102500000000004,0.01186714652587836
coverage_score,0.9692,0.9769,0.9711249999999999,0.0038500000000000205
mmd,0.0115,0.0238,0.016725,0.0058363087649643776
