,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.12659166785291037,0.13327951958050863,0.12914046327011006,0.00314596478138815
sanity.close_values_probability.score,0.8535692495424039,0.8901769371568029,0.8737034777303234,0.015297880471093341
sanity.distant_values_probability.score,0.0006101281269066504,0.0012202562538133007,0.0010677242220866383,0.0003050640634533252
stats.jensenshannon_dist.marginal,0.03016728279429051,0.03139661148841427,0.030727962594151927,0.0005794965531517934
stats.inv_kl_divergence.marginal,0.722017639842588,0.7409462326050211,0.73133797067832,0.008245286935339208
stats.ks_test.marginal,0.5703719904256817,0.5841168421227869,0.5774739059947464,0.006066112225758529
stats.max_mean_discrepancy.joint,0.0026101232461200777,0.0026141361429387142,0.0026131280194418346,2.0031875400389883e-06
stats.wasserstein_dist.joint,0.5111590623855591,0.5680627226829529,0.5286599546670914,0.026595140619258776
stats.alpha_precision.delta_precision_alpha_OC,0.36606546426185693,0.73096537903393,0.48437179416303877,0.16800073168759722
stats.alpha_precision.delta_coverage_beta_OC,0.14648146868449552,0.5180107341119019,0.25363246953677476,0.17774650167351716
stats.alpha_precision.authenticity_OC,0.05410821643286573,0.754,0.5181593186372746,0.3180819185459345
stats.alpha_precision.delta_precision_alpha_naive,0.22672010688042765,0.25290581162324655,0.24013119572478292,0.012969590297075338
stats.alpha_precision.delta_coverage_beta_naive,0.08724114896459578,0.10933333333333328,0.09389979959919836,0.010391060792078194
stats.alpha_precision.authenticity_naive,0.8837675350701403,0.9759519038076152,0.9393977955911823,0.04063750894890607
stats.prdc.precision,0.9098196392785571,0.9639278557114228,0.9298957915831663,0.0238765841089081
stats.prdc.recall,0.9908480780964003,0.9957291031116534,0.9943563148261134,0.0023564429990352367
stats.prdc.density,0.8597194388777556,0.9146292585170341,0.8865304609218438,0.022436170778822654
stats.prdc.coverage,0.38926174496644295,0.399633923123856,0.39536302623550945,0.004371402330731062
performance.linear_model.gt,0.6775116107744574,0.6775116107744574,0.6775116107744574,0.0
performance.linear_model.syn_id,-0.06086651544587514,0.29826360565425575,0.14334831615220958,0.1619844935694343
performance.linear_model.syn_ood,-0.07025156949274489,0.29000004677715324,0.13413882382616987,0.16260412162456
performance.mlp.gt,-6192.146104570998,-6192.146104570998,-6192.146104570998,0.0
performance.mlp.syn_id,-8034.940361237897,-1197.0995899144968,-4573.4001256005395,2806.496234245113
performance.mlp.syn_ood,-7530.357689403652,-1008.6213071714953,-4174.580365150753,2677.109080622195
performance.xgb.gt,0.955559134422183,0.955559134422183,0.955559134422183,0.0
performance.xgb.syn_id,0.8489412079635006,0.9338907494482658,0.9044728747786293,0.037816081254306286
performance.xgb.syn_ood,0.8474569995860686,0.9331937671971552,0.903565685778652,0.038195438895828285
performance.feat_rank_distance.corr,0.2727272727272727,0.606060606060606,0.43939393939393934,0.17582722409625462
performance.feat_rank_distance.pvalue,0.005380307706696595,0.24957952123750735,0.11516687626930683,0.1266638933751349
detection.detection_xgb.mean,0.9526576556570403,0.9567019269671431,0.9548428951350607,0.0017088889020124257
detection.detection_gmm.mean,0.2731697982284243,0.461657924060475,0.3871104896865274,0.08124598928254663
detection.detection_linear.mean,0.9243514858814142,0.9320165585142088,0.9272520508847706,0.0036488510977057786
privacy.delta-presence.score,22.624999971718747,30.166666616388888,27.703869010435355,3.5566439084339003
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0
privacy.k-anonymization.syn,1.00000001,4.00000001,2.75000001,1.2583057392117916
privacy.k-map.score,6.0,8.0,7.0,1.1547005383792515
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0
privacy.distinct l-diversity.syn,1.00000001,4.00000001,2.75000001,1.2583057392117916
privacy.identifiability_score.,0.12202562538133008,0.13117754728492984,0.12827943868212324,0.004238085414719285
privacy.identifiability_score._privacy.identifiability_score.OC,0.0036607687614399025,0.11287370347773032,0.03477730323367907,0.05255844507505638
prdc_precision,0.524,0.5752,0.55535,0.02217333233112847
prdc_recall,0.2099,0.5418,0.345325,0.142119582863634
nn_identifiability,0.9386,0.9444,0.9414,0.002706781606754912
coverage_score,0.9824,1.0,0.989125,0.008472455370198157
mmd,0.2277,0.2455,0.2351,0.00828935059780519
