metric,S3_Tail
coverage_score,0.9705375
detection.detection_gmm.mean,0.4457618407908724
detection.detection_linear.mean,0.8002525960075019
detection.detection_xgb.mean,0.8616662698782076
mmd,0.128621875
nn_identifiability,0.80948125
prdc_precision,0.7073687500000001
prdc_recall,0.663340625
privacy.delta-presence.score,86.55294969624212
privacy.distinct l-diversity.gt,8.875
privacy.distinct l-diversity.syn,5.156250010000001
privacy.identifiability_score.,0.2559914716419033
privacy.identifiability_score._privacy.identifiability_score.OC,0.262474975896492
privacy.k-anonymization.gt,8.875
privacy.k-anonymization.syn,5.156250010000001
privacy.k-map.score,5.0625
sanity.close_values_probability.score,0.6063020331160718
sanity.common_rows_proportion.score,0.004166666665277778
sanity.data_mismatch.score,0.0
sanity.distant_values_probability.score,0.062219584646091744
sanity.nearest_syn_neighbor_distance.mean,0.24597669595489144
stats.alpha_precision.authenticity_OC,0.6636252047084433
stats.alpha_precision.authenticity_naive,0.7970706069069627
stats.alpha_precision.delta_coverage_beta_OC,0.29322820631381113
stats.alpha_precision.delta_coverage_beta_naive,0.23034592742261736
stats.alpha_precision.delta_precision_alpha_OC,0.5974131502341493
stats.alpha_precision.delta_precision_alpha_naive,0.4936713681669274
stats.inv_kl_divergence.marginal,0.7065182976159721
stats.jensenshannon_dist.marginal,0.027840126986861613
stats.ks_test.marginal,0.6847444863143339
stats.max_mean_discrepancy.joint,0.02387386239241303
stats.prdc.coverage,0.5040964417985504
stats.prdc.density,0.8161829746179147
stats.prdc.precision,0.9409232459721589
stats.prdc.recall,0.8992490769801479
stats.wasserstein_dist.joint,0.5460693835048005
performance.feat_rank_distance.corr_class,0.1971199922807567
performance.feat_rank_distance.corr_reg,0.624364493405243
performance.feat_rank_distance.pvalue_class,0.1072097358880854
performance.feat_rank_distance.pvalue_reg,0.0649694736606348
performance.linear_model.gt_class,0.8814151078455157
performance.linear_model.gt_reg,0.5939638320775591
performance.linear_model.syn_id_class,0.8344903707927557
performance.linear_model.syn_id_reg,0.32823130056496314
performance.linear_model.syn_ood_class,0.8340259698170183
performance.linear_model.syn_ood_reg,0.3149037135572234
performance.mlp.gt_class,0.6861443407215471
performance.mlp.gt_reg,-3097.2224824523364
performance.mlp.syn_id_class,0.5594246019247259
performance.mlp.syn_id_reg,-2287.849842330518
performance.mlp.syn_ood_class,0.5927173987115101
performance.mlp.syn_ood_reg,-2088.908707425709
performance.xgb.gt_class,0.949051309050088
performance.xgb.gt_reg,0.7156528768685264
performance.xgb.syn_id_class,0.8741116443868845
performance.xgb.syn_id_reg,0.6462272586652055
performance.xgb.syn_ood_class,0.8718873103041677
performance.xgb.syn_ood_reg,0.6420829764213992
