,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.01236909048568278,0.018712294383115995,0.014832063143789539,0.002716667519566367
sanity.close_values_probability.score,0.9897044171371637,0.9946861507804716,0.9910328794420458,0.002440541092112118
sanity.distant_values_probability.score,0.00033211557622052476,0.0016605778811026237,0.001120890069744271,0.0005651659984684527
stats.jensenshannon_dist.marginal,0.02218448987679293,0.024747391819935734,0.024069493933159523,0.001258467536422973
stats.inv_kl_divergence.marginal,0.7298690191222204,0.7364168015204162,0.7342794116415463,0.0030659802274368847
stats.ks_test.marginal,0.7132499501826636,0.7188014909482422,0.7157865500290961,0.0029479946054130996
stats.max_mean_discrepancy.joint,0.00216623999255024,0.002173203842904058,0.002170723921735165,3.298086933983475e-06
stats.wasserstein_dist.joint,2.2018327713012695,2.205559015274048,2.204362213611603,0.0017348046357165245
stats.alpha_precision.delta_precision_alpha_OC,0.8812,0.9228341740953171,0.9051213668716744,0.01758604267946603
stats.alpha_precision.delta_coverage_beta_OC,0.32438209752839,0.3644622578490314,0.3444817635270542,0.01656906103611793
stats.alpha_precision.authenticity_OC,0.6072144288577155,0.6733466933867736,0.6409639278557114,0.027400669326339572
stats.alpha_precision.delta_precision_alpha_naive,0.3007348029392116,0.33386773547094195,0.31891202404809615,0.013777443140534158
stats.alpha_precision.delta_coverage_beta_naive,0.09418837675350711,0.12144288577154316,0.11400100200400806,0.013227505940865714
stats.alpha_precision.authenticity_naive,0.7995991983967936,0.935871743486974,0.8737955911823647,0.05943595108402484
stats.prdc.precision,0.9659318637274549,0.98,0.9724549098196392,0.006000913804476433
stats.prdc.recall,0.9852208568581866,0.9938558618399203,0.9914480239123215,0.004160291691379084
stats.prdc.density,0.8548,0.8829659318637275,0.8673072144288577,0.013047193792268744
stats.prdc.coverage,0.2268349385586184,0.26320159415476585,0.24584855529724342,0.014877702848201007
performance.linear_model.gt,0.7135184390739095,0.7135184390739095,0.7135184390739095,0.0
performance.linear_model.syn_id,0.6241772147845606,0.6392234473667073,0.6304794139504475,0.006339965342342235
performance.linear_model.syn_ood,0.6240800367381549,0.6392308072436798,0.6305385141135125,0.006344709256937037
performance.mlp.gt,0.49823424685520823,0.49823424685520823,0.49823424685520823,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.909559206620799,0.909559206620799,0.909559206620799,0.0
performance.xgb.syn_id,0.790129175737781,0.8401900137180329,0.8192737789824196,0.02127549557600352
performance.xgb.syn_ood,0.7902222037535805,0.8401403105346616,0.8192806192470956,0.021255900367450006
performance.feat_rank_distance.corr,0.0650642088265006,0.3811153769306308,0.2693515978037745,0.14146152379889843
performance.feat_rank_distance.pvalue,2.182472436978754e-87,0.0007171383708928648,0.0001792845927232162,0.00035856918544643234
detection.detection_xgb.mean,0.9770547354132996,0.9830754019287455,0.9801995485416188,0.0026447541986791157
detection.detection_gmm.mean,0.32648232288420936,0.6591544379987687,0.4802327191282561,0.1371822276764199
detection.detection_linear.mean,0.9217209267235708,0.9338603134778951,0.9285476997821782,0.005801656204928628
privacy.delta-presence.score,26.461538441183432,39.72727269115702,30.12532771131754,6.410937893740881
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,2.0,1.25,0.5
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.04915310528063766,0.05347060777150448,0.0517685154433743,0.001851004384723344
privacy.identifiability_score._privacy.identifiability_score.OC,0.04965127864496845,0.056127532381268684,0.05347060777150448,0.003141960798476339
prdc_precision,0.1904,0.226,0.21380000000000002,0.01592817210688868
prdc_recall,0.8411,0.909,0.87695,0.02892386557844579
nn_identifiability,0.9751,0.9794,0.97675,0.0019467922333932018
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0218,0.0236,0.02255,0.0007937253933193768
