,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.09999999996666667,0.03333333332222222,0.04714045206338969
sanity.nearest_syn_neighbor_distance.mean,0.3242281099621554,0.46607763297044535,0.40662044165729827,0.06250521146867595
sanity.close_values_probability.score,0.13333333333333333,0.3,0.19166666666666665,0.0787635937708768
sanity.distant_values_probability.score,0.03333333333333333,0.06666666666666667,0.058333333333333334,0.01666666666666667
stats.jensenshannon_dist.marginal,0.02897953489629828,0.03341138020176984,0.030919539884487868,0.0018371517014653148
stats.inv_kl_divergence.marginal,0.4140390414760196,0.6795075646430797,0.5911435658995223,0.12001463793905355
stats.ks_test.marginal,0.7033333333333334,0.7200000000000001,0.7133333333333334,0.007200822998230951
stats.max_mean_discrepancy.joint,0.07403790094112983,0.09855269166816272,0.08513609612175016,0.010325443747762822
stats.wasserstein_dist.joint,0.09856411814689636,0.13870039582252502,0.11493794620037079,0.017144803477929106
stats.alpha_precision.delta_precision_alpha_OC,0.8,0.9153256704980843,0.8520689655172413,0.049025000994277444
stats.alpha_precision.delta_coverage_beta_OC,0.2977777777777779,0.5511111111111111,0.45233716475095787,0.1221416037460543
stats.alpha_precision.authenticity_OC,0.5,0.7,0.575,0.09574271077563379
stats.alpha_precision.delta_precision_alpha_naive,0.8699616858237548,0.9111877394636015,0.8865900383141763,0.019095174536003193
stats.alpha_precision.delta_coverage_beta_naive,0.4423754789272032,0.636551724137931,0.5281034482758622,0.08934671753398472
stats.alpha_precision.authenticity_naive,0.5333333333333333,0.6333333333333333,0.575,0.04194352464039304
stats.prdc.precision,0.9833333333333333,1.0,0.9958333333333333,0.00833333333333336
stats.prdc.recall,0.9,1.0,0.9583333333333333,0.04999999999999999
stats.prdc.density,0.9866666666666668,1.05,1.024166666666667,0.02998456393003024
stats.prdc.coverage,1.0,1.0,1.0,0.0
performance.linear_model.gt,0.975,0.975,0.975,0.0
performance.linear_model.syn_id,0.9897569444444445,0.9951388888888889,0.9930121527777778,0.0023308544413363683
performance.linear_model.syn_ood,0.986111111111111,0.9972222222222221,0.9902777777777778,0.004811252243246843
performance.mlp.gt,0.75275,0.75275,0.75275,0.0
performance.mlp.syn_id,0.709,0.75625,0.7333124999999999,0.02463937820508737
performance.mlp.syn_ood,0.6527777777777778,0.9444444444444444,0.7690972222222222,0.12466196577094611
performance.xgb.gt,0.9583333333333333,0.9583333333333333,0.9583333333333333,0.0
performance.xgb.syn_id,0.9590277777777778,0.99375,0.9759548611111112,0.016686246696974865
performance.xgb.syn_ood,0.9527777777777778,0.9916666666666668,0.9694444444444446,0.019772367133391328
performance.feat_rank_distance.corr,-0.17874588051350518,-0.04152870712384365,-0.12345116155430352,0.062171567058921545
performance.feat_rank_distance.pvalue,0.3181294101094322,0.8175518051210268,0.5082040937932144,0.22764110210185384
detection.detection_xgb.mean,0.5625,0.7138888888888888,0.6378472222222222,0.07872582750049606
detection.detection_gmm.mean,0.33888888888888885,0.4416666666666666,0.3788194444444444,0.0497599045086284
detection.detection_linear.mean,0.6722222222222222,0.7027777777777778,0.6875,0.012525693757841419
privacy.delta-presence.score,0.999999999090909,1.37499999828125,1.1493055543318165,0.1833385938088594
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0
privacy.k-anonymization.syn,3.00000001,9.00000001,6.750000010000001,2.6299556396765835
privacy.k-map.score,8.0,11.0,9.75,1.5
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0
privacy.distinct l-diversity.syn,3.00000001,9.00000001,6.750000010000001,2.6299556396765835
privacy.identifiability_score.,0.5333333333333333,0.5666666666666667,0.5416666666666667,0.016666666666666663
privacy.identifiability_score._privacy.identifiability_score.OC,0.6333333333333333,0.7,0.6499999999999999,0.033333333333333326
prdc_precision,0.9333,0.9833,0.9583249999999999,0.021520900693666745
prdc_recall,0.9,1.0,0.95,0.043041762665268865
nn_identifiability,0.5017,0.5494,0.527775,0.020648870025580874
coverage_score,0.8972,0.95,0.9229,0.029697811367169803
mmd,0.0702,0.0837,0.077,0.00718748913042656
