,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.6936089832941331,0.7131262522857799,0.7059662787163327,0.00892010980889715
sanity.close_values_probability.score,0.010515247108307046,0.014195583596214511,0.013012618296529969,0.0016968907054887032
sanity.distant_values_probability.score,0.2920609884332282,0.41140904311251314,0.36612776025236593,0.05533190863175992
stats.jensenshannon_dist.marginal,0.05654245445381059,0.05719822837659268,0.056907127922462164,0.0002865774131663045
stats.inv_kl_divergence.marginal,0.4318801722875813,0.4525580065929249,0.445904826954075,0.009511138871424477
stats.ks_test.marginal,0.4405007169486664,0.4438615784288201,0.4421364954340252,0.0013784212221286828
stats.max_mean_discrepancy.joint,0.0022723205471965697,0.002292586772145651,0.0022814151672830747,8.980183512651576e-06
stats.wasserstein_dist.joint,0.7725061178207397,0.7756091356277466,0.7741430550813675,0.001342047969989933
stats.alpha_precision.delta_precision_alpha_OC,0.10140280561122261,0.18506666666666682,0.15564612309797338,0.03752479127823952
stats.alpha_precision.delta_coverage_beta_OC,0.010554442217768911,0.0185333333333334,0.014367019350572413,0.0032638476947667422
stats.alpha_precision.authenticity_OC,0.8496993987975952,1.0,0.9594218315907469,0.073275662516026
stats.alpha_precision.delta_precision_alpha_naive,0.1034666666666666,0.10637156270959092,0.10513156803210716,0.0013514963216767933
stats.alpha_precision.delta_coverage_beta_naive,0.09906666666666664,0.10875083500334004,0.10269300895553679,0.00461186918402871
stats.alpha_precision.authenticity_naive,0.9879275653923542,0.9939879759519038,0.9919758793240405,0.0028569501906877447
stats.prdc.precision,0.9,0.9298597194388778,0.9173061414579662,0.012585828894789704
stats.prdc.recall,0.2939011566771819,0.4295478443743428,0.3491719242902208,0.06044909667952478
stats.prdc.density,0.6744,0.7259557344064387,0.6939767091527118,0.0226356009452515
stats.prdc.coverage,0.06598317560462671,0.0683491062039958,0.06749474237644584,0.0010597079059277796
performance.linear_model.gt,0.8280465056642342,0.8280465056642342,0.8280465056642342,0.0
performance.linear_model.syn_id,0.553941505951858,0.674206582584518,0.6326582354114034,0.05523187529926548
performance.linear_model.syn_ood,0.5541384192907739,0.6743882679339743,0.6329207257808367,0.055273503076149214
performance.mlp.gt,0.6730413353499314,0.6730413353499314,0.6730413353499314,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.9172376192597799,0.9172376192597799,0.9172376192597799,0.0
performance.xgb.syn_id,0.6184099650338581,0.655367748611695,0.6363191064778373,0.015104512185017616
performance.xgb.syn_ood,0.6181046392819246,0.6552430302845815,0.6361099830455786,0.015177998339752058
performance.feat_rank_distance.corr,-0.23012670747743028,0.28735539404479754,-0.055761461458871044,0.2392490249481419
performance.feat_rank_distance.pvalue,2.4374298849303442e-32,0.0030628408831602076,0.0007657102207900538,0.0015314204415801025
detection.detection_xgb.mean,0.9791586243861954,0.9814181112948421,0.9803474924743667,0.0011490790205632762
detection.detection_gmm.mean,0.17531497742484672,0.718601559582267,0.41741431032173176,0.25889459165000567
detection.detection_linear.mean,0.9768001991699272,0.9769523514765888,0.9768700254935411,6.808199036559773e-05
privacy.delta-presence.score,253.16666624472222,759.4999962025,610.5416629874306,241.95684974035674
privacy.k-anonymization.gt,14.0,14.0,14.0,0.0
privacy.k-anonymization.syn,4.00000001,19.00000001,12.00000001,7.164728420068226
privacy.k-map.score,1.0,4.0,2.0,1.4142135623730951
privacy.distinct l-diversity.gt,14.0,14.0,14.0,0.0
privacy.distinct l-diversity.syn,4.00000001,19.00000001,12.00000001,7.164728420068226
privacy.identifiability_score.,0.03286014721345951,0.034437434279705574,0.03378023133543638,0.00069551822057429
privacy.identifiability_score._privacy.identifiability_score.OC,0.023396424815983176,0.024710830704521555,0.02425078864353312,0.0006211639887293117
prdc_precision,0.7586,0.762,0.7604,0.0016145174717749607
prdc_recall,0.1462,0.1906,0.16617500000000002,0.022949854756257902
nn_identifiability,0.955,0.9593,0.9568000000000001,0.0019949937343260254
coverage_score,0.86,0.92,0.89,0.024494897427831803
mmd,0.3373,0.3514,0.344325,0.006006316119996792
