,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.013826742378465122,0.016263930991236887,0.01475463932580596,0.0011087405043829176
sanity.close_values_probability.score,0.9926940639269406,0.9945205479452055,0.9931506849315068,0.0009132420091324533
sanity.distant_values_probability.score,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0
stats.jensenshannon_dist.marginal,0.023218333612485455,0.023931880116658224,0.02358782621809273,0.0003674350327045732
stats.inv_kl_divergence.marginal,0.8163582075306866,0.8233126513243907,0.8199444985865527,0.0038477692630547802
stats.ks_test.marginal,0.5978273142382732,0.6037824823578247,0.6017613312968818,0.0026784446428800793
stats.max_mean_discrepancy.joint,0.0029265956681606663,0.002964862889443194,0.002937412377327913,1.8411201821326334e-05
stats.wasserstein_dist.joint,0.298750638961792,0.3063076138496399,0.30247899889945984,0.003110574051513083
stats.alpha_precision.delta_precision_alpha_OC,0.14079999999999993,0.2006680026720109,0.16619038076152312,0.02918465776433331
stats.alpha_precision.delta_coverage_beta_OC,0.08000000000000007,0.11426666666666685,0.09626205744822985,0.014656462506223182
stats.alpha_precision.authenticity_OC,0.826,0.956,0.883375751503006,0.05441604869580205
stats.alpha_precision.delta_precision_alpha_naive,0.19171676686706773,0.2196392785571143,0.2070723446893789,0.011558817031955515
stats.alpha_precision.delta_coverage_beta_naive,0.09966599866399461,0.11663326653306627,0.10610814963259851,0.007990763887001038
stats.alpha_precision.authenticity_naive,0.8937875751503006,0.958,0.9359208416833666,0.028701763040652382
stats.prdc.precision,0.87,0.8997995991983968,0.8853957915831664,0.013094761237343409
stats.prdc.recall,0.9351598173515981,0.9945205479452055,0.9668949771689497,0.028171456054787297
stats.prdc.density,0.6016,0.6428857715430862,0.6278376753507015,0.018067801894697377
stats.prdc.coverage,0.1643835616438356,0.18904109589041096,0.18059360730593607,0.011044188696299388
performance.linear_model.gt,0.9869461645920644,0.9869461645920644,0.9869461645920644,0.0
performance.linear_model.syn_id,0.9852251699297344,0.9887572063760139,0.9866655980901148,0.0015261306865371783
performance.linear_model.syn_ood,0.9851921352765789,0.9886710035236963,0.9866206396864118,0.0015026301823059989
performance.mlp.gt,0.9761701260752235,0.9761701260752235,0.9761701260752235,0.0
performance.mlp.syn_id,0.3909127805595379,0.4892442826836313,0.43430929870656937,0.041263825437432636
performance.mlp.syn_ood,0.38982715122703854,0.48913440086737137,0.42911949292133195,0.0429300121718171
performance.xgb.gt,0.9975125622901941,0.9975125622901941,0.9975125622901941,0.0
performance.xgb.syn_id,0.9920965732574384,0.9927583088342612,0.9925232382821458,0.00029193591295279453
performance.xgb.syn_ood,0.9921290214966326,0.992718041742249,0.9925027626613291,0.00025738408685669717
performance.feat_rank_distance.corr,0.44859513733724454,0.5755733153282323,0.5024644959596706,0.05400258156137944
performance.feat_rank_distance.pvalue,7.258722561605347e-177,1.3180877916709767e-108,3.2952194791774427e-109,6.590438958354883e-109
detection.detection_xgb.mean,0.9483561643835617,0.9557168949771689,0.9525801392924682,0.003132241967362938
detection.detection_gmm.mean,0.3978348784650155,0.5238082191780822,0.4736990798394908,0.05386636235430673
detection.detection_linear.mean,0.9105488676721553,0.9185811540058115,0.9150770259674369,0.0033350494964751154
privacy.delta-presence.score,6.714285713486395,7.23076922984221,6.952651871510379,0.2149230670216364
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,3.0,2.25,0.9574271077563381
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.08493150684931507,0.09406392694063927,0.09018264840182649,0.00397199036550986
privacy.identifiability_score._privacy.identifiability_score.OC,0.06118721461187215,0.08584474885844749,0.0730593607305936,0.011184884670242824
prdc_precision,0.706,0.7455,0.723225,0.01660730261059878
prdc_recall,0.6621,0.7516,0.7059500000000001,0.048131105673289216
nn_identifiability,0.9055,0.9125,0.909725,0.003204554051138279
coverage_score,0.99,1.0,0.9950000000000001,0.005773502691896263
mmd,0.219,0.2311,0.2246,0.005040502620440414
