,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.47783163951779895,0.5180668414954129,0.499141124441449,0.01661527919344934
sanity.close_values_probability.score,0.04440333024976873,0.05735430157261795,0.053885291396854766,0.006336331356162357
sanity.distant_values_probability.score,0.02312673450508788,0.04440333024976873,0.0316836262719704,0.009771786541776642
stats.jensenshannon_dist.marginal,0.020864029301462427,0.021581882478977178,0.02120926125309616,0.0003019717430955419
stats.inv_kl_divergence.marginal,0.8406097077633237,0.8440606726013465,0.8421259082245789,0.0014423749320379208
stats.ks_test.marginal,0.8202815294480418,0.8286830095590503,0.8236206444650015,0.0035760862123134967
stats.max_mean_discrepancy.joint,0.04759023628286966,0.04879120971994175,0.048297038262156054,0.0005059429240040046
stats.wasserstein_dist.joint,0.07510705292224884,0.07619945704936981,0.07577697187662125,0.0005083141218068939
stats.alpha_precision.delta_precision_alpha_OC,0.8304,0.844,0.8399333333333333,0.006401388738217476
stats.alpha_precision.delta_coverage_beta_OC,0.3256000000000001,0.4122666666666668,0.3795666666666667,0.03841409849212866
stats.alpha_precision.authenticity_OC,0.612,0.652,0.6365000000000001,0.018645821694596013
stats.alpha_precision.delta_precision_alpha_naive,0.5486666666666666,0.5653333333333334,0.5583,0.0077901171959044255
stats.alpha_precision.delta_coverage_beta_naive,0.10480000000000023,0.1181333333333332,0.11276666666666671,0.005959244297106056
stats.alpha_precision.authenticity_naive,0.904,0.922,0.913,0.009309493362512635
stats.prdc.precision,0.802,0.85,0.8285,0.02418677324489563
stats.prdc.recall,0.937095282146161,0.9888991674375578,0.9634597594819612,0.021169069619901174
stats.prdc.density,0.506,0.5599999999999999,0.5332,0.02248317889741867
stats.prdc.coverage,0.19611470860314523,0.2238667900092507,0.2097594819611471,0.012070294496484633
performance.linear_model.gt,0.8229259663143148,0.8229259663143148,0.8229259663143148,0.0
performance.linear_model.syn_id,0.7750993148431735,0.7859740460508574,0.7799812571143314,0.004490754183711236
performance.linear_model.syn_ood,0.7754932053013647,0.7867714121611658,0.7805472049109177,0.004672096290491977
performance.mlp.gt,0.7811703360489194,0.7811703360489194,0.7811703360489194,0.0
performance.mlp.syn_id,0.7329340722980593,0.7519101876470159,0.7432591461751188,0.008053130457298994
performance.mlp.syn_ood,0.7387651821862348,0.7788461538461537,0.752618927125506,0.017948894328199926
performance.xgb.gt,0.9193500817760143,0.9193500817760143,0.9193500817760143,0.0
performance.xgb.syn_id,0.8046901841094318,0.8744278497151191,0.8465910797739891,0.02961846804496257
performance.xgb.syn_ood,0.8030717932239858,0.8742881716357884,0.8457701723245168,0.03021054288524587
performance.feat_rank_distance.corr,0.20439513566720266,0.43209218055029763,0.363611032775464,0.10707970767542933
performance.feat_rank_distance.pvalue,2.8020851007282693e-21,7.462453769745047e-06,1.8656134424369509e-06,3.731226884872064e-06
detection.detection_xgb.mean,0.9285597371565114,0.9396193889742277,0.932999178614098,0.0047007324562810746
detection.detection_gmm.mean,0.4390896697388634,0.5502359831029187,0.47814571599249023,0.050116107905830744
detection.detection_linear.mean,0.6915960488137908,0.7046090203106333,0.6973075930192866,0.005393814147569226
privacy.delta-presence.score,8.999999985,17.999999940000002,12.8249999674125,3.914396485439678
privacy.k-anonymization.gt,21.0,21.0,21.0,0.0
privacy.k-anonymization.syn,12.00000001,18.00000001,14.50000001,2.516611478423583
privacy.k-map.score,3.0,6.0,4.5,1.2909944487358056
privacy.distinct l-diversity.gt,21.0,21.0,21.0,0.0
privacy.distinct l-diversity.syn,12.00000001,18.00000001,14.50000001,2.516611478423583
privacy.identifiability_score.,0.08603145235892692,0.08973172987974098,0.08811285846438484,0.001579856732340362
privacy.identifiability_score._privacy.identifiability_score.OC,0.18038852913968548,0.19611470860314523,0.18709528214616095,0.006557560998500376
prdc_precision,0.708,0.738,0.7235,0.015695009822658087
prdc_recall,0.6022,0.7299,0.6748500000000001,0.053307316570992413
nn_identifiability,0.8709,0.884,0.877875,0.005774873735993424
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0553,0.0593,0.057675,0.0016899211026948355
