,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.010151243298048278,0.03600319396653759,0.022182798819048236,0.012441563570841634
sanity.close_values_probability.score,0.9848484848484849,0.996969696969697,0.990909090909091,0.005532551085910744
sanity.distant_values_probability.score,0.0030303030303030303,0.006060606060606061,0.003787878787878788,0.0015151515151515152
stats.jensenshannon_dist.marginal,0.012278872625802396,0.012581996081343024,0.012384546981389955,0.00013994788095074702
stats.inv_kl_divergence.marginal,0.8536239240857312,0.8667325087983253,0.8613511982197983,0.005853880740593763
stats.ks_test.marginal,0.8053712121212122,0.8161060606060606,0.8098295454545454,0.004521961595339715
stats.max_mean_discrepancy.joint,0.005030303030303031,0.005046124868332146,0.005034259599357027,7.910179474539889e-06
stats.wasserstein_dist.joint,0.04779677093029022,0.051267024129629135,0.0499672582373023,0.0016143937510084301
stats.alpha_precision.delta_precision_alpha_OC,0.7365656565656565,0.8658794845001742,0.7893991640543365,0.056690496963374006
stats.alpha_precision.delta_coverage_beta_OC,0.34323232323232333,0.4034343434343435,0.3686363636363637,0.02977971248551877
stats.alpha_precision.authenticity_OC,0.5303030303030303,0.6484848484848484,0.5886363636363636,0.05422887929749477
stats.alpha_precision.delta_precision_alpha_naive,0.7234343434343434,0.8006060606060607,0.7622727272727273,0.03544917319030452
stats.alpha_precision.delta_coverage_beta_naive,0.29474747474747476,0.35595959595959603,0.3338383838383838,0.027438329994042165
stats.alpha_precision.authenticity_naive,0.5757575757575758,0.6545454545454545,0.6196969696969697,0.034859462478257344
stats.prdc.precision,0.998,0.998,0.998,0.0
stats.prdc.recall,0.9727272727272728,0.9818181818181818,0.9772727272727273,0.003912104390108484
stats.prdc.density,0.9488,0.9672000000000001,0.9556,0.008066391179868926
stats.prdc.coverage,0.9393939393939394,0.9727272727272728,0.9545454545454546,0.01622462465071618
performance.linear_model.gt,0.5104160533806608,0.5104160533806608,0.5104160533806608,0.0
performance.linear_model.syn_id,0.4984354290993719,0.5293650294782599,0.5131142849777167,0.013595290904549438
performance.linear_model.syn_ood,0.47800436938720486,0.515985173279992,0.49566860328827694,0.01677573880900276
performance.mlp.gt,-2.2988603336741944,-2.2988603336741944,-2.2988603336741944,0.0
performance.mlp.syn_id,-2.307068307340143,-2.2963392587600544,-2.299559060496789,0.005054349834114931
performance.mlp.syn_ood,-3.2476479932632474,-3.232516452411047,-3.237049700665356,0.007132464519821973
performance.xgb.gt,0.4757466193148698,0.4757466193148698,0.4757466193148698,0.0
performance.xgb.syn_id,0.328320561658948,0.42778414045043156,0.3879816425517817,0.04508151576524614
performance.xgb.syn_ood,0.3317398932350103,0.4125854086622153,0.3806002670641464,0.038098503289073105
performance.feat_rank_distance.corr,0.7,0.8783100656536799,0.8093350474165466,0.08619372845317243
performance.feat_rank_distance.pvalue,0.006249477882326372,0.031514421132600307,0.014772071051962776,0.011911719504930623
detection.detection_xgb.mean,0.7882727272727272,0.831121212121212,0.8153257575757575,0.018685569842931366
detection.detection_gmm.mean,0.5019393939393939,0.5563030303030303,0.5289659090909091,0.027397996188282644
detection.detection_linear.mean,0.7220303030303029,0.7434545454545455,0.7315454545454545,0.009335530372396967
privacy.delta-presence.score,1.3030303026354453,2.047619046643991,1.6990405421024084,0.31035099226090124
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.50000001,0.5773502691896257
privacy.k-map.score,1.0,3.0,2.0,0.816496580927726
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.50000001,0.5773502691896257
privacy.identifiability_score.,0.4393939393939394,0.47878787878787876,0.4613636363636364,0.016481988759677487
privacy.identifiability_score._privacy.identifiability_score.OC,0.44545454545454544,0.47878787878787876,0.4590909090909091,0.014532822797917323
prdc_precision,0.802,0.86,0.8334999999999999,0.024076267706325774
prdc_recall,0.8182,0.8848,0.858325,0.030423387385365222
nn_identifiability,0.6809,0.7008,0.693375,0.009092258611954845
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0462,0.065,0.055325,0.007861880606233263
