,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.13915839013980877,0.21004078322933506,0.17517575826529766,0.03252615025409583
sanity.close_values_probability.score,0.6944444444444444,0.8055555555555556,0.7430555555555556,0.04743958687944261
sanity.distant_values_probability.score,0.027777777777777776,0.05555555555555555,0.034722222222222224,0.013888888888888888
stats.jensenshannon_dist.marginal,0.020952425884593277,0.024792983443528403,0.022915257108052596,0.001740851624699876
stats.inv_kl_divergence.marginal,0.5292457310992832,0.6749634529893955,0.626059000723383,0.06650581318437195
stats.ks_test.marginal,0.7792868321037334,0.8038508830762352,0.7940140845070423,0.01203998202892824
stats.max_mean_discrepancy.joint,0.041862286696007424,0.04305252485177211,0.042520825670252976,0.0004918959631854962
stats.wasserstein_dist.joint,0.3013570308685303,0.3337157368659973,0.31822866946458817,0.015308792401644056
stats.alpha_precision.delta_precision_alpha_OC,0.5203703703703705,0.6222222222222222,0.5865740740740741,0.0453955586417737
stats.alpha_precision.delta_coverage_beta_OC,0.33333333333333337,0.5119412515964239,0.4365421455938697,0.075461752210691
stats.alpha_precision.authenticity_OC,0.3611111111111111,0.6111111111111112,0.5069444444444444,0.11424965443752842
stats.alpha_precision.delta_precision_alpha_naive,0.8538952745849298,0.8878033205619412,0.8709610472541507,0.0141699516019378
stats.alpha_precision.delta_coverage_beta_naive,0.43333333333333324,0.49897828863346094,0.45135696040868445,0.03189280147863417
stats.alpha_precision.authenticity_naive,0.4722222222222222,0.6388888888888888,0.5277777777777778,0.0785674201318386
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.9722222222222222,1.0,0.9930555555555556,0.013888888888888895
stats.prdc.density,0.9014084507042255,0.9633802816901409,0.9408450704225353,0.027980590470894497
stats.prdc.coverage,0.9166666666666666,1.0,0.9791666666666666,0.041666666666666685
performance.linear_model.gt,0.9620535714285714,0.9620535714285714,0.9620535714285714,0.0
performance.linear_model.syn_id,0.9562838214953044,0.9976889150428304,0.9841455674124584,0.01882080509325927
performance.linear_model.syn_ood,0.9534119897959183,0.9979591836734695,0.983250956632653,0.020192803945904177
performance.mlp.gt,0.43550000000000005,0.43550000000000005,0.43550000000000005,0.0
performance.mlp.syn_id,0.4456666666666667,0.4456666666666667,0.4456666666666667,0.0
performance.mlp.syn_ood,0.60546875,0.60546875,0.60546875,0.0
performance.xgb.gt,0.9923150510204082,0.9923150510204082,0.9923150510204082,0.0
performance.xgb.syn_id,0.9448127229488705,0.9909350809289232,0.9740078016938047,0.021098049361270712
performance.xgb.syn_ood,0.9376913265306122,0.9857142857142858,0.9682158801020408,0.021741703047634574
performance.feat_rank_distance.corr,0.20158236903314916,0.25102261374404655,0.2265054501588056,0.026495411225137655
performance.feat_rank_distance.pvalue,0.09332983168412552,0.17647429077406884,0.1341074611083422,0.04446508537657253
detection.detection_xgb.mean,0.5660374149659864,0.7031292517006802,0.6391879251700681,0.061131483865869383
detection.detection_gmm.mean,0.36544217687074837,0.5322619047619048,0.42170705782312934,0.077114177632179
detection.detection_linear.mean,0.47428571428571437,0.6288265306122449,0.537920918367347,0.0650425674038976
privacy.delta-presence.score,1.1428571420408162,1.9999999974999998,1.4267399253963808,0.39001959357877913
privacy.k-anonymization.gt,16.0,16.0,16.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.75000001,0.5
privacy.k-map.score,8.0,14.0,11.75,2.6299556396765835
privacy.distinct l-diversity.gt,16.0,16.0,16.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.75000001,0.5
privacy.identifiability_score.,0.6388888888888888,0.6666666666666666,0.6527777777777777,0.016037507477489613
privacy.identifiability_score._privacy.identifiability_score.OC,0.5277777777777778,0.7222222222222222,0.6180555555555556,0.07978559231302816
prdc_precision,0.8451,0.9155,0.8908499999999999,0.031215861352844335
prdc_recall,0.6944,0.7778,0.72915,0.041700000000000015
nn_identifiability,0.5583,0.6182,0.5921500000000001,0.024952287804260873
coverage_score,0.9538,0.9846,0.9672749999999999,0.015873956658628015
mmd,0.0017,0.0192,0.0124,0.007504221034413454
