,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.09771680801590962,0.14924182425211202,0.13061726193200635,0.022596407634048653
sanity.close_values_probability.score,0.7834045149481391,0.9383770591824283,0.8459426479560708,0.06600390779743541
sanity.distant_values_probability.score,0.0006101281269066504,0.0024405125076266015,0.0013727882855399634,0.0007677277237411785
stats.jensenshannon_dist.marginal,0.02435457481568376,0.02521047222723063,0.02477451420343276,0.00038153711726329824
stats.inv_kl_divergence.marginal,0.7955249104423069,0.8160248449228273,0.8079828701817506,0.008804136733107608
stats.ks_test.marginal,0.6279850711806725,0.6527936498422469,0.6436159449254585,0.010841149599403733
stats.max_mean_discrepancy.joint,0.0026179090324078653,0.0026661281269066504,0.002631098014066351,2.3435938030509494e-05
stats.wasserstein_dist.joint,0.48239433765411377,0.518887996673584,0.4923856258392334,0.017688306094395305
stats.alpha_precision.delta_precision_alpha_OC,0.36894243641231605,0.4513333333333335,0.4091604048423858,0.03365753803678093
stats.alpha_precision.delta_coverage_beta_OC,0.15308864682346957,0.22838018741633193,0.199650608827688,0.033094789129991725
stats.alpha_precision.authenticity_OC,0.052313883299798795,0.656,0.488825458776757,0.2919189387094745
stats.alpha_precision.delta_precision_alpha_naive,0.4274666666666668,0.4582329317269077,0.4376053827651317,0.01396069847997785
stats.alpha_precision.delta_coverage_beta_naive,0.17959999999999998,0.18846411804158292,0.18311375374065006,0.004069578560382128
stats.alpha_precision.authenticity_naive,0.6345381526104418,0.7811244979919679,0.7350625439383287,0.06762755378668402
stats.prdc.precision,0.8995983935742972,0.948,0.9252085686811633,0.02336874842499635
stats.prdc.recall,0.9975594874923734,0.9987797437461867,0.9983221476510067,0.0005841532079050158
stats.prdc.density,0.753413654618474,0.8348000000000001,0.8111257997785912,0.03874372711708783
stats.prdc.coverage,0.41732763880414886,0.4838316046369738,0.4560707748627212,0.030638315586045767
performance.linear_model.gt,0.6775116107744574,0.6775116107744574,0.6775116107744574,0.0
performance.linear_model.syn_id,0.556530632625803,0.623888014124699,0.5894972565202031,0.028805659411251322
performance.linear_model.syn_ood,0.5520824268088761,0.6203245913258462,0.5856258711618543,0.029291951338308884
performance.mlp.gt,-6192.146104570998,-6192.146104570998,-6192.146104570998,0.0
performance.mlp.syn_id,-10701.881694144839,-1328.1992049215269,-7333.381916679344,4173.013379522266
performance.mlp.syn_ood,-9966.5095338889,-1239.5778116014208,-6824.089155562788,3892.9155738319214
performance.xgb.gt,0.955559134422183,0.955559134422183,0.955559134422183,0.0
performance.xgb.syn_id,0.933330543494702,0.9546137692661556,0.9467891782787117,0.009285952153875064
performance.xgb.syn_ood,0.9327206061386064,0.9540516591744115,0.9463044892972652,0.00935154450713924
performance.feat_rank_distance.corr,0.5151515151515151,0.8484848484848484,0.6893939393939392,0.14506471329641482
performance.feat_rank_distance.pvalue,1.6342325370103148e-05,0.020980351631393297,0.006104591299903799,0.01002150639239062
detection.detection_xgb.mean,0.9101161333631685,0.9396403648252496,0.919908601708515,0.013592795253519398
detection.detection_gmm.mean,0.317010992392034,0.6129606085468694,0.444424486530103,0.12394090506330589
detection.detection_linear.mean,0.8602027129654115,0.8786958859121535,0.8676003840146824,0.009000450379365055
privacy.delta-presence.score,12.066666658622221,20.11111108876543,15.233298921992462,3.490975029640421
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0
privacy.k-anonymization.syn,1.00000001,7.00000001,3.50000001,3.0
privacy.k-map.score,9.0,13.0,10.25,1.8929694486000912
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0
privacy.distinct l-diversity.syn,1.00000001,7.00000001,3.50000001,3.0
privacy.identifiability_score.,0.14093959731543623,0.1549725442342892,0.14978645515558267,0.006350414885497663
privacy.identifiability_score._privacy.identifiability_score.OC,0.040268456375838924,0.16473459426479561,0.12217815741305674,0.05567537560624392
prdc_precision,0.4799,0.568,0.5293,0.04124924241728568
prdc_recall,0.4143,0.9201,0.77715,0.242624888802997
nn_identifiability,0.8965,0.9149,0.903925,0.008735511814808982
coverage_score,1.0,1.0,1.0,0.0
mmd,0.1619,0.1738,0.1658,0.005416641025580344
